"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"EPHB6"	"EPHB6"	1.36179703361239	-0.318916738587162	-0.317212734358774	-0.746478302874977	0.27186016250545	-0.281300576021173	0.654647314917801	0.34386966314513	"S01"	1.36179703361239	"IS01"
"FAM43A"	"FAM43A"	1.30003393268282	0.292350828702393	-0.222797872053461	-0.48028571030741	-0.141666971675155	-0.134163985205382	-0.350854975669473	-0.217969306544738	"S01"	1.30003393268282	"IS01"
"LY6G6C"	"LY6G6C"	1.24311784518986	0.28346098524243	-0.356256216566384	-0.138127328408457	-0.203088178124402	-0.051706756600187	-0.10089632157358	-0.421064400641404	"S01"	1.24311784518986	"IS01"
"FETUB"	"FETUB"	1.22135325143117	0.187401955955542	-0.182152409095174	0.108182500732308	-0.133073811460333	-0.074477222399328	-0.374733232443849	-0.576147762725243	"S01"	1.22135325143117	"IS01"
"MTL5"	"MTL5"	1.16738054779077	0.541633033383882	-0.178272270671541	-0.146291395038003	-0.337006352323129	0.197852761264967	-0.713067795786798	-0.950919972968937	"S01"	1.16738054779077	"IS01"
"KLHL24"	"KLHL24"	1.01322223908806	0.157258531812675	-0.129680397369677	-0.704980070882625	-0.00813024925944304	0.206651715547787	-0.544598713919168	-0.30591607764643	"S01"	1.01322223908806	"IS01"
"THSD7B"	"THSD7B"	1.00802937029425	-0.250489036048458	-0.354069402106755	-0.619907798457	0.448384395035784	0.0193361893736947	0.360583378250027	-0.184779164931949	"S01"	1.00802937029425	"IS01"
"IGHMBP2"	"IGHMBP2"	0.99549731286138	0.0851168307823606	0.0316172907365426	-1.13960640007241	0.111155031896782	0.365104356740474	0.0257113534003422	-0.71722414791208	"S01"	0.99549731286138	"IS01"
"GAB3"	"GAB3"	0.888008117365935	0.101625676721862	0.601137462752744	-0.137200072219653	-0.908638735324265	0.642099455617564	-0.00143290827752107	-0.975979819839098	"S01"	0.888008117365935	"IS01"
"AGAP2"	"AGAP2"	0.855254733380549	-0.551481008937622	0.245050872633328	-0.295919517956181	-0.791923581453538	0.624389756224068	0.0462728643402604	0.752775478031251	"S01"	0.855254733380549	"IS01"
"BEST2"	"BEST2"	0.831626635775619	0.116800764834485	0.360117927117048	-0.954393988080931	0.169861816052314	-0.0584741746129537	-0.363617280559158	-0.499350495077751	"S01"	0.831626635775619	"IS01"
"STAG3"	"STAG3"	0.806218818922318	-0.268824303886898	-0.192336643330988	-0.424201957025826	0.458365727802996	0.0136667153696764	0.146217102693873	-0.270653043065454	"S01"	0.806218818922318	"IS01"
"DTX1"	"DTX1"	0.789648516556896	-0.250789816218114	0.0320068718036736	-0.420667802778097	0.486455895311366	-0.32170442161229	0.230702861795483	-0.170948109897543	"S01"	0.789648516556896	"IS01"
"ACER1"	"ACER1"	0.763130430327805	-0.325510311568415	-0.0323646638114496	-0.771105793375583	0.612642991791317	-0.0774138195719457	0.417977488185352	-0.29727957792569	"S01"	0.763130430327805	"IS01"
"RAB4B.EGLN2"	"RAB4B.EGLN2"	0.74099433971645	-0.18436539722894	0.102904897442877	-0.517158221924364	0.318538616408927	-0.0115180187681272	0.0776745596990588	-0.3960462705705	"S01"	0.74099433971645	"IS01"
"HEPACAM"	"HEPACAM"	0.722019209518445	-0.335218942932758	-0.236026306079476	-0.784443907364113	0.49694464280336	0.00163730856032222	0.228258131496221	0.186013452957718	"S01"	0.722019209518445	"IS01"
"TBC1D3I"	"TBC1D3I"	0.678739933444361	-0.132056897605722	0.476224286953199	-0.832360809367737	0.291777998178714	0.0490849969787639	-0.173904785021258	-0.594140404822626	"S01"	0.678739933444361	"IS01"
"PPFIA1"	"PPFIA1"	0.667328066606137	0.0458337961167227	-0.0299838536686884	-0.469639013483007	0.240313974523682	0.0109559015530642	-0.141261217408303	-0.471382592592574	"S01"	0.667328066606137	"IS01"
"TATDN2"	"TATDN2"	0.666029910514389	-0.0440342857987269	0.0142265166259957	-0.635581338860403	0.640266291651212	-0.23218438830767	-0.331978088866269	-0.395559007932915	"S01"	0.666029910514389	"IS01"
"KCNAB2"	"KCNAB2"	0.665337613222397	0.411199524299194	0.169558261934056	0.442511491791588	-0.600102420660244	0.0335302440408522	-0.446630486096735	-0.726349927473606	"S01"	0.665337613222397	"IS01"
"CIDEA"	"CIDEA"	0.659401021405177	0.488784330474332	0.0712442243812338	0.0389410818184262	-0.483713413361787	-0.167403525215981	-0.731999713701261	-0.165004046258427	"S01"	0.659401021405177	"IS01"
