"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"LCK"	"LCK"	-0.273908539236332	-0.157505074404477	0.022744535300996	1.75329778309328	-0.418992019918039	-1.1200996475365	"S01"	1.75329778309328	"IS04"
"CD3E"	"CD3E"	0.20099392826991	-0.23194175445315	-0.164217512860588	1.74685799150734	-0.254468421694721	-1.31994680565594	"S01"	1.74685799150734	"IS04"
"SIRPG"	"SIRPG"	-0.91464064650283	0.163566351741054	-0.0316682945476462	1.73584764814844	-0.250911395669052	-1.20022131599901	"S01"	1.73584764814844	"IS04"
"GZMK"	"GZMK"	0.0541434032718089	-0.0523105868475234	-0.346119167809218	1.68022969433408	-0.189808118035374	-1.33873085008146	"S01"	1.68022969433408	"IS04"
"PYHIN1"	"PYHIN1"	0.712996673786077	-0.549966328702941	-0.393228726805943	1.6622978546184	-0.525109941280832	-0.972756794505459	"S01"	1.6622978546184	"IS04"
"IL2RG"	"IL2RG"	0.168321943508873	-0.518549254265497	0.327276920188563	1.60198586754017	-0.773876932437815	-0.696378770363063	"S01"	1.60198586754017	"IS04"
"EOMES"	"EOMES"	0.309877854221439	-0.192101243106487	-0.34748094446553	1.56538615540602	-0.581580934510023	-0.945951568691893	"S01"	1.56538615540602	"IS04"
"SH2D1A"	"SH2D1A"	0.0655479762390673	0.133689625784195	-0.204390913790526	1.54833142462032	-0.237983875184003	-1.33779684993523	"S01"	1.54833142462032	"IS04"
"CXCR3"	"CXCR3"	-0.0922611342572849	-0.788601616765761	-0.0963759015079176	1.53735626573551	-0.776253529201718	-0.278340130968281	"S01"	1.53735626573551	"IS04"
"TTC24"	"TTC24"	-0.809423890306025	0.0891166404966209	0.153220221026063	1.53484622005652	-0.189601658289155	-1.08119971266337	"S01"	1.53484622005652	"IS04"
"PTPRCAP"	"PTPRCAP"	-0.0525837512350605	-0.180799640459726	-0.0228225034521146	1.5181855196022	-0.00651760002681818	-1.25735206256357	"S01"	1.5181855196022	"IS04"
"CD8A"	"CD8A"	0.345054129164467	0.45702408976714	-0.11547771733914	1.51528338361727	-0.49419278316052	-1.45715375053085	"S01"	1.51528338361727	"IS04"
"FASLG"	"FASLG"	0.366842908900943	0.354000834057401	-0.0798702016312086	1.51309507088314	-0.535158213363247	-1.37053745816867	"S01"	1.51309507088314	"IS04"
"SIT1"	"SIT1"	-0.0115960475622594	0.13967709773698	-0.209242687529393	1.50394319176388	0.0448598699027485	-1.47715444359701	"S01"	1.50394319176388	"IS04"
"SAMD3"	"SAMD3"	0.596144792086099	-0.476168563216091	-0.438968215093991	1.49605520666109	-0.47222322222742	-0.855867579966804	"S01"	1.49605520666109	"IS04"
"KLRK1"	"KLRK1"	0.761491911978344	-0.0685762820248181	0.0415179732305771	1.48765100824413	-0.546210197136763	-1.21977364306559	"S01"	1.48765100824413	"IS04"
"PDCD1"	"PDCD1"	-0.663296011045956	0.305010391430331	0.649295983845643	1.48039774074704	-0.102023221775544	-1.38643357600489	"S01"	1.48039774074704	"IS04"
"TRAF1"	"TRAF1"	-0.475889377610505	-0.276845898830603	0.739929207273809	1.45961097243904	-0.0226565874644914	-1.11740627117113	"S01"	1.45961097243904	"IS04"
"IL9R"	"IL9R"	-0.40839560525304	-0.422566367532465	0.138795059117967	1.45789833019166	-0.0570274602193784	-0.903528134534394	"S01"	1.45789833019166	"IS04"
"GRAP2"	"GRAP2"	0.781977988812632	-0.524211428737525	-0.364155811477627	1.45382028781644	-0.314025573358729	-0.980543549033847	"S01"	1.45382028781644	"IS04"
"IL18BP"	"IL18BP"	0.416237512170518	-0.299301153175491	-0.106991776174722	1.44355042333512	-0.835095914755224	-0.660626991525561	"S01"	1.44355042333512	"IS04"
"IFNG"	"IFNG"	-0.265383151378588	0.676866007205753	-0.251652970509264	1.43106380667657	-0.711094355685502	-1.12320815685264	"S01"	1.43106380667657	"IS04"
"CXCL9"	"CXCL9"	-0.371099217283235	0.843439333836532	-0.0709238714194436	1.42344865596794	-0.632023925566826	-1.28172050226926	"S01"	1.42344865596794	"IS04"
"IL4I1"	"IL4I1"	-1.10737548435502	0.271316510337282	0.454877808991791	1.41437256072557	-0.200884371010877	-1.03330360421433	"S01"	1.41437256072557	"IS04"
"GZMA"	"GZMA"	0.39496154848619	0.598758807190989	-0.293664915211935	1.4100592783076	-0.679699055046519	-1.30493950116336	"S01"	1.4100592783076	"IS04"
"LAG3"	"LAG3"	-0.676065867422612	0.688077824064341	0.395465829189701	1.4086716088595	-0.639436629939632	-1.13558196452115	"S01"	1.4086716088595	"IS04"
"GBP5"	"GBP5"	-0.249073024828163	0.539322198970874	0.0321287033492332	1.40240771070332	-0.58697113958654	-1.15349605585963	"S01"	1.40240771070332	"IS04"
"ZNF683"	"ZNF683"	0.261545008397299	0.173535200024115	0.183565067190416	1.37627697494036	-0.488357242989573	-1.16763787899007	"S01"	1.37627697494036	"IS04"
"CD72"	"CD72"	-0.301222558285859	0.214426706881172	0.513481476561977	1.37274396818206	-0.364313083840556	-1.14058247837141	"S01"	1.37274396818206	"IS04"
"CXCR6"	"CXCR6"	0.383130015639897	0.506175470518987	-0.116762811700054	1.37262073269636	-0.098836176045711	-1.6585621259434	"S01"	1.37262073269636	"IS04"
"CD3D"	"CD3D"	0.139183372479457	0.258416674825811	-0.0846937262607032	1.36165925254405	0.043843073225998	-1.50267613987674	"S01"	1.36165925254405	"IS04"
"ADAMDEC1"	"ADAMDEC1"	-0.99988904074803	0.695212266651915	-0.325371879969887	1.3608930650242	-0.503866865126135	-0.941175637881274	"S01"	1.3608930650242	"IS04"
"FAM26F"	"FAM26F"	-0.500443309886242	0.406740327213238	0.0978399499254136	1.35669655808708	-0.75250644530446	-0.822999819901235	"S01"	1.35669655808708	"IS04"
"PSTPIP1"	"PSTPIP1"	0.0013820045872745	-0.419612841846976	0.385070660588377	1.35576729067241	-0.145344446131462	-0.941565528411024	"S01"	1.35576729067241	"IS04"
"CST7"	"CST7"	0.945292632270352	-0.347321070495623	0.110087401612876	1.35289393589663	-0.118359896980764	-1.2969498015885	"S01"	1.35289393589663	"IS04"
"IL18RAP"	"IL18RAP"	1.03457997266395	-0.153333667984844	0.0937590039817812	1.35239950870121	-0.655202627709744	-1.06684614479777	"S01"	1.35239950870121	"IS04"
"UBASH3A"	"UBASH3A"	-0.467146395123123	-0.832546365230015	-0.166784800481133	1.34876779219937	-0.851064669583619	0.12939530721419	"S01"	1.34876779219937	"IS04"
"CCL5"	"CCL5"	0.724504450666384	0.406259247157166	0.632810790997689	1.34730686541513	-0.447226137395275	-1.57995616683719	"S01"	1.34730686541513	"IS04"
"LAT"	"LAT"	-0.0564132636019714	-0.0391282404921595	0.327827741384947	1.3293992630944	-0.0529312864927097	-1.20901387006038	"S01"	1.3293992630944	"IS04"
"PVRIG"	"PVRIG"	-0.027764377335789	-0.428056534279153	0.330525316755086	1.31911403255036	-0.172197857518421	-0.861553652065294	"S01"	1.31911403255036	"IS04"
"FCRL6"	"FCRL6"	1.26845330918899	-0.440152502377766	-0.410833163728323	1.31448712083029	-0.217852320027575	-1.1451336812254	"S01"	1.31448712083029	"IS04"
"GZMH"	"GZMH"	0.964440626031402	0.416187508567318	0.0713269827121071	1.30926692222206	-0.637629802395983	-1.39399331833834	"S01"	1.30926692222206	"IS04"
"UBD"	"UBD"	-0.743791582464322	0.42710324079541	0.796624443432629	1.30500985114068	-0.451860400031274	-1.05092563705077	"S01"	1.30500985114068	"IS04"
"SIGLEC8"	"SIGLEC8"	0.815678372335898	-0.075588108805002	-0.559294611189459	1.30030362264962	-0.379646709700067	-1.06843457573314	"S01"	1.30030362264962	"IS04"
"ZNF80"	"ZNF80"	-0.905953013604606	-0.0923075295970542	-0.205099756313888	1.29965169071561	-0.107276385416642	-0.698006563380314	"S01"	1.29965169071561	"IS04"
"MCOLN2"	"MCOLN2"	-0.140367739818142	-0.184004472043775	0.129382043610809	1.27989714511523	-0.267971482653754	-0.841492038687625	"S01"	1.27989714511523	"IS04"
"KLRC4.KLRK1"	"KLRC4.KLRK1"	0.808331962304031	0.272183348788913	-0.456496570949685	1.27827211638761	-0.548558617095372	-1.17664213805564	"S01"	1.27827211638761	"IS04"
"GRIN3A"	"GRIN3A"	0.187088059371594	-0.0231339001263106	-0.0990080845187786	1.26903007855891	-0.502009934723907	-0.845397197872088	"S01"	1.26903007855891	"IS04"
