"ID"	"State"	"InitialState"
"72"	"TCGA.77.7465.01A.11R.2045.07"	"S01"	"IS04"
"73"	"TCGA.85.7950.01A.11R.2187.07"	"S01"	"IS04"
"74"	"TCGA.50.6590.01A.12R.1858.07"	"S01"	"IS04"
"75"	"TCGA.18.3410.01A.01R.0980.07"	"S01"	"IS04"
"76"	"TCGA.43.7658.01A.11R.2125.07"	"S01"	"IS04"
"77"	"TCGA.69.7761.01A.11R.2170.07"	"S01"	"IS04"
"78"	"TCGA.MP.A4T4.01A.11R.A262.07"	"S01"	"IS04"
"79"	"TCGA.93.7347.01A.11R.2187.07"	"S01"	"IS04"
"80"	"TCGA.60.2721.01A.01R.0851.07"	"S01"	"IS04"
"81"	"TCGA.69.8453.01A.12R.2326.07"	"S01"	"IS04"
"82"	"TCGA.38.A44F.01A.11R.A24H.07"	"S01"	"IS04"
"83"	"TCGA.63.6202.01A.11R.1820.07"	"S01"	"IS04"
"84"	"TCGA.78.8660.01A.11R.2403.07"	"S01"	"IS04"
"85"	"TCGA.44.6778.11A.01R.1858.07"	"S01"	"IS04"
"86"	"TCGA.86.7701.01A.11R.2170.07"	"S01"	"IS04"
"87"	"TCGA.44.3396.01A.01R.1206.07"	"S01"	"IS04"
"88"	"TCGA.85.A513.01A.12R.A26W.07"	"S01"	"IS04"
"89"	"TCGA.22.4596.01A.01R.1201.07"	"S01"	"IS04"
"90"	"TCGA.NJ.A55A.01A.11R.A262.07"	"S01"	"IS04"
"91"	"TCGA.50.5049.01A.01R.1628.07"	"S01"	"IS04"
"92"	"TCGA.38.7271.01A.11R.2039.07"	"S01"	"IS04"
"93"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"S01"	"IS04"
"94"	"TCGA.97.A4LX.01A.11R.A24X.07"	"S01"	"IS04"
"95"	"TCGA.51.4081.11A.01R.1758.07"	"S01"	"IS04"
"96"	"TCGA.55.8510.01A.11R.2403.07"	"S01"	"IS04"
"97"	"TCGA.39.5011.01A.01R.1443.07"	"S01"	"IS04"
"98"	"TCGA.34.5239.01A.21R.1820.07"	"S01"	"IS04"
"99"	"TCGA.69.7978.01A.11R.2187.07"	"S01"	"IS04"
"100"	"TCGA.55.8620.01A.11R.2403.07"	"S01"	"IS04"
"101"	"TCGA.46.3767.01A.01R.0980.07"	"S01"	"IS04"
"102"	"TCGA.85.8287.01A.11R.2296.07"	"S01"	"IS04"
"103"	"TCGA.77.8133.01A.12R.2247.07"	"S01"	"IS04"
"104"	"TCGA.55.8085.01A.11R.2241.07"	"S01"	"IS04"
"105"	"TCGA.55.8619.01A.11R.2403.07"	"S01"	"IS04"
"106"	"TCGA.86.6851.01A.11R.1949.07"	"S01"	"IS04"
"107"	"TCGA.60.2712.01A.01R.0851.07"	"S01"	"IS04"
"108"	"TCGA.99.7458.01A.11R.2039.07"	"S01"	"IS04"
"109"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"S01"	"IS04"
"110"	"TCGA.43.A475.01A.11R.A24H.07"	"S01"	"IS04"
"111"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"S01"	"IS04"
"112"	"TCGA.44.5645.01A.01R.1628.07"	"S01"	"IS04"
"113"	"TCGA.58.8393.01A.11R.2326.07"	"S01"	"IS04"
"114"	"TCGA.22.5489.01A.01R.1635.07"	"S01"	"IS04"
"115"	"TCGA.05.4398.01A.01R.1206.07"	"S01"	"IS04"
"116"	"TCGA.90.7767.01A.11R.2125.07"	"S01"	"IS04"
"117"	"TCGA.60.2704.01A.11R.2045.07"	"S01"	"IS04"
"118"	"TCGA.05.4410.01A.21R.1858.07"	"S01"	"IS04"
"119"	"TCGA.85.6561.01A.11R.1820.07"	"S01"	"IS04"
"120"	"TCGA.21.1076.01A.01R.0692.07"	"S01"	"IS04"
"121"	"TCGA.55.7725.01A.11R.2170.07"	"S01"	"IS04"
"122"	"TCGA.55.8301.01A.11R.2287.07"	"S01"	"IS04"
"123"	"TCGA.85.7699.01A.11R.2125.07"	"S01"	"IS04"
"124"	"TCGA.55.6971.01A.11R.1949.07"	"S01"	"IS04"
"125"	"TCGA.91.6830.01A.11R.1949.07"	"S01"	"IS04"
"126"	"TCGA.55.8092.01A.11R.2241.07"	"S01"	"IS04"
"127"	"TCGA.46.3766.01A.01R.0980.07"	"S01"	"IS04"
"128"	"TCGA.05.5425.01A.02R.1628.07"	"S01"	"IS04"
"129"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"S01"	"IS04"
"130"	"TCGA.77.8156.01A.11R.2247.07"	"S01"	"IS04"
"131"	"TCGA.66.2767.01A.01R.0851.07"	"S01"	"IS04"
"132"	"TCGA.97.7553.01A.21R.2039.07"	"S01"	"IS04"
"133"	"TCGA.98.7454.01A.11R.2045.07"	"S01"	"IS04"
"134"	"TCGA.77.8007.01A.11R.2187.07"	"S01"	"IS04"
"180"	"TCGA.37.4133.01A.01R.1100.07"	"S02"	"IS06"
"181"	"TCGA.34.5240.01A.01R.1443.07"	"S02"	"IS06"
"182"	"TCGA.78.7161.01A.11R.2039.07"	"S02"	"IS06"
"183"	"TCGA.62.A470.01A.11R.A24H.07"	"S02"	"IS06"
"184"	"TCGA.73.4677.01A.01R.1206.07"	"S02"	"IS06"
"185"	"TCGA.44.7671.01A.11R.2066.07"	"S02"	"IS06"
"186"	"TCGA.63.5131.01A.01R.1443.07"	"S02"	"IS06"
"187"	"TCGA.73.4670.01A.01R.1206.07"	"S02"	"IS06"
"188"	"TCGA.94.8490.01A.11R.2326.07"	"S02"	"IS06"
"189"	"TCGA.50.5932.01A.11R.1755.07"	"S02"	"IS06"
"190"	"TCGA.66.2781.01A.01R.0851.07"	"S02"	"IS06"
"191"	"TCGA.52.7810.01A.11R.2125.07"	"S02"	"IS06"
"192"	"TCGA.56.7223.01A.11R.2045.07"	"S02"	"IS06"
"193"	"TCGA.43.5670.01A.21R.2125.07"	"S02"	"IS06"
"194"	"TCGA.18.3417.01A.01R.1443.07"	"S02"	"IS06"
"195"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"S02"	"IS06"
"196"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"S02"	"IS06"
"197"	"TCGA.60.2703.01A.11R.2045.07"	"S02"	"IS06"
"198"	"TCGA.55.7815.01A.11R.2170.07"	"S02"	"IS06"
"199"	"TCGA.85.A4JB.01A.51R.A262.07"	"S02"	"IS06"
