"TCGA.55.6983.11A.01R.1949.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.95.7948.01A.11R.2187.07"	"TCGA.NJ.A4YG.01A.22R.A262.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.78.7147.01A.11R.2039.07"	"TCGA.75.5146.01A.01R.1628.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.38.4628.01A.01R.1206.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.NJ.A7XG.01A.12R.A39D.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.55.8090.01A.11R.2241.07"	"TCGA.95.8494.01A.11R.2326.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.77.8007.01A.11R.2187.07"
"NDNF"	1.86687723249878	1.83252016640188	1.84824814753326	1.86133602882958	1.73820080025954	0.700269353973846	1.77644928104506	1.37984272725463	1.92286695180501	1.55717613294979	2.04250668464688	0.666084592190955	-0.297127614621101	1.46334089051777	1.82335614965852	1.43790326797644	2.04376495409177	1.81665267479238	2.01858037858399	-0.38486910746326	2.40731316632841	2.11364047669853	1.4284148025149	1.71364950070193	2.1547337301011	2.40924477187303	1.95546595828997	1.90311561848352	-0.475144001254437	-0.840082974866209	0.442600561713458	0.531432788690851	-0.0710070026024053	0.476732501991661	0.54514244350568	-0.178530875592751	0.117230602615519	-0.395334732178447	0.844461097546372	1.45722044800118	-0.472742865574018	0.119348579714344	0.264918642659372	-0.102737157769748	0.377598645265206	0.705948003096033	1.49765873003354	1.44233844053491	2.64107454296011	-0.25883122161079	-0.241056695322631	1.66956933840179	1.38555574705421	-0.854636831933199	-0.247118555359879	1.43185008344032	1.41362151370727	0.412861081757526	-0.418464270261561	1.50115597781017	1.82372443174301	-0.625725225428854	0.495082165304187	0.0966362418119549	0.439908589541948	-0.42268842392558	2.38474743825654	2.53047293540195	-0.0617143542291226	-0.763469286393855	1.13949945393388	-0.187155480032009	1.47056540119567	1.61461585933534	1.42479340529023	-0.314532996602481	1.44935855712093	0.391503925093022	-0.348369688063504	-0.0289503025943724	0.727229555381025	-0.322842920071952	-0.200267693688786	1.82764777306625	-0.58058688649823	0.0263821236572493	0.450361215172525	-0.656620723892578	0.415986577574321	1.35433959706152	0.51711114809091	0.388400562466883	0.247500069921949	-0.230672051008284	-0.346381578961279
"STAC"	1.85842939063326	1.52033205669802	1.89187850672778	1.92852773034995	1.77826837256945	0.349191276948258	1.90189193904419	2.06640871212237	1.890759133193	1.56089823404905	2.02095447595181	1.90555592768193	0.186454535106821	1.2671988073448	1.95980370141334	0.983033601036029	1.03125785244209	1.91063154111042	1.73114969595852	-0.527355123537501	1.90960408829154	-0.0962368048043769	0.865369763505226	2.07108150233681	1.8492085484758	1.63332167463576	1.92055869629569	1.16888149907384	2.08511421152289	-0.743610166092038	-0.854437218023045	1.20555615387436	-0.860806382076897	-0.608141051880288	-0.0595163259163028	0.309507529078103	-0.600908778122158	-0.155097298118087	-0.633530185814238	-0.0931830642563272	-0.728368542514728	0.857465615053615	1.32849499766239	0.229274836570174	1.89935457715787	0.0771370904501804	-0.561615067952826	-0.691559785807467	1.84004325351318	1.93149323385352	-0.631147361382649	0.624300713243704	0.517027059695641	-0.761941635291067	1.22649430980268	-0.418785068385559	-0.688853810879079	0.562373766076682	0.312993861531098	-0.683257827548413	2.03687139897922	1.03437300832613	1.35310812817454	1.83831220034706	0.270973935400968	1.57131174060629	1.4310764690231	-0.530029200662403	1.08024614142752	1.33376440514008	-0.623038150573478	0.476406177473093	1.2407580584589	1.69176754143563	-0.749523107499426	1.58376791303943	1.21787918960324	1.83028548984886	-0.181759878751732	1.38607720577213	1.57637850823781	1.62431217897948	0.154790232718176	0.914368924785751	0.604396777727804	1.36271513139925	0.374459120331607	2.20549252589726	0.645345445126243	0.194085981932038	1.78162637673456	0.868688268438282	1.80184095052719	1.41281800887099	1.07503846071945
"PDE1C"	0.318523444338697	1.63244531633962	1.54477810201864	1.595840439826	1.66203745684429	1.53915608372283	1.57065589270493	1.5395580440225	1.59199713005306	1.55880954656061	1.68904422171646	1.56187719993839	-0.453546958705823	0.463587460881263	1.65530887346214	1.54987251543163	1.59381941275139	1.7251404322622	1.54891467206014	0.138957636122398	1.61291811916285	1.5742321781169	1.58815376284717	1.57403018546729	1.65859010534393	1.51980759201362	1.69691732695294	1.65991249512278	-1.06805714006374	-1.04898096010685	0.141882775018565	0.888022617589298	-0.063608737945249	-0.597638643862004	1.54792520521676	-0.138492758467216	-0.352799697685267	-0.342491107898556	0.647171795971346	-0.302285163775446	1.56392313486181	-0.493692824933534	-0.233938491021586	0.0548798025426705	-1.35611734971529	-0.0952998241215846	1.58370565963344	-0.333877150696071	-0.0326686824080575	1.59051746335672	-0.594770510149726	-1.19528327272871	0.408579676799011	0.416516111480128	-0.367299545646146	1.93654497392545	-0.752254362586311	-0.161746291535064	0.027521843309023	0.440489742686369	1.54853811256533	1.59617421069854	0.561053195426517	0.683636748498481	-0.331624545194701	-0.379223155301892	1.61692045885119	-0.109311722680999	0.607097330621871	-0.247048048322358	-0.459543800895844	-0.373432951297746	-0.0894347599585842	0.0396439820475578	-0.502654498866503	0.344035939675611	1.51559432175981	-0.177949222834502	-0.573078597009632	0.00310659288405612	1.01649378918623	-0.523280934005684	-0.713366076896687	0.967057335144439	-0.510624582457868	-0.34482443408002	0.954672797986901	1.76499043370081	0.404317346678446	-0.396548984477997	1.54330537527303	-0.427956196216388	1.08952348595208	-0.539404975569013	-1.22785005736592
"FCN1"	0.623534632109528	1.08957078393413	1.40503528455741	1.51710153944594	1.8311838868252	1.77349694956509	1.48998285226656	1.56920722713002	1.42039777182492	1.50260888145592	1.80365065553154	1.72438260834599	1.50325421373234	1.5501988283883	2.06311471845737	1.52200291258748	-0.0535403470954825	1.66083337664847	1.50053658803699	0.399329346498456	1.44861020609602	0.531831888759406	1.22191299879007	1.39615507945109	1.93552851176758	1.94254217942817	1.73964114962127	0.671147596630891	1.10683987125679	-0.737233750864134	1.75192359757512	1.47934356401946	0.527802085314963	1.48304032609837	1.34297135443643	1.55227643173092	1.4610754264759	0.60341200775452	1.29585235610744	0.797129473988231	-0.592104472832269	1.11477015763771	1.51274429498798	1.42406372050433	1.40264501277479	-0.0089596064674767	0.176364283425962	1.53158573704093	2.1076328299511	1.60281085239949	-0.684348521919608	-0.0138563211606834	0.125400789695254	-0.926156814846311	-0.0887123966937124	1.40081050662158	-0.397875873449045	-1.14367764044132	-0.419260312354665	-1.03484244763839	1.68019322198592	-0.0537653849170728	1.07716369466628	1.6595345782374	0.547795793066334	0.434178283909802	1.7891237247149	0.229080704822974	0.220114047798344	0.286822575378576	-0.369686470241139	1.47669228097847	1.74772681434174	0.838841592125539	-0.123258836437112	1.50861508025885	1.02315505014648	0.912933971352739	-1.03055714500929	0.25067362916264	0.815422226802053	-0.639976919679368	-0.174545900417498	0.249093414026249	0.711107055415835	1.45572301365412	0.0488403804447312	1.52416737162486	1.56016209163899	0.243579622276077	1.74739501160496	0.217588208624865	1.4984306702103	0.637770735522624	1.54153651649601
"DDO"	1.63119035770223	0.759415196169882	1.72157579659386	1.58396938202819	1.63280450167428	-0.532412873884527	1.24426360416825	0.850905900769778	1.59997844917321	1.53328252355333	1.77842498143169	1.89625423833238	-0.538025605814567	1.49792495567717	1.63476335851861	1.60446635799334	1.19326133766499	1.75689727805912	1.67349371121041	-0.271065112457109	1.67961720851487	1.70556337855941	1.88309558283994	1.70325155284617	1.68361656201704	1.68876519478426	1.71666845319442	1.72578917309413	1.21664268403181	-0.614171470597616	0.687424328663083	0.447672233507992	0.207380909197543	-0.494961894490009	-0.319626751791183	0.381390354532423	0.359755201163999	0.319436656045181	1.69609371871062	0.502338843150881	-0.51839760626837	-0.446126343198987	1.71487964909598	0.244388513442839	0.672141582069656	1.02505505441599	1.40551969947507	-0.743118835738762	1.87782947097639	0.306497932252874	-0.501708584312268	-0.821299643307737	-0.675002770095149	-0.616454392264643	-0.586834417251003	0.228995581749008	-0.708624499521068	-0.168764757941674	1.87143302424259	1.56938184521521	1.51762867403595	-0.616446569341177	1.57118201474986	1.74078420685912	1.47733811569042	0.43057752818342	1.67173178497749	-0.600478222824196	2.07572854571422	-0.464495264332521	-0.354236641397858	0.303543492237454	-0.135759652679412	1.55571190373943	0.440704326522041	0.580495133241535	0.17566084774963	1.6383828061281	-0.999004171280021	1.74259556058076	0.234232924832635	0.479690162902996	1.75719166730847	0.21155791081827	-0.567841462186514	-0.623722036174621	0.413581231567862	-0.555842517456481	-0.271837748812416	-0.503914143578514	1.70507374292456	0.515048281687891	1.17328060010029	0.434851246625077	-0.638410587860424
"SERPINA1"	1.80504287889675	0.587056249988251	0.384125870157706	0.450538225479285	1.42508350312811	1.7968371679536	1.70920472807599	1.67323014736606	0.74167255488838	1.56635208110957	1.77463353549603	1.41330335474605	1.81855545608769	1.7735205372989	1.75586547170068	0.654200399894564	1.72827474680679	0.452582589909742	1.67901089066324	-0.396245419050503	0.66033418913253	1.75443245952033	1.54967895292058	1.80261338398804	1.83220317178854	2.11592869361479	1.8856710396339	1.37409773762615	0.188181497452824	-0.656509075925572	-0.519881935190974	0.564413820179773	0.495486590561652	-0.530276480776894	0.192239198044739	0.184831505226817	-0.421535458286678	-0.569036774675772	0.511159770633593	-0.707721655484465	1.57129399958532	1.67813826534471	1.73750285542877	1.65216907762618	0.137415147461502	0.586255026239902	-0.318466106920464	-0.0437036395286284	1.71982170541152	0.361182099650277	-0.455410142131207	-0.431673628395011	1.74142264686771	-0.272293587680695	0.39452043504161	0.124346159840351	-0.0273420548656705	-0.534297463608931	0.20383052079181	0.324210636657438	1.61437671296252	-0.895735043082411	1.72767303227036	0.506303073861261	1.71958544521462	-0.494009772832943	-0.86160212525712	0.460015431130857	-0.446126902077715	-0.563159265379584	0.344066979356146	-0.740695586656607	0.25665405733973	1.90120083669327	0.723850054232676	1.75788518598137	-0.031250770091595	1.61840525795816	1.66078890139755	1.84941367001186	0.453150152950294	1.65067424176318	-0.190630883459106	1.69160610032159	0.101226069058482	1.77177786436073	2.17136578420407	0.582596002886848	1.66792702444233	1.6229125075497	0.0297529309156121	-0.83382046077808	2.19526171240968	1.84082441672841	-0.770141973967863
"APOBR"	1.86117472274353	0.450603318508137	-0.36238732440608	1.81975703725764	1.80915809489863	0.763039152564121	2.06358409485404	1.6850133434249	0.0992551297790166	1.75119999570018	1.16787391638778	1.81224110327125	-0.200625364740436	1.62542321349844	1.78676400456364	0.269434298344782	1.81786666827729	1.66303005869381	1.95297834159292	0.290849188694195	1.83018085585968	0.569142254248878	0.290919497273201	1.99517875218372	1.98094717045447	1.71129357607826	1.96465333770651	1.73544829703717	-0.756208096627702	0.0497228672314536	0.300421621837622	-0.237922693345198	1.72109149032916	1.8524606500868	2.2150718757876	-0.149047220982611	-0.457920211237226	0.0256880435928605	-0.444033194391294	1.3000836774059	-0.409546313243435	2.26080048405365	1.83379914330577	1.91116911311416	1.99761356072949	1.7940274180489	-0.0100388067548594	0.474607590177414	2.81895504322466	-0.747199843604819	-0.201368579358352	1.44759890989449	-0.655895255904266	-0.757992777854051	-0.0197898242814135	1.88638370970951	-0.00927619400169348	-0.90421885337625	-0.808174887769712	-0.874731989840642	1.6250940128628	-0.257583172317762	0.227033907593981	2.0191942176394	0.33380810163085	1.26118779773513	0.419326910480971	0.0205282496180156	-0.524327565099076	0.722551420425034	0.14404553013453	0.35526094954259	-0.533672477968115	2.04950557387692	-0.0572881219630678	1.98998454886413	1.9199131325826	2.1652070523096	-0.778849918717131	-0.402455610169101	2.14312354184711	1.92595813299923	1.83685946297281	1.42269199245449	-0.592858259838361	2.22967420616669	0.311593704971967	0.43605251579972	1.84408876522534	0.484579549992004	1.99695985690868	-0.787996279453359	2.03970518489738	2.01614314255416	-0.0542698744102552
"MMP28"	1.53208088292868	1.66947334444132	1.47546549184047	1.57789611260284	1.47635739790552	0.530963442971709	1.55279946415953	0.781908663026385	1.54113405276263	1.51942585659197	1.46253056216768	1.4735232209553	0.0253987756328454	1.03419431208395	1.48717032760991	1.01800015823712	1.6340461172627	1.64164328777357	1.61042633029077	-0.604086180320905	1.5896711371394	1.18567926737147	0.91259915911803	1.45517367935007	1.57599110096471	1.48655931682717	1.46813377280445	1.60436351552171	-0.541532432059649	-0.110491709149677	-0.247555862647381	-0.30795870790336	-0.23702082050955	0.748809957021909	-0.385387537736157	0.248970246180269	-0.417067292253566	0.169943845603955	-0.262909476132884	-0.412928347348418	-0.53340614263557	1.68538805015464	1.50016329825771	1.58053519952603	1.64507634431812	1.13306164848814	0.0609384290736783	0.202280193735033	1.65286741636813	1.66757314095281	-0.090324152424211	-0.614831735036099	1.64571964335549	1.49116819546433	1.73000807323584	0.614276497749949	1.72165111994208	1.43976726288131	0.23911444247003	0.98777769486648	0.983318551779142	-0.245209004746252	0.456270837347155	-0.174610806000674	0.879539513422746	0.946525404350529	0.656563526328831	0.818889850225967	0.537212475484972	-0.140140193518309	0.0559178903268582	-1.0456222503001	0.00428016137286374	1.47047412884732	1.40991670000718	0.78786615710965	0.67728250111574	1.55331303359449	1.53923162003893	0.203104591995604	0.97332236313465	-0.0790905049470567	-0.976864099744875	1.66083088908051	1.56474476668233	1.17885146137278	0.698283896752236	-0.70101993321906	1.63326436417421	0.735049269251543	1.86210226977721	0.381123635226416	1.10537880719998	-0.578254544225146	1.01635377287898
"ZFP2"	1.40064335758091	1.89399858207627	1.74527802649323	1.42559063871812	1.92917117274217	1.46708917904561	1.71715087063504	0.0925811425301857	1.80473914847213	1.53748720180485	1.71555655466679	-0.0516435671728356	-0.320133844712765	1.42696464627841	1.44625769489299	0.51632220727588	1.48847580872313	1.60791713414445	1.47754462438128	-0.0808701049423741	1.69137209492378	1.71519109828264	1.47231513233379	0.80572082154244	1.58367396480543	0.817355070088053	1.42611093665756	1.92404202449619	-1.08995699297007	0.358596805798858	-0.205505869039281	0.140091902036526	-0.0653434163291445	-0.0471249005717383	0.210170180815611	0.494918537255992	0.370516642352984	-0.264068139462374	-0.0184620136639349	1.4985007526867	0.572953583017508	0.527260606510026	0.0365962519542906	0.723158608621722	1.74622188075422	0.231200591685035	1.4191208666576	1.33121532598744	1.37255052235966	0.436715418644111	1.55754706069124	2.05927471804499	1.51096200014816	1.51190908074514	0.60705593270158	2.35197306973725	1.68527945463187	-0.333062980276881	1.40099630494745	1.73791969769702	1.77334568401215	-0.842709444628473	1.44623415098811	2.23690513812605e-05	0.0167563671407179	-0.14345887771104	1.7793834170677	0.314020900819279	0.388555691544457	-1.27304933840102	-1.39786391664023	0.300235912914	0.594013965617703	-0.0798178912925827	0.117247690759581	1.46929186333709	0.214858606625928	1.53568279827502	0.319203805151149	0.234813197150859	0.512180847424071	-0.146252496669032	-0.721797642733212	1.46929084103979	-0.146142270829189	-0.140500500722019	-0.0785680186289432	0.178980052336842	1.44257781576646	-0.208275348053213	-1.30510123488593	1.44529623002748	0.398050521525817	1.86520148636869	-0.519834822751874
"AZU1"	1.61682022793634	1.55272454878414	1.08499574513315	1.53272351656569	0.266354597992067	1.57619013001688	1.57353570244907	1.61562399745083	0.494657405582769	1.57453600110472	1.6151253912973	1.63255618310654	1.62984172075737	0.393512751846904	1.55650340630004	1.55622885730414	1.55736691718147	1.60723895478421	0.85310128278965	0.166257038470952	1.59236768888315	0.788909313098384	1.58387347942817	1.63487833101809	0.660052761726902	0.596781149378605	1.54036577214008	1.63596885371408	-0.727549446527071	-0.293156086802537	-0.0497462639472671	0.128560030449357	-0.141021444901479	-0.589317046352713	0.708388734220652	0.132934383028026	1.5646033537997	1.4634509529572	-0.149908069883613	-0.66379747844763	0.09972800511242	1.68416044566439	1.54110485359716	1.58075732708161	1.94628817542276	0.653663176659442	1.6612435262169	0.607350265079753	1.98262322879268	1.69996078606102	1.55735789814111	1.55650929813256	1.61952053458669	0.420049339604947	1.59328229032343	1.56738285539605	1.63591186035859	0.377999868095558	-0.384259420032611	0.642881797564268	1.56636318500375	1.77353388595954	1.18869365960299	1.53486703471761	-0.568517576329638	0.721192953425909	1.68390699191041	0.387009677941739	-0.392638930498487	-0.0912076496634053	-0.0208478614848874	-0.224992807418007	0.153725847936215	1.65808731125338	0.082792000485256	0.426373504016726	0.617852088646328	0.315829429578398	-1.19353216287344	0.251317275018582	0.623132009782729	-0.429485100753195	-0.368280792299121	1.59211844606605	-0.90842598165102	0.77855676639586	-0.712681624627975	-0.495987082934763	1.61027765396328	0.06790497574015	1.6450662629951	-0.276807573082978	1.80577874549348	1.59671310301017	-0.0365978019130601
