"ID"	"State"	"InitialState"
"31"	"TCGA.55.6983.11A.01R.1949.07"	"S01"	"IS02"
"32"	"TCGA.44.6776.11A.01R.1858.07"	"S01"	"IS02"
"33"	"TCGA.77.7335.11A.01R.2045.07"	"S01"	"IS02"
"34"	"TCGA.38.A44F.01A.11R.A24H.07"	"S01"	"IS02"
"35"	"TCGA.77.7138.11A.01R.2045.07"	"S01"	"IS02"
"36"	"TCGA.44.6778.11A.01R.1858.07"	"S01"	"IS02"
"37"	"TCGA.22.1016.01A.01R.0692.07"	"S01"	"IS02"
"38"	"TCGA.55.6971.11A.01R.1949.07"	"S01"	"IS02"
"39"	"TCGA.51.4081.11A.01R.1758.07"	"S01"	"IS02"
"40"	"TCGA.77.7337.11A.01R.2045.07"	"S01"	"IS02"
"41"	"TCGA.22.5481.11A.01R.1949.07"	"S01"	"IS02"
"42"	"TCGA.22.5478.11A.11R.1635.07"	"S01"	"IS02"
"43"	"TCGA.38.4625.11A.01R.1758.07"	"S01"	"IS02"
"44"	"TCGA.43.6647.11A.01R.1820.07"	"S01"	"IS02"
"45"	"TCGA.99.7458.01A.11R.2039.07"	"S01"	"IS02"
"46"	"TCGA.50.5931.11A.01R.1858.07"	"S01"	"IS02"
"47"	"TCGA.44.5645.11A.01R.1628.07"	"S01"	"IS02"
"48"	"TCGA.91.6836.11A.01R.1858.07"	"S01"	"IS02"
"49"	"TCGA.60.2704.01A.11R.2045.07"	"S01"	"IS02"
"50"	"TCGA.50.5935.11A.01R.1858.07"	"S01"	"IS02"
"51"	"TCGA.56.7582.11A.01R.2045.07"	"S01"	"IS02"
"52"	"TCGA.91.6830.01A.11R.1949.07"	"S01"	"IS02"
"53"	"TCGA.56.8309.11A.01R.2296.07"	"S01"	"IS02"
"54"	"TCGA.44.6777.11A.01R.1858.07"	"S01"	"IS02"
"55"	"TCGA.22.4593.11A.01R.1820.07"	"S01"	"IS02"
"56"	"TCGA.97.7553.01A.21R.2039.07"	"S01"	"IS02"
"57"	"TCGA.43.3394.11A.01R.1758.07"	"S01"	"IS02"
"58"	"TCGA.91.6849.11A.01R.1949.07"	"S01"	"IS02"
"121"	"TCGA.37.A5EN.01A.21R.A26W.07"	"S02"	"IS05"
"122"	"TCGA.85.7950.01A.11R.2187.07"	"S02"	"IS05"
