"ID"	"State"	"InitialState"
"163"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"S01"	"IS09"
"164"	"TCGA.50.6590.01A.12R.1858.07"	"S01"	"IS09"
"165"	"TCGA.50.5044.01A.21R.1858.07"	"S01"	"IS09"
"166"	"TCGA.63.A5MM.01A.11R.A26W.07"	"S01"	"IS09"
"167"	"TCGA.63.6202.01A.11R.1820.07"	"S01"	"IS09"
"168"	"TCGA.78.8660.01A.11R.2403.07"	"S01"	"IS09"
"169"	"TCGA.44.3396.01A.01R.1206.07"	"S01"	"IS09"
"170"	"TCGA.22.4596.01A.01R.1201.07"	"S01"	"IS09"
"171"	"TCGA.39.5011.01A.01R.1443.07"	"S01"	"IS09"
"172"	"TCGA.64.1679.01A.21R.2066.07"	"S01"	"IS09"
"173"	"TCGA.38.4629.01A.02R.1206.07"	"S01"	"IS09"
"174"	"TCGA.64.5815.01A.01R.1628.07"	"S01"	"IS09"
"175"	"TCGA.05.4398.01A.01R.1206.07"	"S01"	"IS09"
"176"	"TCGA.55.8090.01A.11R.2241.07"	"S01"	"IS09"
"177"	"TCGA.95.8494.01A.11R.2326.07"	"S01"	"IS09"
"178"	"TCGA.64.5775.01A.01R.1628.07"	"S01"	"IS09"
"179"	"TCGA.77.8007.01A.11R.2187.07"	"S01"	"IS09"
"202"	"TCGA.44.6775.01A.11R.1858.07"	"S02"	"IS11"
"203"	"TCGA.69.7761.01A.11R.2170.07"	"S02"	"IS11"
"204"	"TCGA.22.1016.01A.01R.0692.07"	"S02"	"IS11"
"205"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"S02"	"IS11"
"206"	"TCGA.97.A4LX.01A.11R.A24X.07"	"S02"	"IS11"
"207"	"TCGA.69.7978.01A.11R.2187.07"	"S02"	"IS11"
"208"	"TCGA.86.6851.01A.11R.1949.07"	"S02"	"IS11"
"209"	"TCGA.58.8393.01A.11R.2326.07"	"S02"	"IS11"
"210"	"TCGA.21.1076.01A.01R.0692.07"	"S02"	"IS11"
"211"	"TCGA.55.6971.01A.11R.1949.07"	"S02"	"IS11"
"212"	"TCGA.55.8092.01A.11R.2241.07"	"S02"	"IS11"
"213"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"S02"	"IS11"
"214"	"TCGA.97.7553.01A.21R.2039.07"	"S02"	"IS11"
"215"	"TCGA.98.7454.01A.11R.2045.07"	"S02"	"IS11"
"241"	"TCGA.50.5946.02A.11R.2090.07"	"S03"	"IS13"
"242"	"TCGA.50.5049.01A.01R.1628.07"	"S03"	"IS13"
"243"	"TCGA.56.8503.01A.11R.2403.07"	"S03"	"IS13"
"244"	"TCGA.86.6562.01A.11R.1755.07"	"S03"	"IS13"
"245"	"TCGA.46.3767.01A.01R.0980.07"	"S03"	"IS13"
"246"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"S03"	"IS13"
"247"	"TCGA.55.8091.01A.11R.2241.07"	"S03"	"IS13"
"248"	"TCGA.60.2704.01A.11R.2045.07"	"S03"	"IS13"
"249"	"TCGA.85.6561.01A.11R.1820.07"	"S03"	"IS13"
"250"	"TCGA.46.3766.01A.01R.0980.07"	"S03"	"IS13"
"42"	"TCGA.77.7465.01A.11R.2045.07"	"S04"	"IS03"
"43"	"TCGA.85.7950.01A.11R.2187.07"	"S04"	"IS03"
"44"	"TCGA.18.3410.01A.01R.0980.07"	"S04"	"IS03"
"45"	"TCGA.98.8021.01A.11R.2247.07"	"S04"	"IS03"
"46"	"TCGA.34.5239.01A.21R.1820.07"	"S04"	"IS03"
"47"	"TCGA.58.8390.01A.11R.2326.07"	"S04"	"IS03"
"48"	"TCGA.85.8287.01A.11R.2296.07"	"S04"	"IS03"
"49"	"TCGA.77.8133.01A.12R.2247.07"	"S04"	"IS03"
"50"	"TCGA.60.2712.01A.01R.0851.07"	"S04"	"IS03"
"51"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"S04"	"IS03"
"52"	"TCGA.43.A475.01A.11R.A24H.07"	"S04"	"IS03"
"53"	"TCGA.22.5489.01A.01R.1635.07"	"S04"	"IS03"
"54"	"TCGA.90.7767.01A.11R.2125.07"	"S04"	"IS03"
"55"	"TCGA.85.7699.01A.11R.2125.07"	"S04"	"IS03"
"56"	"TCGA.85.8288.01A.11R.2296.07"	"S04"	"IS03"
"57"	"TCGA.66.2767.01A.01R.0851.07"	"S04"	"IS03"
"106"	"TCGA.43.7658.01A.11R.2125.07"	"S05"	"IS06"
"107"	"TCGA.56.7223.01A.11R.2045.07"	"S05"	"IS06"
"108"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"S05"	"IS06"
"109"	"TCGA.60.2703.01A.11R.2045.07"	"S05"	"IS06"
"110"	"TCGA.86.8358.01A.11R.2326.07"	"S05"	"IS06"
"111"	"TCGA.60.2695.01A.01R.0851.07"	"S05"	"IS06"
