"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"DPEP2"	"DPEP2"	1.72247189640367	-0.485436446233493	-0.164111821358759	-1.05564559885465	"S01"	1.72247189640367	"IS01"
"SPN"	"SPN"	1.70083008057224	-0.00299800600972499	-0.0796178255783282	-1.4834837472982	"S01"	1.70083008057224	"IS01"
"RASGRP4"	"RASGRP4"	1.6669105358279	-0.356584336820838	-0.263013690584292	-1.04592568899689	"S01"	1.6669105358279	"IS01"
"BTK"	"BTK"	1.66403173390517	0.0602925198886501	-0.234941926011787	-1.40070539534367	"S01"	1.66403173390517	"IS01"
"MRC1"	"MRC1"	1.64430789252661	-0.315298368299611	0.145542137482844	-1.32473244314849	"S01"	1.64430789252661	"IS01"
"OLR1"	"OLR1"	1.61474682751082	-0.461321572201662	-0.210446207155666	-0.947742568437698	"S01"	1.61474682751082	"IS01"
"ARHGEF6"	"ARHGEF6"	1.61291693292548	0.106581300290275	-0.371282148782085	-1.30349674304981	"S01"	1.61291693292548	"IS01"
"MS4A2"	"MS4A2"	1.59871326397744	-0.396358168680484	0.158499103930688	-1.22599395957674	"S01"	1.59871326397744	"IS01"
"CCL23"	"CCL23"	1.54738932869577	-0.4628094033662	0.204466226611248	-1.15542396808529	"S01"	1.54738932869577	"IS01"
"COLEC12"	"COLEC12"	1.51860608768322	-0.13185569493126	0.155960053421825	-1.36709214390537	"S01"	1.51860608768322	"IS01"
"LRRK2"	"LRRK2"	1.50020075544407	-0.756838912668008	0.655696705275041	-1.16697222525809	"S01"	1.50020075544407	"IS01"
"FFAR4"	"FFAR4"	1.49908117536256	-0.27489784157924	0.0595383041326084	-1.17037889601468	"S01"	1.49908117536256	"IS01"
"GAPT"	"GAPT"	1.49346929189836	-0.0843493757514206	0.15682122420052	-1.38357272443386	"S01"	1.49346929189836	"IS01"
"RGS13"	"RGS13"	1.48272668492796	-0.0750013245395993	-0.290706036986842	-1.09046944754004	"S01"	1.48272668492796	"IS01"
"CD37"	"CD37"	1.47779971423439	0.378356174962847	-0.00887258146073136	-1.63807792973695	"S01"	1.47779971423439	"IS01"
"AQP1"	"AQP1"	1.47251284113936	-0.502782930837358	0.496779649268009	-1.24528189511801	"S01"	1.47251284113936	"IS01"
