"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"NLRC4"	"NLRC4"	0.399649796585508	1.99629369802976	-0.651331396034041	-0.876453981114786	-0.270047007472734	-0.285523095427968	-1.10217249630315	-0.469534517241792	0.709236202669988	0.346418150423289	"S01"	1.99629369802976	"IS02"
"GLIPR2"	"GLIPR2"	0.263470067700049	1.95073607334652	-0.370361488428866	-0.733660295311627	-0.660167394296689	0.129683928848063	-0.901585204785544	-0.421534910906701	0.807248786177067	-0.299363496754589	"S01"	1.95073607334652	"IS02"
"OSCAR"	"OSCAR"	0.695342361872871	1.91586368498161	-0.442455801482108	-0.928751017974133	-0.0872127013317471	0.16389634352949	-1.28844009805048	-0.429436399622354	0.629834274466332	-0.0805468127444264	"S01"	1.91586368498161	"IS02"
"PDE1B"	"PDE1B"	0.434187747863904	1.89404452906921	-0.358795922834719	-0.696835247290887	-0.432486434218237	-0.051278462365662	-0.830136659975641	-0.794705478146317	0.294351089142178	0.182594399779164	"S01"	1.89404452906921	"IS02"
"C1orf162"	"C1orf162"	0.588599204875139	1.8936924545068	-0.732896701907267	-1.04494422549575	-0.339019921607253	-0.195474533858652	-1.12563308922682	-0.303145085236328	1.01076053918963	0.194531519665971	"S01"	1.8936924545068	"IS02"
"ZMYND15"	"ZMYND15"	0.624374550222201	1.85951233161257	-0.501901906242579	-0.821480822333497	0.416680690968877	-0.543126212750125	-0.703661459985761	-0.78770544160536	-0.202031514834376	0.159395895823283	"S01"	1.85951233161257	"IS02"
"MARCO"	"MARCO"	0.409530109743612	1.80148260462469	-0.549782555603405	-0.973577375723766	0.336815838103729	-0.0226599807782131	-1.18970933601252	-0.330204870112098	0.707979258386867	0.0295990412387529	"S01"	1.80148260462469	"IS02"
"ADAMTSL4"	"ADAMTSL4"	0.563148843857121	1.79790619780479	-0.616748084656741	-0.825859028913126	0.134489753848439	0.220671945968582	-0.794357648266071	-0.812550036193524	0.292104115116164	-0.0712066796578111	"S01"	1.79790619780479	"IS02"
"TMEM150B"	"TMEM150B"	1.04895662940049	1.78946504745476	-0.172508274894252	-0.998822373755348	-0.369612298037355	-0.0128837927655327	-1.12172348047079	-0.452340426542467	0.581725629121549	-0.333413186495235	"S01"	1.78946504745476	"IS02"
"DOK2"	"DOK2"	1.00187847064852	1.7822462492487	-0.496770779596374	-1.00342557175417	-0.268499338186856	-0.0750500786243243	-1.21016352456212	-0.587394074939736	0.842408762884229	0.0292896460226023	"S01"	1.7822462492487	"IS02"
