"ID"	"State"	"InitialState"
"1"	"TCGA.44.6775.01A.11R.1858.07"	"S01"	"IS01"
"2"	"TCGA.50.6590.01A.12R.1858.07"	"S01"	"IS01"
"3"	"TCGA.69.7761.01A.11R.2170.07"	"S01"	"IS01"
"4"	"TCGA.MP.A4T4.01A.11R.A262.07"	"S01"	"IS01"
"5"	"TCGA.93.7347.01A.11R.2187.07"	"S01"	"IS01"
"6"	"TCGA.73.4662.01A.01R.1206.07"	"S01"	"IS01"
"7"	"TCGA.60.2721.01A.01R.0851.07"	"S01"	"IS01"
"8"	"TCGA.86.7701.01A.11R.2170.07"	"S01"	"IS01"
"9"	"TCGA.44.3396.01A.01R.1206.07"	"S01"	"IS01"
"10"	"TCGA.85.A513.01A.12R.A26W.07"	"S01"	"IS01"
"11"	"TCGA.22.4596.01A.01R.1201.07"	"S01"	"IS01"
"12"	"TCGA.50.5049.01A.01R.1628.07"	"S01"	"IS01"
"13"	"TCGA.38.7271.01A.11R.2039.07"	"S01"	"IS01"
"14"	"TCGA.66.2788.01A.01R.0980.07"	"S01"	"IS01"
"15"	"TCGA.97.A4LX.01A.11R.A24X.07"	"S01"	"IS01"
"16"	"TCGA.51.4081.11A.01R.1758.07"	"S01"	"IS01"
"17"	"TCGA.34.5239.01A.21R.1820.07"	"S01"	"IS01"
"18"	"TCGA.69.7978.01A.11R.2187.07"	"S01"	"IS01"
"19"	"TCGA.46.3767.01A.01R.0980.07"	"S01"	"IS01"
"20"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"S01"	"IS01"
"21"	"TCGA.85.8287.01A.11R.2296.07"	"S01"	"IS01"
"22"	"TCGA.77.8133.01A.12R.2247.07"	"S01"	"IS01"
"23"	"TCGA.86.6851.01A.11R.1949.07"	"S01"	"IS01"
"24"	"TCGA.60.2712.01A.01R.0851.07"	"S01"	"IS01"
"25"	"TCGA.22.5489.01A.01R.1635.07"	"S01"	"IS01"
"26"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"S01"	"IS01"
"27"	"TCGA.60.2704.01A.11R.2045.07"	"S01"	"IS01"
"28"	"TCGA.05.4410.01A.21R.1858.07"	"S01"	"IS01"
"29"	"TCGA.55.6970.01A.11R.1949.07"	"S01"	"IS01"
"30"	"TCGA.85.6561.01A.11R.1820.07"	"S01"	"IS01"
"31"	"TCGA.21.1076.01A.01R.0692.07"	"S01"	"IS01"
