"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"TCL1A"	"TCL1A"	1.4661196162977	0.741533281159157	-0.302649524074551	-0.338391267281042	-0.423563739387093	-0.327717302887186	"S01"	1.4661196162977	"IS01"
"NEIL1"	"NEIL1"	1.444652038677	0.145141488648139	-0.187434823368411	-0.0186447817623221	-0.225121301538541	-0.24140388578683	"S01"	1.444652038677	"IS01"
"LRMP"	"LRMP"	1.42001353951505	-0.0776578011403982	-0.238523040770423	0.100864051780016	0.0499909856412757	-0.24562014737206	"S01"	1.42001353951505	"IS01"
"GCSAM"	"GCSAM"	1.3196676381273	-0.0213644895592232	-0.220838637417229	-0.0434917569565897	-0.0410596422239376	-0.121832437419828	"S01"	1.3196676381273	"IS01"
"AICDA"	"AICDA"	1.21891541259371	-0.0876143486984127	-0.0850406101809563	-0.08310786904048	-0.0791323217743067	-0.0927612530278255	"S01"	1.21891541259371	"IS01"
"SERPINA9"	"SERPINA9"	1.16719573083414	-0.0890300967071293	-0.0808075963305492	-0.0735225810488404	-0.0529857813388021	-0.102483108157215	"S01"	1.16719573083414	"IS01"
"VNN2"	"VNN2"	1.16531480506482	-0.0743124247421765	-0.133267222734659	-0.0857305478011584	-0.038324433471973	-0.0723970658476187	"S01"	1.16531480506482	"IS01"
"RRAS2"	"RRAS2"	1.06745676367743	0.0925434458366537	-0.292000373600856	-0.0431251113710717	0.0397094583089684	-0.140472331044612	"S01"	1.06745676367743	"IS01"
"BCAS4"	"BCAS4"	1.05673354526684	-0.146678849402676	-0.32033603249874	0.238048522077651	0.370920178763067	-0.30380718122041	"S01"	1.05673354526684	"IS01"
"SMIM14"	"SMIM14"	1.05531461779013	-0.192680152756777	-0.406169798437546	0.405997489176996	0.193554061452007	-0.215214141672424	"S01"	1.05531461779013	"IS01"
"CCDC152"	"CCDC152"	1.01367481731245	-0.0731073047898436	-0.00846812176033056	-0.15753495376591	-0.00938369802170725	-0.0943862368055511	"S01"	1.01367481731245	"IS01"
"LIMD2"	"LIMD2"	1.01263252538295	0.0970515277724551	-0.427840471355563	0.0874370216074591	0.425436365109004	-0.339696502557076	"S01"	1.01263252538295	"IS01"
"CORO1A"	"CORO1A"	0.997267627071211	-0.101945666494852	-0.581210536992291	0.431632799029466	0.541546790754722	-0.358695733298345	"S01"	0.997267627071211	"IS01"
"GGA2"	"GGA2"	0.972100758252499	0.132084367141953	-0.282681208634062	0.224383782148309	0.116374396794829	-0.396735763883271	"S01"	0.972100758252499	"IS01"
"EAF2"	"EAF2"	0.961511960167158	0.174282890485013	-0.23135255993477	-0.0146042695997965	0.234384021107995	-0.364383740195271	"S01"	0.961511960167158	"IS01"
"SCIMP"	"SCIMP"	0.954384288399209	-0.186603540031544	-0.200552014214425	0.0486979521653237	0.256373363965384	-0.130134881487029	"S01"	0.954384288399209	"IS01"
"PMAIP1"	"PMAIP1"	0.916909785794605	0.273928825481866	-0.482362466090081	0.214032767823046	-0.107710066298629	-0.208268991059762	"S01"	0.916909785794605	"IS01"
"CNTRL"	"CNTRL"	0.885924494452675	0.0414560386750615	-0.219373710171991	0.0998981534282021	0.00571420875752287	-0.187988263137951	"S01"	0.885924494452675	"IS01"
"CD79B"	"CD79B"	0.850676995482454	0.37530090794973	-0.405031829442268	-0.144400184833343	0.292770890468809	-0.308608866205764	"S01"	0.850676995482454	"IS01"
"HTR3A"	"HTR3A"	0.844864453973614	0.0138230613966828	-0.0501475117634992	-0.132640304480246	0.0846905194675182	-0.162289301119999	"S01"	0.844864453973614	"IS01"
"NCOA3"	"NCOA3"	0.828400112813861	-0.136661261217434	-0.173012779318439	0.254113389451611	0.138714261489884	-0.243212213456926	"S01"	0.828400112813861	"IS01"
"MS4A1"	"MS4A1"	0.826489489479169	0.0288113895707834	-0.476847017035913	0.120920131099631	0.521928494030782	-0.26861734539824	"S01"	0.826489489479169	"IS01"
"KREMEN2"	"KREMEN2"	0.822711978862094	-0.147832757168366	-0.0419212207209807	0.00257260122834903	0.0768812993847519	-0.115894177253014	"S01"	0.822711978862094	"IS01"
"PEG10"	"PEG10"	0.813122537030429	0.0949832178293863	-0.00560150414069523	-0.175343691414375	-0.184241180190143	-0.0728800341803682	"S01"	0.813122537030429	"IS01"
"CENPM"	"CENPM"	0.801448939943147	0.233659125806856	-0.285404216322592	-0.13954707773174	-0.0904425832978818	-0.047904905325674	"S01"	0.801448939943147	"IS01"
"IRF8"	"IRF8"	0.78983094820991	0.36236645055032	-0.370908476312148	0.138749539291789	-0.0903189680281957	-0.293697681906805	"S01"	0.78983094820991	"IS01"
"C2orf66"	"C2orf66"	0.786545053751396	-0.0565360253011722	-0.0548752363082369	-0.0536280718466861	-0.0510627198904665	-0.0598572337300795	"S01"	0.786545053751396	"IS01"
"PIP"	"PIP"	0.786545053751396	-0.0565360253011722	-0.0548752363082369	-0.0536280718466861	-0.0510627198904665	-0.0598572337300795	"S01"	0.786545053751396	"IS01"
"ST8SIA5"	"ST8SIA5"	0.786545053751396	-0.0565360253011722	-0.0548752363082369	-0.0536280718466861	-0.0510627198904665	-0.0598572337300795	"S01"	0.786545053751396	"IS01"
"HHEX"	"HHEX"	0.762847521794623	-0.0467719918124542	0.0287247580988614	-0.109495961612653	-0.0529021024139466	-0.0864384596878386	"S01"	0.762847521794623	"IS01"
"TRIM38"	"TRIM38"	0.749956915894469	0.230756992353454	-0.268338513908068	0.094588387784088	0.0947275338188208	-0.323886249781784	"S01"	0.749956915894469	"IS01"
"RGS2"	"RGS2"	0.748520759757661	0.281285429623511	-0.313296783128158	0.511171026039488	-0.0231384553204327	-0.569847074699976	"S01"	0.748520759757661	"IS01"
"CD180"	"CD180"	0.748310800947747	-0.0243210690677331	-0.0634844247355993	-0.121775260686041	0.0886852886757888	-0.10121988460876	"S01"	0.748310800947747	"IS01"
"LINGO3"	"LINGO3"	0.741426020308885	-0.0459560950820164	-0.0362029616215209	-0.107578719289966	-0.102432584654228	-0.00188352175347861	"S01"	0.741426020308885	"IS01"
"ZNF410"	"ZNF410"	0.73736059778578	0.0580224745183759	-0.115099238907556	-0.112483347114202	-0.0180651388842782	-0.0739766186061099	"S01"	0.73736059778578	"IS01"
"CD37"	"CD37"	0.734376641147943	0.397759795082803	-0.924993156091547	0.342382072485158	0.242142733830508	-0.208122690045557	"S01"	0.734376641147943	"IS01"
"STK17A"	"STK17A"	0.728528475349014	0.24239418029228	-0.473764811911389	0.0648969319447142	0.294888054863973	-0.257805522826055	"S01"	0.728528475349014	"IS01"
"RBM38"	"RBM38"	0.722310718352675	0.332317879103401	-0.326724991713524	0.192840578753923	-0.123591752525849	-0.304137189185991	"S01"	0.722310718352675	"IS01"
"SWAP70"	"SWAP70"	0.722103666358683	0.0273710027930346	-0.17110898803996	0.102220652170701	0.253062162582252	-0.312933946444552	"S01"	0.722103666358683	"IS01"
"ST6GAL1"	"ST6GAL1"	0.715808934445635	-0.0946145370727133	-0.164590283561885	0.234475176256197	0.00552835635096797	-0.163379585406672	"S01"	0.715808934445635	"IS01"
"CD53"	"CD53"	0.713334620927498	0.200332470893948	-0.543087315031023	0.449000106573618	0.432404622611252	-0.52331321859524	"S01"	0.713334620927498	"IS01"
"CD22"	"CD22"	0.712510436338706	0.298689914726708	-0.287812763544256	0.0959678027595789	-0.0554355386337399	-0.27127574249284	"S01"	0.712510436338706	"IS01"
"TPD52"	"TPD52"	0.708035353085934	0.236530805118454	-0.272844368958218	0.138312171610918	0.0964812243076889	-0.346660316474851	"S01"	0.708035353085934	"IS01"
"HLA-DMB"	"HLA-DMB"	0.70707915341375	0.279742738472696	-0.43591473881429	0.111481151481942	0.338619696839192	-0.374325644941183	"S01"	0.70707915341375	"IS01"
"RHOH"	"RHOH"	0.706132285322636	0.578702575322766	-0.562031701907752	0.165103775469181	-0.149893702653818	-0.291557259479601	"S01"	0.706132285322636	"IS01"
"POU2AF1"	"POU2AF1"	0.704530532052988	-0.183407676921333	-0.303250001972261	0.236313978337891	0.523759091156006	-0.273010001198286	"S01"	0.704530532052988	"IS01"
"ANKRD13A"	"ANKRD13A"	0.701497456193449	-0.132975581051539	-0.194840898277616	0.059879992583896	0.248977310917677	-0.114152452117843	"S01"	0.701497456193449	"IS01"
"P2RX5"	"P2RX5"	0.699636282024367	0.138330686622854	-0.216228758195613	-0.0420394299947672	0.060531877322531	-0.150100921790379	"S01"	0.699636282024367	"IS01"
"FCRLA"	"FCRLA"	0.692849458588161	-0.0204290334181616	-0.336844878881495	0.169671318919482	0.211045718590114	-0.155479531776528	"S01"	0.692849458588161	"IS01"
"FCRL5"	"FCRL5"	0.692778628406146	0.239271708626641	-0.104495617600373	-0.149837018559046	0.110952113551628	-0.275905246521176	"S01"	0.692778628406146	"IS01"
"RLTPR"	"RLTPR"	0.688176487811232	0.00690804858189201	-0.11681671269706	0.0374498985149544	-0.0124612847215239	-0.127422235345124	"S01"	0.688176487811232	"IS01"
"LAT2"	"LAT2"	0.683016258105155	0.108055592246394	-0.238211839473899	-0.00805966213905635	0.119427966510401	-0.160397222365639	"S01"	0.683016258105155	"IS01"
"LYN"	"LYN"	0.6814770726199	0.318237731792073	-0.409680292754276	0.0717144504288662	0.0928627803681605	-0.250209546078648	"S01"	0.6814770726199	"IS01"
"NCF1"	"NCF1"	0.678883689696231	0.666215365270116	-0.402273517244712	-0.0827119290275377	0.128920637054949	-0.46757861612152	"S01"	0.678883689696231	"IS01"
"HERPUD1"	"HERPUD1"	0.643042165488282	0.326209083175454	-0.456583090729357	0.311802070692945	0.182925522916444	-0.437526686198073	"S01"	0.643042165488282	"IS01"
"S1PR2"	"S1PR2"	0.63705320845959	-0.226597304863478	-0.210732882962926	0.448746037683326	0.0724191812184446	-0.184895247791605	"S01"	0.63705320845959	"IS01"
"PXK"	"PXK"	0.630437152124984	0.0972640922054167	-0.158252810957651	-0.0105269567938908	-0.0421629736437763	-0.104632503747692	"S01"	0.630437152124984	"IS01"
"DAPP1"	"DAPP1"	0.627201332627861	-0.0142190543866091	-0.283770051369655	0.179772653940853	0.242478103640223	-0.210455763599988	"S01"	0.627201332627861	"IS01"
"HSF5"	"HSF5"	0.623195026095649	-0.0692767849197978	-0.0672417263664623	-0.065713505312679	-0.062570034671298	0.0229147730141182	"S01"	0.623195026095649	"IS01"
"POU2F2"	"POU2F2"	0.614411775731201	0.106602840166118	-0.464211965901227	0.176636909153553	0.127374162285769	-0.0993745897590756	"S01"	0.614411775731201	"IS01"
"HLA-DMA"	"HLA-DMA"	0.609509190499731	0.531417732478006	-0.504796838765942	0.106940068470958	0.284099918045666	-0.477214974662926	"S01"	0.609509190499731	"IS01"
"CDK5R1"	"CDK5R1"	0.59055612775164	-0.00581772638338691	0.0365300025180903	-0.0150963183206462	-0.15198039251233	-0.0918959787670751	"S01"	0.59055612775164	"IS01"
"ELF1"	"ELF1"	0.5854699716374	0.483682171773384	-0.406140237767361	0.188212249995425	0.108150883765725	-0.465368655186709	"S01"	0.5854699716374	"IS01"
"KIAA0922"	"KIAA0922"	0.584504008172784	0.0196141711909225	-0.106792717621178	0.219440572156596	-0.168618945337869	-0.160649085113764	"S01"	0.584504008172784	"IS01"
"KHDRBS2"	"KHDRBS2"	0.581480692265277	-0.0339567581809412	-0.0239804263411842	-0.01471070923463	0.0132469376865885	-0.112263078166992	"S01"	0.581480692265277	"IS01"
"CAMP"	"CAMP"	0.581395538005484	-0.166077202204667	-0.110288412148018	0.396264393506407	-0.149999113152962	-0.135109821572536	"S01"	0.581395538005484	"IS01"
"STAP1"	"STAP1"	0.579611652300498	0.149628261880721	-0.210748142208908	0.0477471478408253	0.109244038138663	-0.224700424067719	"S01"	0.579611652300498	"IS01"
"STAG3"	"STAG3"	0.577322369705516	0.169391929025781	-0.19321316730263	0.100967507479325	-0.31530696995561	-0.0486213799606975	"S01"	0.577322369705516	"IS01"
"SMAP2"	"SMAP2"	0.568674312909172	0.0640512540289903	-0.341853581811443	0.248113247658402	0.339372598596641	-0.322400018762392	"S01"	0.568674312909172	"IS01"
"ZNF821"	"ZNF821"	0.567982780745292	-0.111475518960388	-0.126028451031804	-0.0240352330304539	0.0972894051844659	-0.000730152363878585	"S01"	0.567982780745292	"IS01"
"P2RY8"	"P2RY8"	0.562862016219309	-0.00146491046110429	-0.249454788522497	0.0287582164764485	0.0843902652694088	-0.0282788694921255	"S01"	0.562862016219309	"IS01"
"ICOSLG"	"ICOSLG"	0.561965200975196	0.225564816501592	-0.187813668968253	-0.143377383215715	-0.0964939131406985	-0.0448730150151845	"S01"	0.561965200975196	"IS01"
"CLEC17A"	"CLEC17A"	0.557347219364958	0.145408398960367	-0.165956039314118	-0.108337403610692	0.050658285517936	-0.101830260011721	"S01"	0.557347219364958	"IS01"
"DNAJB7"	"DNAJB7"	0.555894018166837	-0.0399570731847537	-0.0387833035930351	-0.0379018648750116	-0.0360887916121978	-0.0423043511822559	"S01"	0.555894018166837	"IS01"
"OMP"	"OMP"	0.555894018166837	-0.0399570731847537	-0.0387833035930351	-0.0379018648750116	-0.0360887916121978	-0.0423043511822559	"S01"	0.555894018166837	"IS01"
"C4orf22"	"C4orf22"	0.555894018166837	-0.0399570731847537	-0.0387833035930351	-0.0379018648750116	-0.0360887916121978	-0.0423043511822559	"S01"	0.555894018166837	"IS01"
"C7orf72"	"C7orf72"	0.555894018166837	-0.0399570731847537	-0.0387833035930351	-0.0379018648750116	-0.0360887916121978	-0.0423043511822559	"S01"	0.555894018166837	"IS01"
"MAGEB2"	"MAGEB2"	0.555894018166837	-0.0399570731847537	-0.0387833035930351	-0.0379018648750116	-0.0360887916121978	-0.0423043511822559	"S01"	0.555894018166837	"IS01"
"OR2D2"	"OR2D2"	0.555894018166837	-0.0399570731847537	-0.0387833035930351	-0.0379018648750116	-0.0360887916121978	-0.0423043511822559	"S01"	0.555894018166837	"IS01"
"COL9A3"	"COL9A3"	0.555521949695956	-0.157322342357843	-0.156461605861247	0.385709440612192	-0.0440069147332485	-0.152163920010537	"S01"	0.555521949695956	"IS01"
"DCK"	"DCK"	0.545224197398719	0.179475681524139	-0.162022074662784	-0.104229730441633	0.0509198609218368	-0.134567926171565	"S01"	0.545224197398719	"IS01"
"BACH2"	"BACH2"	0.543144143488469	0.225043518445749	-0.18751052332766	0.0419800622578614	-0.206515466898805	-0.111915426198051	"S01"	0.543144143488469	"IS01"
