"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"ZFP36L2"	"ZFP36L2"	-0.00187166450917764	0.0798101871045673	0.982220843241374	-0.0565905935343663	-0.414342014959969	-0.672136048834185	0.238049934325451	"S01"	0.982220843241374	"IS03"
"CD160"	"CD160"	-0.107322470126484	0.0317323033659621	0.9092115154393	-0.269506500794515	-0.244615901668546	-0.317892410065151	-0.0937936555137234	"S01"	0.9092115154393	"IS03"
"XCL1"	"XCL1"	-0.10919736004129	0.338011321587808	0.872385117936085	-0.286836754671869	-0.206803803093447	-0.336627769215587	-0.111667380252698	"S01"	0.872385117936085	"IS03"
"XCL2"	"XCL2"	-0.215908711587206	0.388725207283682	0.861852836076101	-0.288282126424913	-0.301841077799566	-0.326928119217925	0.0122551241030378	"S01"	0.861852836076101	"IS03"
"KLRB1"	"KLRB1"	-0.261851395349414	-0.0655446937352141	0.811869884099173	-0.346880717222306	0.630810947545052	-0.29929418755159	-0.430319180462638	"S01"	0.811869884099173	"IS03"
"LDLRAD4"	"LDLRAD4"	0.204312269675903	-0.115873229809907	0.804869386572183	0.019666995669148	0.183959863763937	-0.456490058023483	-0.451716008926599	"S01"	0.804869386572183	"IS03"
"CD7"	"CD7"	0.557212274396475	-0.0298997690309323	0.769461073514023	-0.0701424353807503	0.432313609008696	-0.691431571566661	-0.425290275206951	"S01"	0.769461073514023	"IS03"
"SARAF"	"SARAF"	-0.329660328381156	0.120784405024749	0.754879257167673	0.0855851711726432	0.00416525944573753	-0.775998027017394	0.468637503815966	"S01"	0.754879257167673	"IS03"
"CD52"	"CD52"	0.298979013864771	0.0375959716447774	0.750188673330491	0.39376746107383	-0.00160354222002914	-0.723230391635867	-0.23598467104944	"S01"	0.750188673330491	"IS03"
"PTGER4"	"PTGER4"	-0.197581976958179	-0.0823474955599935	0.745275026293397	-0.0640430341638592	-0.160195752760536	-0.441640049243334	0.155780696755229	"S01"	0.745275026293397	"IS03"
"STAT4"	"STAT4"	-0.139380041498908	0.165244916126577	0.680928181065623	-0.0911385353574004	-0.19962127532217	-0.35541667811308	0.0432922269731571	"S01"	0.680928181065623	"IS03"
"CCL5"	"CCL5"	0.497070997348915	0.0951808668791046	0.676371669024114	0.632558889517045	-0.567074283779387	-0.814643149653764	0.048657040807047	"S01"	0.676371669024114	"IS03"
"IDS"	"IDS"	-0.268555367485491	0.108095645306136	0.65073419506762	-0.0580407463785017	-0.150507560846833	-0.377456591496194	0.154262588254271	"S01"	0.65073419506762	"IS03"
"TNFAIP3"	"TNFAIP3"	0.0313305003636179	-0.0618431666044752	0.647856411202692	0.173964148948312	0.00759406857999733	-0.626417534567978	0.0920078635015397	"S01"	0.647856411202692	"IS03"
"CREM"	"CREM"	0.265439381378692	-0.153770080436354	0.646892989679061	-0.183687873688397	0.329988693872032	-0.795364586795884	0.2497808631933	"S01"	0.646892989679061	"IS03"
"YPEL5"	"YPEL5"	-0.226362127033451	0.0457750506773317	0.646757412539312	-0.0167235351126541	-0.40606964711973	-0.495510964411463	0.468808851308631	"S01"	0.646757412539312	"IS03"
"GABARAPL1"	"GABARAPL1"	0.107448553035512	0.0738645525930262	0.624136897924617	-0.0967135192365907	-0.155998059914551	-0.442313445110961	0.0648881931241247	"S01"	0.624136897924617	"IS03"
"SRGN"	"SRGN"	0.114174679767895	0.173177204231297	0.620683541555054	0.292883743044934	-0.122980216242558	-0.962425618352526	0.518399878725965	"S01"	0.620683541555054	"IS03"
"AUTS2"	"AUTS2"	-0.109232371031731	0.0511650970846224	0.619888470289843	-0.12896171772566	-0.375153617116018	-0.290763047870188	0.168548628032874	"S01"	0.619888470289843	"IS03"
"GPR65"	"GPR65"	0.0895565386665522	0.196530634009957	0.617498391185873	-0.124871671170527	0.160561063205646	-0.364234009488963	-0.26043848253546	"S01"	0.617498391185873	"IS03"
"CD3E"	"CD3E"	0.0638476252705421	0.0476893284575254	0.604045642359547	0.333742447518512	-0.0185059651292616	-0.672305105856762	0.0621461810940606	"S01"	0.604045642359547	"IS03"
"ARHGDIB"	"ARHGDIB"	0.0225494863035739	-0.089742334029833	0.596813716401089	0.558571892431837	0.021750052501816	-0.863734503577097	0.229333416088593	"S01"	0.596813716401089	"IS03"
"NR3C1"	"NR3C1"	-0.0834222974817763	-0.201122262114074	0.590687181668053	-0.0436411864958445	0.538698645247123	-0.439964449337424	-0.22033631492032	"S01"	0.590687181668053	"IS03"
"CD8A"	"CD8A"	0.257227957982789	0.367695634227501	0.588882964293707	0.296810304591401	-0.329804740290052	-0.699977505281798	0.151288309486242	"S01"	0.588882964293707	"IS03"
"PDCD4"	"PDCD4"	-0.232829180233684	0.207436167755127	0.587336179505984	0.0600271092782926	-0.200570296899581	-0.459228893505874	0.247392592638696	"S01"	0.587336179505984	"IS03"
"BTG1"	"BTG1"	-0.0791598141495241	0.273797782113754	0.578107718235339	0.0883971612005543	-0.0100656921849959	-0.743244205347049	0.413555690966342	"S01"	0.578107718235339	"IS03"
"DDX24"	"DDX24"	-0.154708352779474	-0.0429755043422359	0.568462253181924	0.023321942568225	-0.196584483607728	-0.474222818797792	0.322624561416047	"S01"	0.568462253181924	"IS03"
"CD48"	"CD48"	-0.546219864918624	0.554381096854629	0.564602720098035	0.215674093544551	-0.334853694316153	-0.412129160291986	0.309707987432596	"S01"	0.564602720098035	"IS03"
"SYTL3"	"SYTL3"	0.0705424080984486	0.0107971094184796	0.564363754402057	-0.024464343637537	-0.148860371593472	-0.280962665699642	-0.129696374658004	"S01"	0.564363754402057	"IS03"
"TSC22D3"	"TSC22D3"	0.106260125902132	0.11712299923666	0.535315261872496	0.0437498911322211	0.0258394586023477	-0.581440398679076	0.135886679047881	"S01"	0.535315261872496	"IS03"
"ARHGAP9"	"ARHGAP9"	0.154345419611362	-0.214143305142737	0.534359303834443	0.121181648580579	-0.065866720544679	-0.428143740711273	-0.0399568773073621	"S01"	0.534359303834443	"IS03"
"ADGRE5"	"ADGRE5"	-0.0574533511093968	-0.0305691729313502	0.524243582641888	0.124201149474517	-0.139404805513979	-0.529231191933319	0.272148535056686	"S01"	0.524243582641888	"IS03"
"RNF125"	"RNF125"	-0.0214635712124821	-0.207858607641148	0.520227381385619	-0.146779602742113	-0.251040375638407	-0.326916752065676	0.264109028895176	"S01"	0.520227381385619	"IS03"
"EML4"	"EML4"	-0.189883957301024	0.0200292163115426	0.518227661020197	0.0544372034726356	-0.0566585089236608	-0.45178406166046	0.234016375489032	"S01"	0.518227661020197	"IS03"
"CD69"	"CD69"	-0.0361119729361653	0.0464450764889507	0.512742555272208	0.161500083418378	-0.0543584730157302	-0.460624209286028	0.0622207974712786	"S01"	0.512742555272208	"IS03"
"CD3D"	"CD3D"	0.36059191369788	0.00920684276022623	0.507408576211161	0.374898376408971	0.484111470657826	-0.801128375146098	-0.205544710349287	"S01"	0.507408576211161	"IS03"
"ARL4C"	"ARL4C"	-0.0586234038590753	0.0454583559888682	0.506256185830615	0.149224276745393	-0.242163450158817	-0.368015411718718	0.0832202160619561	"S01"	0.506256185830615	"IS03"
