"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"IL1B"	"IL1B"	-0.0583809413806003	1.23632681487022	0.515561527130111	-0.562352074705414	-0.205444510495742	-0.402073695487171	-0.392695450351524	"S01"	1.23632681487022	"IS02"
"BCL2A1"	"BCL2A1"	-0.221390932423601	1.19038719958525	0.256605420011497	-0.817639587966093	0.687134696848114	-0.344371804798537	-0.422682958502093	"S01"	1.19038719958525	"IS02"
"EHD1"	"EHD1"	-0.228316542736944	1.09033944276848	0.271571714621893	-0.490107389767626	0.427729194317043	-0.241192064498828	-0.635745966947494	"S01"	1.09033944276848	"IS02"
"IL1RN"	"IL1RN"	0.118688152077931	1.05742702589122	0.534645957662969	-0.643954865530943	-0.104452198690924	-0.656463076448043	-0.184752606142002	"S01"	1.05742702589122	"IS02"
"CXCL8"	"CXCL8"	-0.18328819859577	1.03847549947447	0.49545189032534	-0.611105167651735	0.287342779884818	-0.302292487399981	-0.498433482763031	"S01"	1.03847549947447	"IS02"
"TNFAIP8"	"TNFAIP8"	-0.136048281446669	1.03260941713915	0.343278050676037	-0.753197977481351	0.564034134251342	-0.244168176220338	-0.497396650678178	"S01"	1.03260941713915	"IS02"
"THAP2"	"THAP2"	-0.325606841489674	1.02581872565308	0.519566478201656	-0.446180937534765	-0.0137601019148652	0.117112783221638	-0.660395722619652	"S01"	1.02581872565308	"IS02"
"NFKBIA"	"NFKBIA"	-0.0179500798758882	1.0154334898592	0.573359390708454	-0.662136061861079	0.213810148996456	-0.218144703154438	-0.658799936681128	"S01"	1.0154334898592	"IS02"
"EREG"	"EREG"	0.0590127348505138	0.988076177772925	-0.0311215833177555	-0.31005102818663	-0.275526717249871	-0.0278796500867505	-0.338562301592897	"S01"	0.988076177772925	"IS02"
"CCL20"	"CCL20"	-0.09543415134249	0.984180987392971	0.545312432788845	-0.420352411764098	-0.259677013134132	-0.570450963520565	-0.133208601629293	"S01"	0.984180987392971	"IS02"
"PTGS2"	"PTGS2"	-0.10345640697417	0.980072893821263	0.594536492521671	-0.535665831762863	-0.277966136997925	-0.286871515294445	-0.224293537649313	"S01"	0.980072893821263	"IS02"
"TREM1"	"TREM1"	0.218895478632416	0.960091845648598	-0.295215633066079	-0.206725973172235	-0.288930413326332	-0.160584315070374	-0.250598376715539	"S01"	0.960091845648598	"IS02"
"NLRP3"	"NLRP3"	-0.331208148097738	0.952177070805692	0.315141591229864	-0.172828406857577	-0.329466536956221	0.0867420560846341	-0.453320395952245	"S01"	0.952177070805692	"IS02"
"PLEKHF2"	"PLEKHF2"	-0.0595773237216023	0.932286440103741	0.329932900982198	-0.427044214332186	0.143234882651	-0.423997564883367	-0.389621065509067	"S01"	0.932286440103741	"IS02"
"CXCL3"	"CXCL3"	0.0843231911395239	0.912838152447125	0.561813320613497	-0.379815798911756	-0.399134711590562	-0.450329320310427	-0.298717656737236	"S01"	0.912838152447125	"IS02"
"CCL3"	"CCL3"	0.12593529218848	0.907577352839762	0.871282428183115	-0.703749376229887	-0.220448175523276	-0.603708926115451	-0.216992096553573	"S01"	0.907577352839762	"IS02"
"ICAM1"	"ICAM1"	-0.115881006268778	0.888482107234201	0.616730747141758	-0.581013744339995	0.107307537748803	-0.109776309141542	-0.57166677202805	"S01"	0.888482107234201	"IS02"
"NFKB1"	"NFKB1"	-0.168207654736019	0.879825473096149	0.228741842626775	-0.593459697924198	0.7869214480964	-0.235661724097964	-0.629570603661125	"S01"	0.879825473096149	"IS02"
"MAP2K3"	"MAP2K3"	-0.0881354602880152	0.861479535946408	-0.00410480953875631	-0.354350226709584	0.100899581622706	0.233508107244443	-0.573059880165711	"S01"	0.861479535946408	"IS02"
"PPP1R15A"	"PPP1R15A"	-0.0756896871108299	0.853292075048735	0.419168701659349	-0.466217748126635	0.0504057586510575	0.402386685187662	-0.922160276991091	"S01"	0.853292075048735	"IS02"
"TNFAIP3"	"TNFAIP3"	-0.0988245070842286	0.851548049740143	0.675612554305903	-0.72197336621795	0.186498731048322	-0.144185541731831	-0.454671871581963	"S01"	0.851548049740143	"IS02"
"CD44"	"CD44"	0.169148537559761	0.849105921870297	0.492171347174395	-0.751287504428958	0.304972424695034	-0.0822714702035872	-0.681797702497943	"S01"	0.849105921870297	"IS02"
