"CellType"	"State"	"InitialEcotype"	"ID"	"Cell type"	"Ecotype"
"B.cells"	"S02"	"IE02"	"B.cells_S02"	"B.cells"	"E1"
"B.cells"	"S03"	"IE02"	"B.cells_S03"	"B.cells"	"E1"
"CD4.T.cells"	"S03"	"IE02"	"CD4.T.cells_S03"	"CD4.T.cells"	"E1"
"CD4.T.cells"	"S05"	"IE02"	"CD4.T.cells_S05"	"CD4.T.cells"	"E1"
"CD8.T.cells"	"S01"	"IE02"	"CD8.T.cells_S01"	"CD8.T.cells"	"E1"
"Dendritic.cells"	"S03"	"IE02"	"Dendritic.cells_S03"	"Dendritic.cells"	"E1"
"NK.cells"	"S05"	"IE02"	"NK.cells_S05"	"NK.cells"	"E1"
"PCs"	"S04"	"IE02"	"PCs_S04"	"PCs"	"E1"
"CD4.T.cells"	"S01"	"IE04"	"CD4.T.cells_S01"	"CD4.T.cells"	"E2"
"CD4.T.cells"	"S04"	"IE04"	"CD4.T.cells_S04"	"CD4.T.cells"	"E2"
"CD8.T.cells"	"S04"	"IE04"	"CD8.T.cells_S04"	"CD8.T.cells"	"E2"
"Endothelial.cells"	"S02"	"IE04"	"Endothelial.cells_S02"	"Endothelial.cells"	"E2"
"CD4.T.cells"	"S02"	"IE05"	"CD4.T.cells_S02"	"CD4.T.cells"	"E3"
"Endothelial.cells"	"S03"	"IE05"	"Endothelial.cells_S03"	"Endothelial.cells"	"E3"
"Fibroblasts"	"S04"	"IE05"	"Fibroblasts_S04"	"Fibroblasts"	"E3"
"PCs"	"S03"	"IE05"	"PCs_S03"	"PCs"	"E3"
"CD4.T.cells"	"S06"	"IE06"	"CD4.T.cells_S06"	"CD4.T.cells"	"E4"
"Dendritic.cells"	"S05"	"IE06"	"Dendritic.cells_S05"	"Dendritic.cells"	"E4"
"Epithelial.cells"	"S05"	"IE06"	"Epithelial.cells_S05"	"Epithelial.cells"	"E4"
"Fibroblasts"	"S06"	"IE06"	"Fibroblasts_S06"	"Fibroblasts"	"E4"
"PCs"	"S01"	"IE06"	"PCs_S01"	"PCs"	"E4"
"CD8.T.cells"	"S03"	"IE08"	"CD8.T.cells_S03"	"CD8.T.cells"	"E5"
"Endothelial.cells"	"S01"	"IE08"	"Endothelial.cells_S01"	"Endothelial.cells"	"E5"
"Fibroblasts"	"S05"	"IE08"	"Fibroblasts_S05"	"Fibroblasts"	"E5"
"Monocytes.and.Macrophages"	"S02"	"IE08"	"Monocytes.and.Macrophages_S02"	"Monocytes.and.Macrophages"	"E5"
"Dendritic.cells"	"S04"	"IE11"	"Dendritic.cells_S04"	"Dendritic.cells"	"E6"
"Fibroblasts"	"S01"	"IE11"	"Fibroblasts_S01"	"Fibroblasts"	"E6"
"Monocytes.and.Macrophages"	"S01"	"IE11"	"Monocytes.and.Macrophages_S01"	"Monocytes.and.Macrophages"	"E6"
"NK.cells"	"S03"	"IE11"	"NK.cells_S03"	"NK.cells"	"E6"
"Endothelial.cells"	"S05"	"IE13"	"Endothelial.cells_S05"	"Endothelial.cells"	"E7"
"Mast.cells"	"S01"	"IE13"	"Mast.cells_S01"	"Mast.cells"	"E7"
"Mast.cells"	"S02"	"IE13"	"Mast.cells_S02"	"Mast.cells"	"E7"
"Epithelial.cells"	"S04"	"IE17"	"Epithelial.cells_S04"	"Epithelial.cells"	"E8"
"Mast.cells"	"S03"	"IE17"	"Mast.cells_S03"	"Mast.cells"	"E8"
"Mast.cells"	"S04"	"IE17"	"Mast.cells_S04"	"Mast.cells"	"E8"
