"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"CCL21"	"CCL21"	-0.251647860340673	-0.30028981457409	-0.275526217510611	-0.286694520329793	-0.228366296220437	-0.186854821318313	-0.32067314820491	3.65664539987083	"S01"	3.65664539987083	"IS08"
"LYVE1"	"LYVE1"	-0.367159629099915	-0.369200516445897	-0.333019067391662	0.0806494577577995	-0.326024267897986	-0.256810289368522	-0.208698979713362	3.42897726590615	"S01"	3.42897726590615	"IS08"
"PROX1"	"PROX1"	-0.263323815228311	-0.282286731953354	-0.211539013387322	-0.199370504739509	-0.200759501919289	-0.158331535062734	-0.25000384433857	3.17074232160026	"S01"	3.17074232160026	"IS08"
"TFPI"	"TFPI"	-0.540960131383075	-0.586620501436806	0.157397361041469	-0.221771523192666	0.508953681551524	0.285169474596934	-0.41888217316584	3.14764817248107	"S01"	3.14764817248107	"IS08"
"MMRN1"	"MMRN1"	-0.303467857338046	-0.397658590228933	-0.177318961467203	-0.282887933294786	-0.376842453713887	0.695199345816243	-0.31420681951516	3.13603589682503	"S01"	3.13603589682503	"IS08"
"TFF3"	"TFF3"	-0.551645226665145	-0.220028333131138	-0.0900039940336018	0.199226030547073	-0.0468848161323562	-0.254059632194684	-0.319012675646947	3.0370410733277	"S01"	3.0370410733277	"IS08"
"ADGRG3"	"ADGRG3"	-0.244193467768304	-0.235176742382301	-0.219590050032289	-0.219968143648984	-0.164786124418964	-0.174942255234798	-0.242562348675092	2.99133943536842	"S01"	2.99133943536842	"IS08"
"KBTBD11"	"KBTBD11"	-0.249860497050872	-0.231560100411648	-0.218485196004311	-0.0496288843977856	-0.215827510575825	-0.227161503426865	-0.239133833757033	2.79377824003306	"S01"	2.79377824003306	"IS08"
"SEMA3A"	"SEMA3A"	-0.214281770575547	-0.236663679505968	-0.208231168009765	-0.192798554113671	-0.179980679100156	-0.116215806276463	-0.193306199135418	2.67145838907989	"S01"	2.67145838907989	"IS08"
"EFEMP1"	"EFEMP1"	-0.336156440147065	-0.339598526139692	-0.0779878935984274	-0.235387228138598	0.21028934	0.148157942065595	-0.33935407204512	2.6357902036033	"S01"	2.6357902036033	"IS08"
"RELN"	"RELN"	-0.162286888997573	-0.199620836407445	-0.107432251168478	-0.19590983712489	-0.190738762992634	-0.145614343029411	-0.20446208547149	2.44934849501494	"S01"	2.44934849501494	"IS08"
"PARD6G"	"PARD6G"	-0.272213008188492	-0.272724866663883	-0.199291668441655	-0.17815271688821	0.248866303779741	-0.204729775391761	-0.266665607577819	2.42993374497499	"S01"	2.42993374497499	"IS08"
"DKK3"	"DKK3"	-0.42522321204384	-0.365430396846821	-0.146067251821184	0.0420714230525259	0.439719933746877	-0.2642376441902	-0.257687229594478	2.33687796476688	"S01"	2.33687796476688	"IS08"
"AKAP12"	"AKAP12"	-0.447656105539058	-0.438923125926515	-0.331606816940261	-0.270907506110992	0.536047202334687	0.782154912447323	-0.433637782334194	2.33389748266163	"S01"	2.33389748266163	"IS08"
"TBX1"	"TBX1"	-0.173518408722839	-0.227079877167596	-0.199798753035656	-0.0238095103137274	-0.19498475657078	-0.207732999546097	-0.201394759732424	2.3276374290345	"S01"	2.3276374290345	"IS08"
"CHRDL1"	"CHRDL1"	-0.186393074519227	-0.169834956376803	-0.1703108644918	-0.18996719199705	-0.154589623358337	-0.0451220676052928	-0.198260020103631	2.28452305515095	"S01"	2.28452305515095	"IS08"
"SCN3B"	"SCN3B"	-0.268307213207273	-0.252845548200746	-0.222468964979407	-0.0667170478295347	-0.164442494940867	0.192554224468641	-0.217940193741522	2.28256005659683	"S01"	2.28256005659683	"IS08"
"NR2F1"	"NR2F1"	-0.24047105575103	-0.243715380599849	-0.228393396966702	-0.209887596057916	0.237581839842526	-0.161458678809218	-0.251479434702575	2.28039092446952	"S01"	2.28039092446952	"IS08"
