"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"HSD17B2"	"HSD17B2"	-0.239101877141643	-0.305542282849751	3.11172192336121	-0.302392052806435	-0.237900807310468	-0.28889982557302	-0.26938547377384	-0.319477416400941	-0.019539634162967	"S01"	3.11172192336121	"IS03"
"NSG1"	"NSG1"	-0.298890264954969	-0.260671709444041	3.03298918966821	-0.327931029894173	-0.198902555957279	-0.194335693380942	-0.199366127066597	-0.346450658761986	-0.0935656347937009	"S01"	3.03298918966821	"IS03"
"ENHO"	"ENHO"	-0.275690591462606	-0.28082768322899	2.60264619772496	-0.260345049903267	-0.197558774465058	-0.135509811550037	-0.281995365903539	-0.285257141954999	0.0266401666196488	"S01"	2.60264619772496	"IS03"
"F3"	"F3"	0.26815856755953	-0.00574932043008315	2.59391795675351	-0.528874735733849	-0.428360002876582	-0.295031300337593	-0.144150966011577	-0.274371083624133	-0.251104888955111	"S01"	2.59391795675351	"IS03"
"BMP5"	"BMP5"	-0.371863742401384	-0.374476971668061	2.42462789531624	-0.386846267796226	0.0526404794340995	0.541955056424991	-0.37063312202109	-0.423863103095339	-0.201243975130613	"S01"	2.42462789531624	"IS03"
"SOX6"	"SOX6"	-0.213133615840607	-0.211873241256688	2.33242783717571	-0.302030321698378	-0.0867519824229991	-0.266819397357661	-0.144974631012184	-0.312370246420506	0.00981900005173958	"S01"	2.33242783717571	"IS03"
"AGT"	"AGT"	0.415980459993617	-0.0348735447692151	2.27256418235094	-0.273050280355449	-0.394053795911805	-0.317533658087925	-0.142953714949115	-0.296616591930851	-0.25868618360851	"S01"	2.27256418235094	"IS03"
"FRZB"	"FRZB"	-0.152665254842185	0.00537163315542912	2.14020901792837	0.412073862283131	-0.256874562489535	-0.210781322239846	-0.334368333214547	-0.25718753965678	-0.155638222540056	"S01"	2.14020901792837	"IS03"
"NRG1"	"NRG1"	-0.0166205352073549	-0.11627523808432	2.12436028590257	-0.263556578488299	-0.159372100411751	-0.154572792671259	-0.222153478558932	-0.288775977691701	-0.0979769632688166	"S01"	2.12436028590257	"IS03"
"PDGFD"	"PDGFD"	0.0362699316148783	-0.0916340676932537	2.04872081187375	-0.236806180642099	-0.153228808279901	0.0421158038310351	-0.162321275322085	-0.33923899600379	-0.268064814483198	"S01"	2.04872081187375	"IS03"
"INSC"	"INSC"	-0.154835167272429	-0.284356795847141	1.98531381294481	-0.263616760833338	-0.0217034976435873	0.0664652388295003	-0.205942728227867	-0.26405309001625	-0.113852867020763	"S01"	1.98531381294481	"IS03"
"COL4A6"	"COL4A6"	-0.141783487709891	-0.188758978892927	1.9686150970067	-0.0889141272627435	-0.143882203691814	-0.189347013095085	-0.189543839512024	-0.191736249853383	-0.0457772174369202	"S01"	1.9686150970067	"IS03"
"TRPA1"	"TRPA1"	0.234232560774491	-0.192310848826599	1.94218928265016	-0.288987451398816	-0.17523402994385	-0.132751529717141	-0.231661432718314	-0.316640299009007	-0.0937820446149321	"S01"	1.94218928265016	"IS03"
"EDNRB"	"EDNRB"	0.206229774296728	-0.278191936524247	1.89136041675199	0.0538593382393057	-0.178063527466936	0.375680100045147	-0.301369588399111	-0.489353981324413	-0.274495155584422	"S01"	1.89136041675199	"IS03"
"VSTM2A"	"VSTM2A"	-0.203666850398025	-0.207461884877491	1.87397940547082	-0.192330307861474	-0.11457589069086	-0.208108183584274	-0.208324512257439	-0.210734154355054	0.0944066191259313	"S01"	1.87397940547082	"IS03"
"DHRS7C"	"DHRS7C"	-0.156668376841475	-0.159587663366471	1.81213530786278	-0.147947872180433	-0.110968748607387	-0.160084821196273	-0.160251229534315	-0.0858339994032018	-0.11678328998253	"S01"	1.81213530786278	"IS03"
"COL4A5"	"COL4A5"	-0.122992245189839	-0.228909586094969	1.80076297131171	-0.0728853125494753	-0.19082784041193	-0.1026153597908	-0.159215297019051	-0.235525256342192	0.0121677119585922	"S01"	1.80076297131171	"IS03"
