"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"CXCL11"	"CXCL11"	-0.135191173452178	1.65941888944762	-0.199720137396795	-0.159685816080758	-0.174208782211143	-0.0251528242324414	-0.185968914821934	-0.111338463151128	"S01"	1.65941888944762	"IS02"
"IDO1"	"IDO1"	-0.24637200934207	1.39962512050599	-0.172574538805852	0.0859641132650612	-0.164728837370905	-0.144046959455498	0.0835467580196626	-0.196410188131221	"S01"	1.39962512050599	"IS02"
"APOBEC3A"	"APOBEC3A"	-0.283116895721519	1.20091166144233	0.610605814816199	-0.192399172200899	-0.271183346369268	-0.27300302298745	-0.20564483254198	-0.143447037547998	"S01"	1.20091166144233	"IS02"
"ISG15"	"ISG15"	-0.0628702431663029	1.19997535531182	0.0135097584784587	-0.305157326899838	-0.661924784695728	0.32096360790047	0.505690721802135	0.219555514382922	"S01"	1.19997535531182	"IS02"
"IFIT2"	"IFIT2"	0.13269987389098	1.1933011876771	0.161982313986562	-0.404293370208258	-0.377485434930316	-0.222380100990945	0.610588075899287	-0.271698411818822	"S01"	1.1933011876771	"IS02"
"FAM26F"	"FAM26F"	0.169356230574437	1.18771779665365	-0.470604292632895	-0.514134587306003	-0.659115172863276	0.946395124455582	0.302533349810734	0.318256943724437	"S01"	1.18771779665365	"IS02"
"WARS"	"WARS"	-0.263128133461103	1.18099859318035	0.186218913716529	-0.0175276193890685	-0.504097699767969	0.00337026058580763	0.481364591821984	-0.0874553059733819	"S01"	1.18099859318035	"IS02"
"GPR183"	"GPR183"	0.713907157610042	1.16432326661233	-0.369545078537708	-0.808717397967172	-0.73629107128995	0.949521343288241	0.880110908627218	-0.479920990343918	"S01"	1.16432326661233	"IS02"
"IFITM3"	"IFITM3"	-0.219702663028356	1.06731232335434	0.274521541944045	-0.573113303719494	-0.723535505700816	0.470206913660607	0.396761227629703	0.533221535096013	"S01"	1.06731232335434	"IS02"
"GBP1"	"GBP1"	-0.141102857794028	1.06675504402252	-0.0553617728076418	-0.216881678880115	-0.493995279207625	0.447023055000966	0.291518988819937	0.0560462368741983	"S01"	1.06675504402252	"IS02"
"SERPINB9"	"SERPINB9"	-0.123281344407608	1.05078479716212	0.696872975893005	0.266923945321858	-0.642065850227754	-0.154879334386658	0.392926011036843	-0.643791353547166	"S01"	1.05078479716212	"IS02"
"CXCL10"	"CXCL10"	0.0124548168493298	1.04336797238714	-0.0604235677663592	-0.24590155183551	-0.255803550172134	0.247992982154173	-0.0581355617603476	-0.124912206281026	"S01"	1.04336797238714	"IS02"
"STX11"	"STX11"	0.0438004102879595	1.02755267234466	0.258136273602606	-0.166342358797989	-0.764064422308425	0.465128144038522	0.83236236162074	-0.498923393194007	"S01"	1.02755267234466	"IS02"
"CFLAR"	"CFLAR"	0.225473422375525	1.01720868258981	0.345686942186676	-0.0650046458471087	-1.00041387526182	0.375870260605641	0.896377423159585	-0.346916009450401	"S01"	1.01720868258981	"IS02"
