"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"CST7"	"CST7"	0.870771937114638	-0.972049871434963	0.786253924169822	-0.85952741171787	0.266151973646548	-0.319295854755259	"S01"	0.870771937114638	"IS01"
"PRF1"	"PRF1"	0.856377536187737	-0.759093347190788	0.636736986225024	-0.45752076084844	-0.107995540909135	-0.358745728553494	"S01"	0.856377536187737	"IS01"
"GZMB"	"GZMB"	0.721910623628666	-0.915770527796245	0.27049773108665	-0.322252315980015	0.16764512216664	-0.278407988851348	"S01"	0.721910623628666	"IS01"
"CD8A"	"CD8A"	0.672187855286699	-0.374629962495852	0.588989993022616	-0.412203902690313	-0.288782568187754	-0.239351228102898	"S01"	0.672187855286699	"IS01"
"C12orf75"	"C12orf75"	0.631195804297392	-0.280219941062179	0.409350720922938	-0.277257887513103	-0.374363374521064	-0.191682298568035	"S01"	0.631195804297392	"IS01"
"LAG3"	"LAG3"	0.622630180706998	-0.302587959774879	0.257873564745131	-0.286828885663934	-0.24656970650631	-0.175169337108761	"S01"	0.622630180706998	"IS01"
"S1PR5"	"S1PR5"	0.60435284864073	-0.382052200315089	0.300607844727817	-0.492607980794841	-0.164524045546517	-0.0579762873893547	"S01"	0.60435284864073	"IS01"
"GTF3C1"	"GTF3C1"	0.581751537210573	-0.253546301206146	0.296794332328271	-0.405953110052804	-0.349248547450754	-0.0284401934378521	"S01"	0.581751537210573	"IS01"
"LAIR2"	"LAIR2"	0.563831218619588	-0.253143073428376	0.376344846081325	-0.333220734170151	-0.334429077662463	-0.114607858259972	"S01"	0.563831218619588	"IS01"
"BPGM"	"BPGM"	0.546941212671575	-0.184994937795484	0.521065767553178	-0.329292214727256	-0.202522976561165	-0.284313554571768	"S01"	0.546941212671575	"IS01"
"SORL1"	"SORL1"	0.514710557293579	-0.141072271414392	0.0429267664010908	-0.454385383224274	0.125595334574325	-0.154262261730046	"S01"	0.514710557293579	"IS01"
"RASGRP1"	"RASGRP1"	0.494189721476836	-0.23318576465488	0.0107615529050692	0.0193957726684498	-0.198235257915752	-0.219025931597502	"S01"	0.494189721476836	"IS01"
"KIR2DL3"	"KIR2DL3"	0.491541061477388	-0.212079941362283	-0.183084676671313	-0.241455980139608	-0.013637521268321	-0.0593435093337693	"S01"	0.491541061477388	"IS01"
"OASL"	"OASL"	0.483485342309718	-0.2306916896218	-0.109421617946953	-0.24217465113913	0.114720712709639	-0.163705902102816	"S01"	0.483485342309718	"IS01"
"SH2D2A"	"SH2D2A"	0.474813377024228	-0.112561437001169	-0.44227469587981	0.0166266030116349	0.343840509355056	-0.363234932495951	"S01"	0.474813377024228	"IS01"
"TNFRSF1B"	"TNFRSF1B"	0.460077225101791	-0.306749410122346	-0.234423852002683	0.154306064279475	0.201020024314709	-0.391192458530607	"S01"	0.460077225101791	"IS01"
"P2RY8"	"P2RY8"	0.45695566192889	-0.0724971731695155	-0.144227744119466	-0.362752387852207	0.228018736633943	-0.168130931952466	"S01"	0.45695566192889	"IS01"
"PPP2R5C"	"PPP2R5C"	0.456307261518764	-0.243934170447023	0.103356828913889	0.291203400788416	-0.371923166251144	-0.312962619696287	"S01"	0.456307261518764	"IS01"
"KIR2DL1"	"KIR2DL1"	0.439929557149459	-0.116082079629449	0.0220526194679613	-0.19413388616656	-0.137754345895121	-0.108685178967568	"S01"	0.439929557149459	"IS01"
"GNLY"	"GNLY"	0.420827545566763	-0.411029030023806	0.261838143281423	-0.695312425099073	0.180303230360374	0.0496931895290847	"S01"	0.420827545566763	"IS01"
"RAB29"	"RAB29"	0.400651416300746	-0.215471310531174	0.248092690650064	-0.275464938717234	0.00568508281831332	-0.18591017681983	"S01"	0.400651416300746	"IS01"
"KIR3DL1"	"KIR3DL1"	0.388309262283511	-0.0436022318822811	-0.0576976916369693	-0.162554368586866	-0.0161360917056504	-0.152155509164767	"S01"	0.388309262283511	"IS01"
"SLC15A4"	"SLC15A4"	0.385417161726088	-0.228592430185046	0.0427594926513582	-0.252869017806527	-0.0734892995257637	-0.0316958829785768	"S01"	0.385417161726088	"IS01"
"DTHD1"	"DTHD1"	0.384827876866642	-0.214151264062286	0.171287092717317	-0.238126894712737	-0.163128138732011	-0.054177074539647	"S01"	0.384827876866642	"IS01"
"FAM53B"	"FAM53B"	0.381850326206815	-0.187023275709874	-0.0830552261146743	-0.0294552259769035	-0.223789583921135	-0.0445965446140673	"S01"	0.381850326206815	"IS01"
"GNG2"	"GNG2"	0.366019873050075	-0.362405112757257	-0.0516825579329042	0.144811777785209	0.0619534833654158	-0.288799494787667	"S01"	0.366019873050075	"IS01"
"B3GAT1"	"B3GAT1"	0.365068177404138	-0.114620285389896	0.0320748145593878	-0.127452773862896	-0.124081007358586	-0.108142579065169	"S01"	0.365068177404138	"IS01"
"ZEB2"	"ZEB2"	0.356404761708144	-0.26754310460361	0.262784250527135	-0.10622838876423	-0.0986338407312601	-0.191649195989485	"S01"	0.356404761708144	"IS01"
"TMEM71"	"TMEM71"	0.34818894224176	-0.152273076327754	0.0084977906043449	-0.171667480857744	-0.0775277525660134	-0.0667127365463886	"S01"	0.34818894224176	"IS01"
"S1PR4"	"S1PR4"	0.344396505296275	0.0469619511266373	0.0427077026558658	-0.14569245880467	-0.0306734343523223	-0.201577489411434	"S01"	0.344396505296275	"IS01"
"NME8"	"NME8"	0.339348722406317	-0.10204891763544	-0.105878339493971	-0.113473959501147	-0.110472002900587	-0.0410598544426812	"S01"	0.339348722406317	"IS01"
"KIR3DX1"	"KIR3DX1"	0.326527862150878	-0.129576917595536	-0.008041310738221	-0.144083898587211	-0.0249783173908312	-0.10175709209623	"S01"	0.326527862150878	"IS01"
"SLA"	"SLA"	0.314960985759811	0.163611167121659	0.191142513466961	-0.0937339126012785	0.151315966347958	-0.446419865607336	"S01"	0.314960985759811	"IS01"
"LIM2"	"LIM2"	0.314860520571706	-0.107182031715019	0.0594277798878913	-0.119181759178766	-0.116028802586735	-0.0937758600081039	"S01"	0.314860520571706	"IS01"
"ZFYVE28"	"ZFYVE28"	0.307334038675965	-0.215990052343565	0.0773712622201322	-0.144384123306483	-0.106147304095811	-0.0451313894879563	"S01"	0.307334038675965	"IS01"
"PROK2"	"PROK2"	0.292732902034845	-0.112093236126855	-0.0341641992282083	-0.1246428049541	-0.121345376251611	-0.0195867518543338	"S01"	0.292732902034845	"IS01"
"CD226"	"CD226"	0.285777641528725	-0.0966565456603382	0.210638537670968	-0.123866095019301	-0.114745417517855	-0.146420353759885	"S01"	0.285777641528725	"IS01"
"C20orf144"	"C20orf144"	0.285271802793311	-0.0652527877357133	-0.0677014217582502	-0.0725582628843856	-0.0706387321202484	-0.0830268679771576	"S01"	0.285271802793311	"IS01"
"CHST12"	"CHST12"	0.273781693738405	-0.326545593665165	0.182168104900618	0.0368108930521615	0.157311767888203	-0.325676654132612	"S01"	0.273781693738405	"IS01"
"GNAL"	"GNAL"	0.269959120471461	0.0280965357224358	-0.0769569334855292	-0.0397470294081311	-0.140435342844467	-0.0787206112154576	"S01"	0.269959120471461	"IS01"
"KIR3DL2"	"KIR3DL2"	0.257388769530172	-0.0923157460741135	0.16550365698984	-0.184433028903301	-0.0506046126534325	-0.0995089053066614	"S01"	0.257388769530172	"IS01"
"MYBL1"	"MYBL1"	0.256160371152699	-0.0567645727268929	0.210332288594213	-0.138114267057977	-0.0500463578726913	-0.167168184137815	"S01"	0.256160371152699	"IS01"
"PLEKHF1"	"PLEKHF1"	0.230659631802425	-0.0881680551328255	0.20034715838512	0.0721248862309462	-0.192765098061233	-0.188494735891207	"S01"	0.230659631802425	"IS01"
"IQGAP2"	"IQGAP2"	0.227900545674542	0.0261920782604014	0.104573338970887	-0.139851767418802	0.03339985864113	-0.172916189078697	"S01"	0.227900545674542	"IS01"
"RASSF5"	"RASSF5"	0.222856050502454	0.0697017110514737	-0.0550889782673213	0.208566089619485	0.198458487155535	-0.457811104835302	"S01"	0.222856050502454	"IS01"
"SYNGR1"	"SYNGR1"	0.216601480975534	-0.311692920986902	0.0906647391520805	0.128973673677497	0.079203127855654	-0.253832453812907	"S01"	0.216601480975534	"IS01"
"ANKRD20A2"	"ANKRD20A2"	0.201535652698081	-0.0460990642535199	-0.0478289480033985	-0.0512601551427727	-0.0499040663823819	-0.0586558989195906	"S01"	0.201535652698081	"IS01"
"CDH20"	"CDH20"	0.142443019764948	-0.032582274315736	-0.03380493572515	-0.036230072418476	-0.0352716048941777	-0.0414572967972611	"S01"	0.142443019764948	"IS01"
"IFNA5"	"IFNA5"	0.142443019764948	-0.032582274315736	-0.03380493572515	-0.036230072418476	-0.0352716048941777	-0.0414572967972611	"S01"	0.142443019764948	"IS01"
"IVL"	"IVL"	0.142443019764948	-0.032582274315736	-0.03380493572515	-0.036230072418476	-0.0352716048941777	-0.0414572967972611	"S01"	0.142443019764948	"IS01"
"TFR2"	"TFR2"	0.113821082186169	0.111302809686792	-0.122549659810792	0.0449617704247249	-0.127866629178244	-0.0247786215157375	"S01"	0.113821082186169	"IS01"
"RGS9"	"RGS9"	0.104445127097684	0.0103463859475089	0.0992052282566594	-0.0781277671104078	-0.0951087125717831	-0.0240822457181835	"S01"	0.104445127097684	"IS01"
"TSPAN32"	"TSPAN32"	0.0853943142110081	0.0457615136506289	0.055754571608216	-0.0568252173878036	-0.0301965558792938	-0.0558833475504473	"S01"	0.0853943142110081	"IS01"
"CACNA2D2"	"CACNA2D2"	0.0770897963146875	0.00590790404890885	0.0566473136285386	-0.0649916783923684	-0.122794379012749	0.0297747564454318	"S01"	0.0770897963146875	"IS01"
"FGFBP2"	"FGFBP2"	0.880227140325082	-0.595106576462896	1.34358447817527	-0.82683832782908	-0.660402227517981	-0.17733821682292	"S02"	1.34358447817527	"IS03"
"GZMH"	"GZMH"	0.989121028942523	-0.774094866834921	1.23278970673318	-1.05052911673195	-0.538836731355077	-0.0652817344087193	"S02"	1.23278970673318	"IS03"
"IFNG"	"IFNG"	0.00339283838971169	-0.38992112774834	1.1899476957591	-0.220525687299153	-0.213011479275377	-0.162417476463029	"S02"	1.1899476957591	"IS03"
"NKG7"	"NKG7"	0.811575892243912	-1.15250902592756	1.15374807879479	-1.08519681402016	0.359655771089781	-0.286533036232104	"S02"	1.15374807879479	"IS03"
"SPON2"	"SPON2"	0.447137910291923	-0.510757119843722	1.04112547046969	-0.350067099392494	-0.371140745267943	-0.220252254758107	"S02"	1.04112547046969	"IS03"
"FCGR3A"	"FCGR3A"	0.810174355991722	-0.548631594179585	1.00961759545935	-0.655875888405889	-0.282773693274662	-0.330993641803896	"S02"	1.00961759545935	"IS03"
"ITGB2"	"ITGB2"	0.505505055776566	-0.421712773436639	0.998212849689471	-0.761073697446368	0.211417247017771	-0.357468978272824	"S02"	0.998212849689471	"IS03"
"CCDC65"	"CCDC65"	-0.125288377953773	-0.143188574800996	0.893872754472539	-0.159219469588498	-0.100405815831331	-0.112788147448371	"S02"	0.893872754472539	"IS03"
"GIMAP7"	"GIMAP7"	0.00255610663940711	-0.0737341432592988	0.893607350693735	-0.192954617579357	-0.0491723075232612	-0.252824546932824	"S02"	0.893607350693735	"IS03"
"CCL4"	"CCL4"	0.611746903841813	-0.587494565569311	0.861244710325872	-0.669025215424415	-0.0769851507001138	-0.199181229215309	"S02"	0.861244710325872	"IS03"
