"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"XBP1"	"XBP1"	0.0659011934420138	0.287401885406687	-0.580329497657785	0.103527583779498	-1.02947048630918	1.135494711398	"S01"	1.135494711398	"IS06"
"ERLEC1"	"ERLEC1"	0.0709010405160735	0.330434174679067	-0.619884498755419	0.0501110138721988	-0.870442946745801	1.01467545851411	"S01"	1.01467545851411	"IS06"
"PRDX4"	"PRDX4"	0.476364473565604	0.273799815063033	-0.5127812022925	0.0389137394335223	-1.24581773903107	1.00783561783988	"S01"	1.00783561783988	"IS06"
"LMAN1"	"LMAN1"	0.0665905393846283	0.464218226149185	-0.520373356901706	-0.231419591486361	-0.87151446217362	0.942082855049112	"S01"	0.942082855049112	"IS06"
"GAS6"	"GAS6"	-0.0727003593067275	-0.140572211424106	-0.362833124716219	-0.103727956069242	-0.41732229372385	0.935210771192961	"S01"	0.935210771192961	"IS06"
"MZB1"	"MZB1"	0.263615551598842	0.644769179695325	-0.550084540985756	0.0709605368388867	-1.31509403574878	0.934981314988422	"S01"	0.934981314988422	"IS06"
"GLRX"	"GLRX"	-0.222553083118161	0.308261147541413	-0.422312477641854	-0.0501899752006101	-0.660245004940812	0.918312270763902	"S01"	0.918312270763902	"IS06"
"COX7A2"	"COX7A2"	0.169319124541851	0.646935951553169	-0.480076050749362	0.0642472453133065	-1.2883466743843	0.915041479962974	"S01"	0.915041479962974	"IS06"
"CD38"	"CD38"	-0.206276397618619	0.354938937626522	-0.51881863570819	0.00873110156816917	-0.628974449818619	0.903141556224629	"S01"	0.903141556224629	"IS06"
"PRDX5"	"PRDX5"	0.0315652069108481	0.52016043775079	-0.412229283637717	-0.0159682536179573	-1.06126475747499	0.890558531801794	"S01"	0.890558531801794	"IS06"
"HLA-C"	"HLA-C"	0.482589934757843	0.653075746188737	-0.483731163625096	0.173564491473634	-1.55515317328334	0.874400574049484	"S01"	0.874400574049484	"IS06"
"DERL1"	"DERL1"	-0.0911404510358424	0.363930843448499	-0.429663382253133	-0.136201758216854	-0.716401659036779	0.872645555559577	"S01"	0.872645555559577	"IS06"
"FAM92B"	"FAM92B"	-0.0284443193427584	-0.206548075395972	-0.249339579997717	-0.252701419691525	-0.358698723553685	0.866911760766952	"S01"	0.866911760766952	"IS06"
"PRDX2"	"PRDX2"	0.0664285395551251	0.404091702490345	-0.600946839154089	0.126449453134981	-0.815165871631211	0.853710781038002	"S01"	0.853710781038002	"IS06"
"ZNF706"	"ZNF706"	-0.0292559790350665	0.499663511821811	-0.500666635970333	-0.0731180697642593	-0.827595771468094	0.851675436672114	"S01"	0.851675436672114	"IS06"
"COPE"	"COPE"	0.260865024618669	0.65158271753239	-0.54567420049598	-0.145677698418787	-1.11855548777521	0.849890834786919	"S01"	0.849890834786919	"IS06"
"SPCS3"	"SPCS3"	0.33083352839586	0.596956771097591	-0.578915070287424	0.0553893183181219	-1.18171507824738	0.840455235068653	"S01"	0.840455235068653	"IS06"
"OAZ1"	"OAZ1"	0.235538804672435	0.81707009413065	-0.342536932501225	0.228557922149787	-1.64549710291348	0.840176160953832	"S01"	0.840176160953832	"IS06"
"FCGR2B"	"FCGR2B"	-0.165084401982019	0.00538910536514158	-0.36251583562288	-0.0467811646485497	-0.395663161543991	0.834457307457512	"S01"	0.834457307457512	"IS06"
"DNAAF1"	"DNAAF1"	-0.273557856435865	-0.0619077416613074	-0.279348828210272	-0.0602786580109667	-0.300945265457781	0.812687981465683	"S01"	0.812687981465683	"IS06"
