"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"MS4A1"	"MS4A1"	2.29203401723685	-0.0884996314295538	-0.160632012935967	-0.171722756241339	-0.886978832178815	-0.535538267203846	-0.124182938426182	0.281593043251732	-0.186509959232293	"S01"	2.29203401723685	"IS01"
"FCER2"	"FCER2"	2.11693436081811	-0.28642855994197	-0.0890546235206012	0.314872823298699	-0.820033031348175	-0.418013276704323	-0.155798424857057	0.0690603927164009	-0.180152883786112	"S01"	2.11693436081811	"IS01"
"FCRL1"	"FCRL1"	2.07504569526036	0.0774668403879137	0.0444911242638205	0.0883501490399109	-0.823346641254707	-0.64057963010024	-0.181531188131904	0.178292289940714	-0.0908110789966845	"S01"	2.07504569526036	"IS01"
"CD19"	"CD19"	2.03332318256148	-0.0313588637660648	0.0755726249482285	-0.350274672263233	-0.930251081932915	-0.480381315421636	0.106759924357955	0.401724308477597	0.126587267891753	"S01"	2.03332318256148	"IS01"
"TCL1A"	"TCL1A"	2.0250014797718	-0.153569740914055	-0.0405276411892868	-0.102469071530729	-0.778498178335714	-0.434587848280035	-0.112876645851496	0.183075312601857	0.0360897809572105	"S01"	2.0250014797718	"IS01"
"FCRLA"	"FCRLA"	1.99148386087043	-0.155152003207227	-0.120209612457232	-0.191274671037898	-0.923817205796478	-0.324387892485799	-0.0846473205671291	0.36246799054961	-0.139026734357551	"S01"	1.99148386087043	"IS01"
"VPREB3"	"VPREB3"	1.93773676107686	-0.166509083936001	-0.0817001156894999	-0.374916956487333	-0.651832361293795	-0.38430037817492	0.0821762665725616	0.167952240705818	-0.0119397097409958	"S01"	1.93773676107686	"IS01"
"CR2"	"CR2"	1.93227422858083	0.0212962414675742	-0.0653228921528078	-0.168564634069345	-0.519312397706822	-0.535433538576226	-0.155755717075456	-0.0688571355542077	0.188373219576416	"S01"	1.93227422858083	"IS01"
"BLK"	"BLK"	1.91688850878799	0.146117807526062	-0.0914685562162583	-0.0844912935154151	-0.839907753664288	-0.586047106280221	-0.169424858317286	0.318983643666386	-0.0946667572918322	"S01"	1.91688850878799	"IS01"
"CD79A"	"CD79A"	1.89368420091871	-0.125031543571076	-0.0886345783868021	-0.219317926566133	-1.04042826466407	-0.306596954601119	-0.00015950081737044	0.532497536193533	-0.108899720404374	"S01"	1.89368420091871	"IS01"
"PAX5"	"PAX5"	1.88454393698536	-0.103796920831025	-0.096068143956901	-0.285781979155487	-0.70829954278099	-0.440154774693843	-0.0404564288556727	0.177720920220482	0.571786046622032	"S01"	1.88454393698536	"IS01"
"CD79B"	"CD79B"	1.80911042654653	-0.206422936133503	-0.0444072394997635	0.230768910915768	-1.12721893520586	-0.273705068888861	0.227942259590806	0.430741087842958	-0.00446312684694127	"S01"	1.80911042654653	"IS01"
"CLEC17A"	"CLEC17A"	1.79409243158694	0.0939562778367562	-0.027215243632158	0.0337736913689304	-0.902736214061289	-0.537541208578295	-0.15231677598478	0.377220632282272	0.0207035178185943	"S01"	1.79409243158694	"IS01"
"TNFRSF13C"	"TNFRSF13C"	1.68557521732758	0.276195201301768	0.0875052933139491	-0.381508412413133	-0.618397206443815	-0.719998934682017	0.219684253645653	0.232026841204907	0.477321153871648	"S01"	1.68557521732758	"IS01"
"CD22"	"CD22"	1.67227624778684	0.143055393957878	0.123921329529891	0.23921007606193	-0.781456799456752	-0.505175905597165	-0.162318330134029	0.118958377884092	0.0349404621227986	"S01"	1.67227624778684	"IS01"
"FCAMR"	"FCAMR"	1.63172551001249	-0.0591503488397839	0.054388221870519	-0.237150420516316	-0.437524317923656	-0.31958883783815	-0.0615990432632545	-0.0734667456881981	-0.126080599756247	"S01"	1.63172551001249	"IS01"
"TLR10"	"TLR10"	1.57933500719884	0.107978867833976	-0.0141636918523676	0.132513415227921	-1.14821268551008	-0.431881826170777	-0.0781993711264275	0.673451996420927	-0.0881383645445262	"S01"	1.57933500719884	"IS01"
"STAP1"	"STAP1"	1.50829404150397	-0.136411738574333	-0.0382883505770799	0.189532759360451	-1.06010074199061	-0.269185346972951	0.0375137245823962	0.558780489252014	-0.0569502300893564	"S01"	1.50829404150397	"IS01"
"CXCL13"	"CXCL13"	1.45318538413588	-0.210863225583737	-0.04269816936569	-0.474237466466755	-0.902232279335665	-0.153092178858256	-0.0466985027701347	0.66539863329515	0.0938794560776298	"S01"	1.45318538413588	"IS01"
"FCRL4"	"FCRL4"	1.40879067518502	-0.0436375390618426	0.137672501569808	-0.511338184638236	-0.739581193774669	-0.254286497710827	-0.102625976958216	0.514865817538177	-0.0959206067282692	"S01"	1.40879067518502	"IS01"
"P2RX5"	"P2RX5"	1.40754708803853	-0.121550676354095	0.0467083490500104	-0.471841492173264	-0.492649706923895	-0.354223016558416	0.0975427228930011	0.272472439685274	0.177647087504156	"S01"	1.40754708803853	"IS01"
"ARHGAP25"	"ARHGAP25"	1.37372569659353	-0.126853151774834	-0.156577225450076	0.389747267622585	-0.862213290841057	-0.399092453228856	-0.141063335388341	0.448592045524661	0.0186773117985231	"S01"	1.37372569659353	"IS01"
