"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"GNG8"	"GNG8"	0.0211511555104761
"DTHD1"	"DTHD1"	-0.536458639652447
"IL17REL"	"IL17REL"	-0.511517025472993
"CER1"	"CER1"	-0.391443709930981
"LPAR4"	"LPAR4"	-0.0617081318579963
"GPR15"	"GPR15"	1.50269587009162
"HMHB1"	"HMHB1"	-0.863496487413957
"CD5L"	"CD5L"	-0.737629386228418
"IGLL1"	"IGLL1"	-0.775997788161079
"SERPINA9"	"SERPINA9"	-0.561657413488274
"NSMCE4A"	"NSMCE4A"	0.497652559052808
"TNR"	"TNR"	0.123903173544203
"CLEC4G"	"CLEC4G"	0.404465668626488
"SSTR3"	"SSTR3"	0.66289841170805
"FCAMR"	"FCAMR"	-0.350492541754521
"CR1"	"CR1"	0.325721363907321
"CLEC4M"	"CLEC4M"	0.877462695330711
"LYL1"	"LYL1"	-0.741203976636994
"RGS13"	"RGS13"	0.37580288358535
"IL12RB1"	"IL12RB1"	-0.761356066642636
"CDKL4"	"CDKL4"	-0.0932366577967715
"CCL21"	"CCL21"	0.391053804651766
"HPGDS"	"HPGDS"	-0.652569089241916
"ZNF44"	"ZNF44"	-0.372421095785285
"ZNF804A"	"ZNF804A"	0.343456500693172
"IL16"	"IL16"	0.358356764121668
"STAG3"	"STAG3"	-0.437172537447332
"IKBKB"	"IKBKB"	-0.748932552582273
"TIGIT"	"TIGIT"	0.938109795615399
"ITM2A"	"ITM2A"	1.26877531236611
"MLN"	"MLN"	8.90546496058358
"AKAP2"	"AKAP2"	0.341329471754023
"SEPT1"	"SEPT1"	1.93317068238741
"RAB3C"	"RAB3C"	0.203794906566584
"GRAPL"	"GRAPL"	0.0930793762582844
"GPR18"	"GPR18"	-0.532307643587588
"CXCL13"	"CXCL13"	-0.696507937723355
"B3GAT2"	"B3GAT2"	-0.0555112218780865
"ZNF781"	"ZNF781"	0.106631858986161
"CNR1"	"CNR1"	0.156767523291797
"STAB2"	"STAB2"	0.00731720297277768
"FAM180B"	"FAM180B"	-0.378875823197682
"FCER2"	"FCER2"	-0.0686526359463776
"FAM129C"	"FAM129C"	0.246065885634809
"SASH3"	"SASH3"	0.512661481815243
"NOX3"	"NOX3"	-0.0746805110053603
"PAX4"	"PAX4"	-0.144924674871632
"ITK"	"ITK"	-0.0794130250989956
"PVRIG"	"PVRIG"	0.104945846710226
"BCL2A1"	"BCL2A1"	-0.533727646239621
"IQCJ"	"IQCJ"	-0.32765407830311
"LILRA1"	"LILRA1"	0.126607700016221
"UBASH3A"	"UBASH3A"	0.655593694991151
"CYTIP"	"CYTIP"	0.0462489429269438
"TCL1A"	"TCL1A"	-0.263921319603942
"UTF1"	"UTF1"	-0.118243168134001
"OR5AK2"	"OR5AK2"	-0.0887439595104985
"GOLGA8R"	"GOLGA8R"	-0.194417728473678
"SH2D6"	"SH2D6"	0.654136095910869
"PAX5"	"PAX5"	0.14196085765184
"RASAL3"	"RASAL3"	0.516673770331837
"NLRC3"	"NLRC3"	-0.43648384335492
"PPP1R17"	"PPP1R17"	-0.176520906491137
"CR2"	"CR2"	-0.307035628396766
"FCRL1"	"FCRL1"	-0.228358568822061
"GPM6A"	"GPM6A"	-0.073776752054698
"NPBWR2"	"NPBWR2"	-0.243922429835786
"ABCB11"	"ABCB11"	-0.173681550658043
"ARHGAP25"	"ARHGAP25"	-0.528083476187137
"PASK"	"PASK"	-0.852054433866862
"TTC24"	"TTC24"	-0.933152476050942
"BLK"	"BLK"	0.0964760506440968
"CD79A"	"CD79A"	-0.174473829005121
"PPIAL4F"	"PPIAL4F"	-0.0633530335355332
"VPREB3"	"VPREB3"	-0.362740218457091
"FAM153C"	"FAM153C"	-0.0719898009078884
"ZAP70"	"ZAP70"	0.405015688062297
"RAC2"	"RAC2"	-0.286130439611768
"AC087651.2"	"AC087651.2"	-0.102504092683114
"EPB42"	"EPB42"	-1.15636356369993
"DEFA1"	"DEFA1"	-0.550609710795069
"C7orf72"	"C7orf72"	-0.0968475242675018
"MS4A1"	"MS4A1"	-0.051374426394421
"P2RX5"	"P2RX5"	-0.747595992755032
"MYOCD"	"MYOCD"	0.434613056297672
"GCG"	"GCG"	-0.0648373309895266
"LRMP"	"LRMP"	0.352336951457568
"DEFB108B"	"DEFB108B"	-0.302212863413038
"CLEC17A"	"CLEC17A"	0.226798773978096
"SELL"	"SELL"	0.178735431680606
"MBOAT4"	"MBOAT4"	-0.372288342125
"SIRPG"	"SIRPG"	-0.0343109581984311
"FXYD7"	"FXYD7"	-0.113014901256844
"TAS1R3"	"TAS1R3"	0.0799905047377003
"ACKR1"	"ACKR1"	-0.0153341683670994
"AICDA"	"AICDA"	-1.67983485456777
"CD1B"	"CD1B"	-0.129603998926273
"PIK3R5"	"PIK3R5"	0.684303231739506
"LTB"	"LTB"	0.299207082014746
"ZNF675"	"ZNF675"	0.719478288313642
"TFEC"	"TFEC"	-1.26581861889454
"CCR7"	"CCR7"	0.454442390007232
"IL12B"	"IL12B"	-0.0141767974283301
"TRAF3IP3"	"TRAF3IP3"	-0.390058882440207
"LY86"	"LY86"	0.459173665481186
