"ID"	"State"	"InitialState"
"1"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"S01"	"IS01"
"2"	"TCGA.FD.A5BR.01A.11R.A26T.07"	"S01"	"IS01"
"3"	"TCGA.FD.A5BS.01A.21R.A26T.07"	"S01"	"IS01"
"4"	"TCGA.FD.A5BU.01A.31R.A26T.07"	"S01"	"IS01"
"5"	"TCGA.FD.A43S.01A.21R.A23W.07"	"S01"	"IS01"
"6"	"TCGA.FD.A43P.01A.31R.A23W.07"	"S01"	"IS01"
"7"	"TCGA.K4.A3WU.01B.11R.A23N.07"	"S01"	"IS01"
"8"	"TCGA.GV.A3QG.01A.11R.A220.07"	"S01"	"IS01"
"9"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"S01"	"IS01"
"10"	"TCGA.K4.A3WS.01A.11R.A22U.07"	"S01"	"IS01"
"11"	"TCGA.GC.A3WC.01A.31R.A22U.07"	"S01"	"IS01"
"12"	"TCGA.GC.A3WC.11A.11R.A22U.07"	"S01"	"IS01"
"13"	"TCGA.FD.A3B8.01A.31R.A20F.07"	"S01"	"IS01"
"14"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"S01"	"IS01"
"15"	"TCGA.DK.A3IL.01A.11R.A20F.07"	"S01"	"IS01"
"16"	"TCGA.DK.A3IV.01A.22R.A21D.07"	"S01"	"IS01"
"17"	"TCGA.DK.A2I1.01A.11R.A180.07"	"S01"	"IS01"
"18"	"TCGA.GD.A2C5.11A.11R.A180.07"	"S01"	"IS01"
"19"	"TCGA.BT.A20O.01A.21R.A14Y.07"	"S01"	"IS01"
"20"	"TCGA.FD.A3B4.01A.12R.A206.07"	"S01"	"IS01"
"21"	"TCGA.BT.A2LB.11A.11R.A18C.07"	"S01"	"IS01"
"22"	"TCGA.BT.A20U.11A.11R.A14Y.07"	"S01"	"IS01"
"23"	"TCGA.G2.A2EK.01A.22R.A18C.07"	"S01"	"IS01"
"24"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"S01"	"IS01"
"25"	"TCGA.FD.A62N.01A.11R.A30C.07"	"S01"	"IS01"
"26"	"TCGA.FD.A6TG.01A.11R.A32O.07"	"S01"	"IS01"
"27"	"TCGA.UY.A78K.01A.11R.A33J.07"	"S01"	"IS01"
"28"	"TCGA.FD.A6TB.01A.12R.A33J.07"	"S01"	"IS01"
"29"	"TCGA.K4.A83P.01A.11R.A352.07"	"S01"	"IS01"
"30"	"TCGA.E7.A6MD.01A.41R.A352.07"	"S01"	"IS01"
"31"	"TCGA.ZF.A9R7.01A.11R.A38B.07"	"S01"	"IS01"
"32"	"TCGA.CF.A9FF.01A.11R.A38B.07"	"S01"	"IS01"
"33"	"TCGA.SY.A9G0.01A.12R.A38B.07"	"S01"	"IS01"
"34"	"TCGA.XF.A9SL.01A.11R.A39I.07"	"S01"	"IS01"
"35"	"TCGA.DK.AA6T.01A.11R.A39I.07"	"S01"	"IS01"
"36"	"TCGA.4Z.AA7N.01A.11R.A39I.07"	"S01"	"IS01"
"37"	"TCGA.XF.AAMZ.01A.11R.A42T.07"	"S01"	"IS01"
"38"	"TCGA.ZF.A9RD.01A.11R.A42T.07"	"S01"	"IS01"
"39"	"TCGA.XF.AAME.01A.12R.A42T.07"	"S01"	"IS01"
"40"	"TCGA.XF.A9SI.01A.11R.A39I.07"	"S01"	"IS01"
"41"	"TCGA.AR.A5QQ.01A.11R.A28M.07"	"S01"	"IS01"
"42"	"TCGA.A7.A4SA.01A.11R.A266.07"	"S01"	"IS01"
"43"	"TCGA.EW.A3U0.01A.11R.A22K.07"	"S01"	"IS01"
"44"	"TCGA.E9.A3QA.01A.61R.A22K.07"	"S01"	"IS01"
"45"	"TCGA.EW.A3E8.01B.11R.A24H.07"	"S01"	"IS01"
"46"	"TCGA.A2.A0CR.01A.11R.A22K.07"	"S01"	"IS01"
"47"	"TCGA.A2.A3XY.01A.11R.A239.07"	"S01"	"IS01"
"48"	"TCGA.LL.A441.01A.11R.A24H.07"	"S01"	"IS01"
"49"	"TCGA.B6.A3ZX.01A.11R.A239.07"	"S01"	"IS01"
"50"	"TCGA.AC.A3BB.01A.21R.A19W.07"	"S01"	"IS01"
"51"	"TCGA.AC.A2QI.01A.12R.A19W.07"	"S01"	"IS01"
"52"	"TCGA.BH.A0B6.01A.11R.A19W.07"	"S01"	"IS01"
"53"	"TCGA.A2.A0CO.01A.13R.A22K.07"	"S01"	"IS01"
"54"	"TCGA.A2.A3XZ.01A.42R.A239.07"	"S01"	"IS01"
"55"	"TCGA.BH.A42U.01A.12R.A24H.07"	"S01"	"IS01"
"56"	"TCGA.A2.A0EP.01A.52R.A22U.07"	"S01"	"IS01"
"57"	"TCGA.E2.A1B6.01A.31R.A12P.07"	"S01"	"IS01"
"58"	"TCGA.GM.A2DO.01A.11R.A18M.07"	"S01"	"IS01"
"59"	"TCGA.OL.A5D7.01A.11R.A27Q.07"	"S01"	"IS01"
"60"	"TCGA.OL.A5RU.01A.11R.A28M.07"	"S01"	"IS01"
"61"	"TCGA.PE.A5DE.01A.11R.A27Q.07"	"S01"	"IS01"
"62"	"TCGA.AC.A5XS.01A.11R.A29R.07"	"S01"	"IS01"
"63"	"TCGA.E9.A5FK.01A.11R.A27Q.07"	"S01"	"IS01"
"64"	"TCGA.LL.A5YN.01A.11R.A28M.07"	"S01"	"IS01"
"65"	"TCGA.OK.A5Q2.01A.11R.A27Q.07"	"S01"	"IS01"
"66"	"TCGA.OL.A5RY.01A.21R.A28M.07"	"S01"	"IS01"
"67"	"TCGA.OL.A5RX.01A.11R.A28M.07"	"S01"	"IS01"
"68"	"TCGA.LL.A5YO.01A.21R.A28M.07"	"S01"	"IS01"
"69"	"TCGA.E2.A3DX.01A.21R.A213.07"	"S01"	"IS01"
"70"	"TCGA.A7.A3J1.01A.11R.A213.07"	"S01"	"IS01"
"71"	"TCGA.AC.A3HN.01A.11R.A213.07"	"S01"	"IS01"
"72"	"TCGA.BH.A18V.06A.11R.A213.07"	"S01"	"IS01"
"73"	"TCGA.A8.A09G.01A.21R.A00Z.07"	"S01"	"IS01"
"74"	"TCGA.AR.A2LO.01A.31R.A18M.07"	"S01"	"IS01"
"75"	"TCGA.E9.A243.01A.21R.A169.07"	"S01"	"IS01"
"76"	"TCGA.E9.A248.01A.11R.A169.07"	"S01"	"IS01"
"77"	"TCGA.A2.A25F.01A.11R.A169.07"	"S01"	"IS01"
"78"	"TCGA.BH.A2L8.01A.11R.A18M.07"	"S01"	"IS01"
"79"	"TCGA.E9.A2JT.01A.22R.A18M.07"	"S01"	"IS01"
"80"	"TCGA.GM.A2DB.01A.31R.A18M.07"	"S01"	"IS01"
"81"	"TCGA.GM.A2DI.01A.31R.A18M.07"	"S01"	"IS01"
"82"	"TCGA.AR.A2LH.01A.31R.A18M.07"	"S01"	"IS01"
"83"	"TCGA.BH.A209.01A.11R.A157.07"	"S01"	"IS01"
"84"	"TCGA.BH.A1FU.01A.11R.A14D.07"	"S01"	"IS01"
"85"	"TCGA.BH.A1FB.01A.11R.A13Q.07"	"S01"	"IS01"
"86"	"TCGA.C8.A26Y.01A.11R.A16F.07"	"S01"	"IS01"
"87"	"TCGA.A2.A259.01A.11R.A16F.07"	"S01"	"IS01"
"88"	"TCGA.AR.A24U.01A.11R.A169.07"	"S01"	"IS01"
"89"	"TCGA.E9.A1QZ.01A.21R.A169.07"	"S01"	"IS01"
"90"	"TCGA.GM.A2DH.01A.11R.A180.07"	"S01"	"IS01"
