"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"
"BAIAP2L1__pos"	107.083015129574	2.22044604925031e-16	8.80037682846452	2.22044604925031e-16	2.21605983269514e-08	2.22044604925031e-16	2.22044604925031e-16	56.0858983778671	11.7697448456134	2.95813941602991	36.8737775242116	45.420869179876	2.22044604925031e-16	2.22044604925031e-16
"ALDOB__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.902727108842633	2.22044604925031e-16	2.22044604925031e-16	279.797286157659	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	40.1313224864345	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"UBD__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	223.479716677732	2.22044604925031e-16	2.40844530316322	2.20741918690374	2.22044604925031e-16	2.22044604925031e-16	33.505309720438	2.22044604925031e-16	7.92890844084955	46.7943072980336
"NPPC__pos"	9.50574582913493	2.22044604925031e-16	35.7221259556306	2.22044604925031e-16	2.22044604925031e-16	49.1137803362188	2.22044604925031e-16	51.8686440778073	1.58214467078024e-09	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	7.14689633536468	225.563058390392
"LYZ__pos"	2.22044604925031e-16	2.56290268063181e-14	2.22044604925031e-16	25.8212989289256	143.784602317397	15.4449362143483	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	23.0056094013122	107.320212397053	0.147845468917879	2.22044604925031e-16	2.22044604925031e-16
"CCL19__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.16723269079114	2.22044604925031e-16	248.811698851402	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	7.42061356187842	21.129443583103
"LGALS2__pos"	2.22044604925031e-16	2.2340197450457	2.22044604925031e-16	17.9217188794167	56.3872946331053	127.48117885616	39.1236492903776	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	47.2000824701339	2.22044604925031e-16	21.9182985115045	1.5453280922771e-05
"FATE1__pos"	4.90368138145102	7.48921577309013	2.51274148974768e-09	14.7279791258126	44.896207463706	2.22044604925031e-16	13.8524001040294	81.3553210866054	2.22044604925031e-16	59.4053237181692	13.0872380787055	12.4990291794659	26.2079336488273	101.318541100194
"ADH6__pos"	32.8387297857191	2.22044604925031e-16	4.27887243445738	21.351052610808	2.22044604925031e-16	3.45716771516511	53.8882025251793	5.67350837987889e-08	97.2534481212487	2.22044604925031e-16	139.486582011206	0.000525344159163815	2.22044604925031e-16	27.7847693185221
"GATA4__pos"	25.6155123865206	6.29846036556311e-07	6.82742456764773	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	322.314217428451	5.11478101995244	2.22044604925031e-16	2.38254180509427e-06	0.00700416491420031	9.90984886145286	2.22044604925031e-16	16.8393971994642
