"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"CXCR6"	"CXCR6"	-0.109290913690986	-0.0807453666060729	-1.05694762671853	0.092979764035279	1.89102463461457	1.21510160704775	-0.0481456644900606	-0.116908117932095	-0.103782795522416	0.114868677279883	-0.140416633127091	-0.0387257006803071	-0.256271595955244	0.249817508509985	"S01"	1.89102463461457	"IS05"
"CD2"	"CD2"	-0.191933817361402	-0.00591070273961869	-1.23761996916325	0.0210627314550841	1.67326843227607	1.63643562858566	-0.175876322054158	-0.0984920841712332	-0.114473346702552	0.24829546288759	-0.172802554836034	-0.0403374584154884	-0.0993881875841294	0.359532472128115	"S01"	1.67326843227607	"IS05"
"IL2RB"	"IL2RB"	0.0290903237244436	-0.059217769604271	-1.04776835708369	-0.00887014013991034	1.65744440872406	1.36927001448288	-0.135707855941551	-0.0293667277807756	-0.0490883060631665	0.339160835833882	-0.0180332954000364	0.0114885628521182	-0.550871011043968	0.272333715613307	"S01"	1.65744440872406	"IS05"
"KLRC4"	"KLRC4"	0.0416785236345072	0.216583110615257	-0.679192874987073	0.157898145916381	1.62716836181681	0.852823633684594	-0.226533700872038	-0.16205525005393	0.262504071788541	-0.0938797970626103	-0.119681090571786	-0.179715375922707	-0.519881940165893	0.103462204443052	"S01"	1.62716836181681	"IS05"
"UBD"	"UBD"	-0.144189481862668	-0.088364506999566	-0.736380259539346	-0.454175609548443	1.60933093685212	0.762510421905689	-0.000211042268457166	-0.0888550760029472	-0.156215267094216	-0.0274859199919344	0.164320844157392	-0.095378307110609	-0.072965806297185	1.261037055313	"S01"	1.60933093685212	"IS05"
"TNFSF13B"	"TNFSF13B"	-0.05510909102608	-0.00468006133187457	-0.810354180594087	0.0477299772878871	1.59734931186617	0.794562613235042	-0.292658660153646	-0.318907376632344	-0.147008062504249	0.53833987314115	-0.138818280538235	-0.0933138880358951	-0.176123577883626	0.129040558539597	"S01"	1.59734931186617	"IS05"
"GPR25"	"GPR25"	-0.229752135692147	-0.112269726780611	-0.67638249115874	-0.150357897868584	1.58778712973622	0.925864471010764	0.00441104061256049	0.114111546264479	-0.0539187801360242	-0.189456360075054	0.00301104777878458	-0.117701799177656	-0.215245071720153	0.284459529661558	"S01"	1.58778712973622	"IS05"
"CD7"	"CD7"	-0.357504455680895	-0.119435107621816	-0.848435775456874	-0.184720745589006	1.58117851838685	1.30388769499181	0.095620891094149	0.103472663504199	-0.244431465651746	0.0159408791515413	-0.0959966430330859	-0.203766623797493	0.0151745112354644	0.264533392978878	"S01"	1.58117851838685	"IS05"
"CTLA4"	"CTLA4"	-0.120626440720584	0.0428597538352904	-1.05754183443563	-0.364021731474072	1.53414893416797	1.4288655313722	-0.192530285617656	0.00154865358129829	0.0549127893497435	0.487382294447155	-0.251684373183511	-0.058594371951999	-0.243002149522968	0.496022902749963	"S01"	1.53414893416797	"IS05"
"FPR3"	"FPR3"	0.100073970513112	-0.0518680048136333	-0.815015646372205	0.0667757877305431	1.44193038505779	0.653137536251558	-0.297926603237606	-0.311780768553081	-0.229166236212244	1.09067346170885	-0.243252809494798	0.0204091965148323	-0.418416952815614	0.128172218866138	"S01"	1.44193038505779	"IS05"
"CD226"	"CD226"	0.168913220449947	0.114238178366598	-0.992367269522654	0.343517410164023	1.44132520873752	1.36934243133891	-0.214634990720479	-0.29034363275082	0.0304795997635504	0.399216924271733	-0.0772653014712398	-0.0505526432198455	-0.639652012180531	0.0719934554534952	"S01"	1.44132520873752	"IS05"
"NCR1"	"NCR1"	-0.0106041184014775	0.250824410639969	-0.814918570685658	0.384084662218508	1.43492054249828	0.914346579554526	-0.0417864895060702	-0.0304983844252512	0.0939996639215805	-0.0377135334215202	0.0601633377369283	-0.216236670951746	-0.482519414616702	0.58579740715393	"S01"	1.43492054249828	"IS05"
"IL12RB1"	"IL12RB1"	-0.187982768295554	0.0653689802825055	-0.834414348953107	0.0684984666172289	1.42899375481315	1.05340813032851	-0.0606799596085748	-0.016989994656054	0.000368120373594344	0.227489154566059	-0.0412648735590249	-0.178716407726562	-0.249122709295074	0.310616907241299	"S01"	1.42899375481315	"IS05"
