"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"
"GPHA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	494.015523190091	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CXCL11__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	215.055406332495	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SPIB__pos"	142.590514927757	23.8552363979746	2.22044604925031e-16	19.4750104062303	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	8.91255779064391	1.33828404959719	2.22044604925031e-16	2.22044604925031e-16	5.26472226789402e-07
"CD274__pos"	0.418469882698796	2.22044604925031e-16	37.6816229325804	2.22044604925031e-16	125.061977134854	8.64385311025874	2.22044604925031e-16	53.7630282263772	2.22044604925031e-16	14.7386636539312	7.07807848230864e-10	2.22044604925031e-16
"UTS2__pos"	29.0740657448787	0.000365633245311249	2.22044604925031e-16	2.22044604925031e-16	19.3001219505407	0.00590646796468215	2.22044604925031e-16	203.504528289865	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SLAMF6__pos"	102.682078390614	2.22044604925031e-16	9.71618632823272	2.22044604925031e-16	12.4661198663069	23.3315512960543	2.22044604925031e-16	4.61322120070031e-15	2.22044604925031e-16	56.7741502581244	0.569081223371989	2.87143399242107
"GZMB__pos"	14.9938264297097	3.8156898292679	2.22044604925031e-16	2.22044604925031e-16	184.983694062225	16.4416964172736	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IL9R__pos"	60.1552353697981	19.8766392579903	10.5578938525505	2.22044604925031e-16	11.2783270647787	75.7802970211986	2.75226146007864	2.22044604925031e-16	85.496397318349	1.19467364384762e-12	5.65222664873993e-05	3.50509570494757
"GBP5__pos"	10.582330386149	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	207.120796628974	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"TRAT1__pos"	107.386322038684	10.5182942065882	4.31513672939441	2.22044604925031e-16	14.4358623484373	58.6577690359624	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	14.1879683458541	2.22044604925031e-16	2.22044604925031e-16
"TMEM244__pos"	36.2513271962877	47.2127817293908	53.6319480464208	0.00175012187634501	6.67940369554705e-07	46.6705923664199	7.67616086726185e-09	68.1591453839433	9.73892135204398	2.22044604925031e-16	0.00121518133150624	2.00296423935955
"SLA2__pos"	52.7055101322042	22.0834784275561	0.141996951263016	2.22044604925031e-16	60.1527945407392	85.785516447152	2.22044604925031e-16	2.22044604925031e-16	1.5535235661599	17.2460389210816	0.145097515336207	3.83509468802177
"LILRB1__pos"	26.712975087546	0.000194484320386722	86.9814045139813	3.03696681413014	4.47372318636018e-06	2.00215080925551	30.6448656846032	2.22044604925031e-16	15.3700564078957	56.4784141268125	1.06484718862357e-06	3.71750703479543
"PLA2G2D__pos"	138.166545653309	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	36.7219590509297	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"FCER1G__pos"	2.22044604925031e-16	11.8252370566064	146.857771460656	12.4595589384146	21.7993259559843	9.40961267321611	33.0120659015607	2.22044604925031e-16	13.2266705498901	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"KLRC2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	209.72054895414	2.22044604925031e-16	1.33258662032678e-05	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CD3E__pos"	60.0832744600898	59.6818263468082	2.22044604925031e-16	2.22044604925031e-16	34.7046556884233	54.4325282197294	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	19.5591034649498	3.83430199024382e-07	2.22044604925031e-16
"KLRC4.KLRK1__pos"	34.0010804852054	2.22044604925031e-16	4.06204555730915	2.22044604925031e-16	2.22044604925031e-16	183.482817601823	2.22044604925031e-16	2.22044604925031e-16	2.51730345034336e-13	23.698583323265	4.30714536328438	2.22044604925031e-16
