"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"GPHA2"	"GPHA2"	-0.377709737150152
"CXCL11"	"CXCL11"	-0.59156949987854
"SPIB"	"SPIB"	-0.0984638371357844
"CD274"	"CD274"	-0.740814249173516
"UTS2"	"UTS2"	-0.427309716180937
"SLAMF6"	"SLAMF6"	0.914611245933672
"GZMB"	"GZMB"	-0.193509660729162
"IL9R"	"IL9R"	2.29030184439933
"GBP5"	"GBP5"	-0.496915444784575
"TRAT1"	"TRAT1"	0.361053814207389
"TMEM244"	"TMEM244"	0.530294385009612
"SLA2"	"SLA2"	-0.575553968518377
"LILRB1"	"LILRB1"	0.320488499460366
"PLA2G2D"	"PLA2G2D"	-0.160860507015422
"FCER1G"	"FCER1G"	-1.57126599524026
"KLRC2"	"KLRC2"	-0.693483849694484
"CD3E"	"CD3E"	-0.337982590674652
"KLRC4.KLRK1"	"KLRC4.KLRK1"	0.928355768268178
"IDO1"	"IDO1"	-0.378934555625606
"KLRD1"	"KLRD1"	-0.590147641984934
"KCNJ10"	"KCNJ10"	-0.990471014868583
"RTTN"	"RTTN"	0.411268888640398
"IFNG"	"IFNG"	-0.948210612361078
"CXCL10"	"CXCL10"	-0.327650729036672
"LILRA4"	"LILRA4"	0.46550463512408
"PLEK"	"PLEK"	-0.067462782737783
"FAM26F"	"FAM26F"	-1.29062081962407
"LAG3"	"LAG3"	-0.821423715582097
"TSPY2"	"TSPY2"	-0.238640351161014
"LAIR1"	"LAIR1"	1.13710858157174
"TSHZ2"	"TSHZ2"	-0.518576876768799
"CXCL9"	"CXCL9"	-0.586037804138306
"TIGIT"	"TIGIT"	0.919145165161063
"AL133475.1"	"AL133475.1"	-0.108318968886128
"GZMH"	"GZMH"	-0.261133919760594
"CT47A1"	"CT47A1"	-0.0971293927983298
"DDX10"	"DDX10"	-0.539656418253807
"SIRPG"	"SIRPG"	-0.937178997554561
"PDCD1"	"PDCD1"	-0.788494702499697
"PTPRCAP"	"PTPRCAP"	-0.325032667068523
"DNTT"	"DNTT"	-0.118304392203038
"CST7"	"CST7"	0.214263782183761
"CXCR3"	"CXCR3"	0.23057562670633
"EOMES"	"EOMES"	-0.660592083209626
"KLRB1"	"KLRB1"	-0.745013970507814
"FCGR1A"	"FCGR1A"	-0.413458065073034
"MFRP"	"MFRP"	-0.124571496638912
"PYHIN1"	"PYHIN1"	0.0146542751752743
"KLRC4"	"KLRC4"	-0.627373989712045
"OR5H14"	"OR5H14"	-0.16207366752197
"WAS"	"WAS"	-0.14265320301572
"THEMIS"	"THEMIS"	-0.423614428915381
"CCL3"	"CCL3"	1.11197841609794
"FCRL6"	"FCRL6"	-1.18091003287339
"TIMD4"	"TIMD4"	-0.465578313838921
"IKZF1"	"IKZF1"	1.22101260175013
"CD2"	"CD2"	0.148784630728457
"SLAMF1"	"SLAMF1"	-0.436820709551497
"FAM78A"	"FAM78A"	0.824099995962906
"IL27"	"IL27"	-0.886933695853941
"SH2D1A"	"SH2D1A"	-0.411434444028967
"NCR3"	"NCR3"	-0.657092771065015
"CCL5"	"CCL5"	0.670539747465217
"C19orf47"	"C19orf47"	0.692645951458731
"C2orf80"	"C2orf80"	-0.527413548201
"CPA5"	"CPA5"	0.66789094495462
