"ID"	"State"	"InitialState"
"1"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"S01"	"IS01"
"2"	"TCGA.HQ.A5NE.01A.12R.A28M.07"	"S01"	"IS01"
"3"	"TCGA.FD.A43S.01A.21R.A23W.07"	"S01"	"IS01"
"4"	"TCGA.FD.A43P.01A.31R.A23W.07"	"S01"	"IS01"
"5"	"TCGA.K4.A3WU.01B.11R.A23N.07"	"S01"	"IS01"
"6"	"TCGA.GV.A3QG.01A.11R.A220.07"	"S01"	"IS01"
"7"	"TCGA.GV.A3JV.01A.11R.A220.07"	"S01"	"IS01"
"8"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"S01"	"IS01"
"9"	"TCGA.FD.A3SR.01A.11R.A22U.07"	"S01"	"IS01"
"10"	"TCGA.GC.A3WC.01A.31R.A22U.07"	"S01"	"IS01"
"11"	"TCGA.GC.A3WC.11A.11R.A22U.07"	"S01"	"IS01"
"12"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"S01"	"IS01"
"13"	"TCGA.DK.A3IV.01A.22R.A21D.07"	"S01"	"IS01"
"14"	"TCGA.GD.A2C5.11A.11R.A180.07"	"S01"	"IS01"
"15"	"TCGA.BT.A20O.01A.21R.A14Y.07"	"S01"	"IS01"
"16"	"TCGA.BT.A20J.01A.11R.A14Y.07"	"S01"	"IS01"
"17"	"TCGA.BT.A20W.11A.11R.A14Y.07"	"S01"	"IS01"
"18"	"TCGA.CU.A0YR.11A.13R.A10U.07"	"S01"	"IS01"
"19"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"S01"	"IS01"
"20"	"TCGA.R3.A69X.01A.22R.A30C.07"	"S01"	"IS01"
"21"	"TCGA.UY.A78K.01A.11R.A33J.07"	"S01"	"IS01"
"22"	"TCGA.FD.A6TA.01A.12R.A33J.07"	"S01"	"IS01"
"23"	"TCGA.FD.A6TB.01A.12R.A33J.07"	"S01"	"IS01"
"24"	"TCGA.E7.A85H.01A.11R.A352.07"	"S01"	"IS01"
"25"	"TCGA.K4.A83P.01A.11R.A352.07"	"S01"	"IS01"
"26"	"TCGA.E7.A6MD.01A.41R.A352.07"	"S01"	"IS01"
"27"	"TCGA.XF.A9SX.01A.21R.A39I.07"	"S01"	"IS01"
"28"	"TCGA.XF.A9SL.01A.11R.A39I.07"	"S01"	"IS01"
"29"	"TCGA.DK.AA6T.01A.11R.A39I.07"	"S01"	"IS01"
"30"	"TCGA.4Z.AA7N.01A.11R.A39I.07"	"S01"	"IS01"
"31"	"TCGA.ZF.A9RN.01A.11R.A42T.07"	"S01"	"IS01"
"32"	"TCGA.XF.AAN0.01A.11R.A42T.07"	"S01"	"IS01"
"33"	"TCGA.XF.AAME.01A.12R.A42T.07"	"S01"	"IS01"
"34"	"TCGA.XF.A9SI.01A.11R.A39I.07"	"S01"	"IS01"
"35"	"TCGA.A7.A4SA.01A.11R.A266.07"	"S01"	"IS01"
"36"	"TCGA.EW.A3U0.01A.11R.A22K.07"	"S01"	"IS01"
"37"	"TCGA.EW.A3E8.01B.11R.A24H.07"	"S01"	"IS01"
"38"	"TCGA.A2.A0CR.01A.11R.A22K.07"	"S01"	"IS01"
"39"	"TCGA.A2.A3XY.01A.11R.A239.07"	"S01"	"IS01"
"40"	"TCGA.LL.A441.01A.11R.A24H.07"	"S01"	"IS01"
"41"	"TCGA.B6.A3ZX.01A.11R.A239.07"	"S01"	"IS01"
"42"	"TCGA.AC.A2FE.01A.11R.A19W.07"	"S01"	"IS01"
"43"	"TCGA.AC.A3BB.01A.21R.A19W.07"	"S01"	"IS01"
"44"	"TCGA.BH.A0B6.01A.11R.A19W.07"	"S01"	"IS01"
"45"	"TCGA.A2.A0CO.01A.13R.A22K.07"	"S01"	"IS01"
"46"	"TCGA.A7.A13H.01A.11R.A22K.07"	"S01"	"IS01"
"47"	"TCGA.A2.A3XZ.01A.42R.A239.07"	"S01"	"IS01"
"48"	"TCGA.A2.A0EP.01A.52R.A22U.07"	"S01"	"IS01"
"49"	"TCGA.E2.A1B6.01A.31R.A12P.07"	"S01"	"IS01"
"50"	"TCGA.GM.A2DO.01A.11R.A18M.07"	"S01"	"IS01"
"51"	"TCGA.OL.A5RU.01A.11R.A28M.07"	"S01"	"IS01"
"52"	"TCGA.PE.A5DE.01A.11R.A27Q.07"	"S01"	"IS01"
"53"	"TCGA.LL.A5YN.01A.11R.A28M.07"	"S01"	"IS01"
"54"	"TCGA.OK.A5Q2.01A.11R.A27Q.07"	"S01"	"IS01"
"55"	"TCGA.OL.A5RY.01A.21R.A28M.07"	"S01"	"IS01"
"56"	"TCGA.LL.A5YO.01A.21R.A28M.07"	"S01"	"IS01"
"57"	"TCGA.E2.A3DX.01A.21R.A213.07"	"S01"	"IS01"
"58"	"TCGA.A7.A3J1.01A.11R.A213.07"	"S01"	"IS01"
"59"	"TCGA.AR.A2LO.01A.31R.A18M.07"	"S01"	"IS01"
"60"	"TCGA.E9.A248.01A.11R.A169.07"	"S01"	"IS01"
"61"	"TCGA.A2.A25F.01A.11R.A169.07"	"S01"	"IS01"
"62"	"TCGA.BH.A2L8.01A.11R.A18M.07"	"S01"	"IS01"
"63"	"TCGA.E9.A2JT.01A.22R.A18M.07"	"S01"	"IS01"
"64"	"TCGA.GM.A2DI.01A.31R.A18M.07"	"S01"	"IS01"
"65"	"TCGA.AR.A2LH.01A.31R.A18M.07"	"S01"	"IS01"
"66"	"TCGA.BH.A209.01A.11R.A157.07"	"S01"	"IS01"
"67"	"TCGA.A8.A08I.01A.11R.A00Z.07"	"S01"	"IS01"
"68"	"TCGA.BH.A1FB.01A.11R.A13Q.07"	"S01"	"IS01"
"69"	"TCGA.A2.A259.01A.11R.A16F.07"	"S01"	"IS01"
"70"	"TCGA.AR.A24U.01A.11R.A169.07"	"S01"	"IS01"
"71"	"TCGA.D8.A1XM.01A.21R.A14M.07"	"S01"	"IS01"
