"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"
"WAS__pos"	27.6102263878841	1.51074363594296e-10	51.5675000380803	58.0610790006222	4.37151395304422	9.83804923727664	21.0435666677047	0.0505393092371512	9.39295559731314	14.3858710649518	2.60260340290511	1.77688630661386e-15	2.22044604925031e-16	2.22044604925031e-16	6.97834895308481	56.9206202275552	22.1982272751387	2.22044604925031e-16	37.285028670342
"EBI3__pos"	52.2256138557521	2.22044604925031e-16	2.22044604925031e-16	107.765003462526	3.18405337698133	2.22044604925031e-16	82.2651151559087	2.22044604925031e-16	2.22044604925031e-16	3.56839451288322	9.51385982344437	1.79457049071899	64.782231171313	2.22044604925031e-16	0.548290355073506	22.7540438358774	14.2003541824022	6.17555811620337e-14	34.7060983401517
"SIT1__pos"	12.7662362302844	2.80834222033939	2.22044604925031e-16	189.007314169932	2.22044604925031e-16	2.22044604925031e-16	106.84998700176	2.22044604925031e-16	2.22044604925031e-16	4.12812966887776	2.22044604925031e-16	2.22044604925031e-16	39.0581077668149	2.22044604925031e-16	2.22044604925031e-16	8.053391974984	2.09293987648644e-07	2.22044604925031e-16	7.7779940659748
"PPP1R27__pos"	2.22044604925031e-16	6.61395977126253	15.497982872402	2.22044604925031e-16	10.736467977457	2.22044604925031e-16	30.1038444313618	42.4436582490729	2.75652192049018	2.22044604925031e-16	2.22044604925031e-16	247.572956134622	2.22044604925031e-16	2.22044604925031e-16	13.9036710356481	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	91.3086109909058
"FDCSP__pos"	2.22044604925031e-16	121.610389783503	2.22044604925031e-16	164.569717072549	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	5.6895737614227	10.4259101719121	2.22044604925031e-16	2.22044604925031e-16	21.2015006275299	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	82.7131590865434	2.22044604925031e-16
"COL6A5__pos"	30.3015405320386	2.22044604925031e-16	0.165482177357524	82.0204834830662	2.22044604925031e-16	144.493754888246	36.1475223714421	2.22044604925031e-16	6.37604873790856	2.22044604925031e-16	2.22044604925031e-16	1.38118326120278	58.9706259303822	1.98226772030154	20.514173723354	6.20728698358477e-14	20.2243404651784	7.59744507622581e-08	2.22044604925031e-16
"CLEC12A__pos"	263.413567842671	3.71588669415643e-12	17.7477447217828	21.9070758098172	2.22044604925031e-16	2.22044604925031e-16	92.4816922536012	2.22044604925031e-16	2.22044604925031e-16	14.0427348720711	2.22044604925031e-16	2.22044604925031e-16	3.0318141105401	33.6888146495616	2.05686761482515	2.22044604925031e-16	2.22044604925031e-16	5.65719164197064	3.8952954085424e-08
"LCE1C__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	117.138791124811	2.22044604925031e-16	2.22044604925031e-16	511.479520680948	2.22044604925031e-16
"ROS1__pos"	2.22044604925031e-16	2.5152697466691	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	212.702005915056	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	128.224682572626	2.22044604925031e-16	9.08051042677188	2.22044604925031e-16	12.723977115133	2.22044604925031e-16	8.31129203590118	2.22044604925031e-16	2.22044604925031e-16
"DOK3__pos"	76.7477961530209	5.9251169771085	61.5833601614701	69.7073563530783	8.87002887379597	5.0777506162789	32.3607982941263	2.22044604925031e-16	5.52303045401318e-16	10.6094265003623	15.6023723639652	4.91184164747942	2.22044604925031e-16	14.532268170529	4.45074370416854	51.3741588539898	27.2201176842433	1.07717069053222	50.4826245693483
