"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"State"	"MaxFC"	"InitialState"
"SLAMF1"	"SLAMF1"	0.364819367046907	-0.0630893073801594	-0.10285289879573	2.11511566945093	-0.0382123600020592	-0.0727234914067647	0.700276517294898	-0.761117408872737	-0.177528544361081	0.0146111352854892	-0.116582553908749	-0.0841157135047511	0.0730526962973113	-0.360494432440091	-0.142912718146798	-0.199143923797884	-0.123428681977086	-0.0643128171270186	-0.215301015513597	"S01"	2.11511566945093	"IS04"
"HLA.DOB"	"HLA.DOB"	-0.0760949593816614	0.197786775750021	-0.174393905605975	1.91645693677104	-0.0842017780691495	0.11292770292279	0.95165217690035	-0.690106397930904	-0.152020001335917	-0.154070258281329	-0.0667539188293898	-0.146257187886424	0.244642056618385	0.0115412869718887	-0.200613151011945	-0.225883969432253	-0.197777342205691	-0.193219142209072	-0.0316569498860358	"S01"	1.91645693677104	"IS04"
"LTB"	"LTB"	0.162158641505862	0.11856118528441	-0.263278990572263	1.85114184278995	-0.0905202895547818	-0.190184687014676	0.288720986580271	-0.581453243290311	-0.218783271401485	-0.232977872034067	-0.0864627025573887	-0.177176234639821	0.706507908573233	-0.0912290463915066	-0.156027398518093	-0.14198063288106	-0.165618095103613	-0.156612588951095	0.0358594847533633	"S01"	1.85114184278995	"IS04"
"WDFY4"	"WDFY4"	0.844033439230824	-0.188362124970786	-0.145575425171159	1.80278531503633	-0.0904475119798073	0.116844573865707	0.414404519469327	-0.650959361579596	-0.230805224030015	0.0944687842426517	-0.23923287859941	0.0249629714336761	0.115606902371242	-0.299822293689844	-0.13505091688966	-0.256559301628807	-0.0117968534609755	-0.269344145243058	-0.0838162528722844	"S01"	1.80278531503633	"IS04"
"ITK"	"ITK"	0.0778606652212544	-0.0800288211610222	-0.034948898594178	1.80085575552003	-0.0574854180495665	-0.106873529446101	0.531301398836769	-0.483647383188448	-0.180962922652626	0.0256228720464249	-0.146047890938336	-0.0527513476889366	-0.116542218220916	-0.130995883262508	-0.125879155913466	-0.243563940946278	-0.102990119017443	-0.127902758900582	-0.186854662482515	"S01"	1.80085575552003	"IS04"
"CLECL1"	"CLECL1"	0.245183888209591	-0.212271123084191	-0.0886293806191287	1.70212162996701	-0.0664669052737955	-0.114722213702384	0.310874096020846	-0.567441078580889	-0.100374638245651	-0.0968261806500113	-0.0947862240773616	-0.115623500715241	0.267528589632042	-0.131180292719642	-0.140890191768577	-0.098872058569805	-0.0610321967325911	-0.221054576017272	-0.133475247470092	"S01"	1.70212162996701	"IS04"
"ADORA2A"	"ADORA2A"	0.252915069381053	-0.0150796088492202	0.110319322619352	1.65712553330837	-0.0707537540318874	0.0060857144459938	0.327131439459876	-0.494562022939142	-0.144402792190845	0.0462309799337624	-0.181691746436323	0.0241572809308763	-0.0551520418660319	-0.0525648649050255	-0.201057584680268	-0.348630985341432	-0.0807425545626179	-0.0724568019743798	0.0304653193154296	"S01"	1.65712553330837	"IS04"
"SP140"	"SP140"	0.156367520535455	0.0307281500596231	0.0354099607629363	1.63935060903988	-0.109760962154617	-0.0473946939833128	0.962218902467378	-0.574349288424158	-0.162825147458509	-0.188078951094883	-0.0886623278490187	-0.211583495743434	-0.0928979719577175	-0.0780327504954063	-0.132132958554836	-0.181691040337906	-0.122315556265988	-0.226594477462599	-0.13378535566633	"S01"	1.63935060903988	"IS04"
"SIT1"	"SIT1"	0.298167709168582	0.0596086372257504	-0.163336053691369	1.63389284772844	0.0125544313162635	-0.040616776849545	0.934768405582198	-0.988490348772196	-0.141730089065799	0.0115183655290412	-0.157623096020177	-0.139754340799315	0.225748316781628	-0.146920101056451	-0.154981311185988	0.0676101047279857	-0.0576524467111095	-0.0683169763057362	0.0104373642904902	"S01"	1.63389284772844	"IS04"
"ICOS"	"ICOS"	0.521711285666072	0.0463981066308575	0.00888007336978573	1.59809520679202	-0.0284763695881399	-0.0167231319387201	1.17445245511773	-0.924984012612101	-0.238570736404903	-0.133396612639793	0.161139684483719	-0.156056907067282	0.214298178179162	-0.202651014020142	-0.0693998919494802	-0.154413110166984	0.0757845686973433	-0.0893886260753757	-0.184048064183226	"S01"	1.59809520679202	"IS04"
"FUT7"	"FUT7"	0.405573009183992	0.173405676992665	-0.262205565369546	1.57985051864662	-0.183823561159503	-0.0814552994882605	0.758810853879534	-0.864779108968188	-0.0899244601644985	-0.251878654735809	-0.0679314870380383	-0.224733260543371	0.798074437496075	-0.337206894463971	0.0157068329602612	-0.132875658498871	0.038136255743069	-0.0363629795943273	0.189540395107543	"S01"	1.57985051864662	"IS04"
"TIGIT"	"TIGIT"	0.169357713545465	0.129916293626209	-0.0117736492190339	1.56660378428035	0.00696658801634578	-0.249458884776033	1.27972408511372	-0.822410800518723	-0.254092701096657	-0.236770068774504	-0.0356574928445453	-0.0455838315000126	0.233081428319837	-0.179392808160497	-0.0692920345851122	-0.105238607344998	0.0701264637744875	-0.0906859476885794	-0.156495405018578	"S01"	1.56660378428035	"IS04"
"CTLA4"	"CTLA4"	0.350506834036761	0.149772730355932	-0.0182965320437913	1.51511064725347	-0.00850390563507523	-0.276814048589999	1.30486126961503	-0.865593751849787	-0.298313994480949	-0.324071308836963	0.172373537176748	-0.172785098014301	0.359335397359245	-0.130538260883966	-0.0727676685093894	-0.169090474101852	0.128330487712452	-0.0379118820122668	-0.0360034855257347	"S01"	1.51511064725347	"IS04"
"FDCSP"	"FDCSP"	-0.0613635534062725	0.797305620479381	-0.230412250117039	1.50620797146237	-0.0150349591592993	-0.0949114721464632	0.056086363895409	-0.465396556275353	0.0452656283529416	0.0981651088462673	-0.100819478795656	-0.193710821790759	0.141100896362092	-0.0192464120323983	-0.176250124536457	-0.195487553312073	-0.181929589459195	0.590869717053484	-0.0483326629718056	"S01"	1.50620797146237	"IS04"
"CD69"	"CD69"	0.312455995498818	-0.191260450551567	-0.0772511294488312	1.44889133102564	-0.0996605240041443	0.147176264994062	0.283882366394746	-0.537029259647937	-0.0957486269352725	0.334202987542319	0.0522431701763904	-0.148019981649152	-0.0101398041177549	-0.146959928238198	-0.189341575121526	-0.221793072203238	0.0127396734397009	-0.157699330956444	-0.209109885014543	"S01"	1.44889133102564	"IS04"
"CD52"	"CD52"	0.907821953476947	-0.236129585766814	-0.238571776400873	1.39651913706737	-0.00147727482622034	0.50823820034119	0.231744921566998	-0.664177863628155	-0.156240096794438	0.291961783971312	-0.207676777995002	-0.0552168673737107	0.187911685448826	-0.149014321367192	-0.24527150836194	-0.0841675819245144	-0.127553927446997	-0.0958804685214266	-0.109818202047938	"S01"	1.39651913706737	"IS04"
