"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"WAS"	"WAS"	1.01274258297051
"EBI3"	"EBI3"	-0.750922000683426
"SIT1"	"SIT1"	-0.36395889289211
"PPP1R27"	"PPP1R27"	-0.827720599605214
"FDCSP"	"FDCSP"	-0.345814961161322
"COL6A5"	"COL6A5"	-0.418964150290575
"CLEC12A"	"CLEC12A"	-0.15001077625055
"LCE1C"	"LCE1C"	-0.468908578824416
"ROS1"	"ROS1"	-0.311562134373048
"DOK3"	"DOK3"	1.13268756652752
"AGER"	"AGER"	-0.935381146812988
"CEACAM4"	"CEACAM4"	-0.0799756009876782
"SFTPA2"	"SFTPA2"	-0.252067157090342
"CCL17"	"CCL17"	0.105392126640795
"IDO1"	"IDO1"	-0.547892551998955
"SPINK9"	"SPINK9"	-0.944984767460654
"CCL27"	"CCL27"	0.343449204607455
"FCER1A"	"FCER1A"	0.487905595911582
"NTRK1"	"NTRK1"	-0.0181570008486229
"MAP1LC3C"	"MAP1LC3C"	-0.298374323297223
"SLC46A2"	"SLC46A2"	0.0969339774286202
"LCE1F"	"LCE1F"	-0.201375059445872
"PDCD1LG2"	"PDCD1LG2"	-0.134400763921454
"CD1A"	"CD1A"	0.51579913281518
"IL22RA2"	"IL22RA2"	-0.120879637502078
"CIT"	"CIT"	0.557242293108027
"B3GNT5"	"B3GNT5"	0.978591928206129
"C1orf68"	"C1orf68"	-0.494828244410536
"CD207"	"CD207"	-0.107192992045796
"CCL13"	"CCL13"	-0.374671445386626
"S100B"	"S100B"	-0.0292520753342409
"AQP1"	"AQP1"	-0.150805666621398
"KPRP"	"KPRP"	1.34182019347595
"KRT2"	"KRT2"	0.729727589138615
"CLDN17"	"CLDN17"	-0.100018156679888
"OLR1"	"OLR1"	-0.515112940447615
"S1PR1"	"S1PR1"	-0.328447764850474
"FLG2"	"FLG2"	-0.128893801382026
"PTPN7"	"PTPN7"	-0.522276873668022
"MYH1"	"MYH1"	0.348321333274973
"CD52"	"CD52"	-0.183415812249763
"ACTBL2"	"ACTBL2"	-0.685765376663041
"DMKN"	"DMKN"	-0.337981348422507
"IL37"	"IL37"	-0.44305094689571
"CD1B"	"CD1B"	0.629725001427919
"MRGPRX3"	"MRGPRX3"	-0.167510568399082
"ADGRE3"	"ADGRE3"	-0.0981467534301734
"IL2RA"	"IL2RA"	-0.446897948782312
"GLDN"	"GLDN"	-0.338752008087795
"EIF4E1B"	"EIF4E1B"	-0.197238477255186
"HIGD1B"	"HIGD1B"	-0.309626463806803
"AKAP6"	"AKAP6"	-0.136094371699279
"SH3GL3"	"SH3GL3"	-0.370096515553691
"IL12RB2"	"IL12RB2"	-0.565858715248212
