"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"State"	"MaxFC"
"MCEMP1"	"MCEMP1"	1.92871505117113	-0.103647671043694	-0.160364240205409	-0.000414275977343812	-0.144909033576225	0.639076595389791	-0.0116702003090894	-0.40012032370072	-0.297258180616134	0.224992425541288	0.503094930475213	0.220939901271027	0.36026560008179	-0.23126873928894	-0.0655383441752692	-0.205583753959396	0.245233033762389	-0.156392777361281	-0.146252675594751	"IS01"	1.92871505117113
"MRC1"	"MRC1"	1.79897538696982	-0.293021262787649	-0.0851344726958533	0.425406131668185	-0.158289296766103	0.580632690489577	0.258884300918883	-0.668207679382452	-0.377545287551143	0.909248305488077	0.117773334469228	0.0701530612257275	0.289447643101569	-0.265922861444397	-0.0391014402687541	-0.319941146197168	0.217229856874974	-0.302117843784726	-0.269755997644043	"IS01"	1.79897538696982
"ITGAM"	"ITGAM"	1.69441715181452	0.269553402867876	0.0130976751246639	0.759190975406699	0.0155994833070721	0.223824195719171	0.313197739520266	-0.58940208429485	-0.345660037731369	0.0402223240866118	-0.0463021056191425	0.0225311317866571	0.286428152473101	-0.238934143441231	-0.0623309324136938	-0.29702673240242	0.385116245956795	-0.155454355586214	-0.13639707637722	"IS01"	1.69441715181452
"FCN1"	"FCN1"	1.67378967425804	-0.190498645586095	-0.144002000954081	0.783680864896222	-0.0753415454452208	0.499183707792882	0.0858483259672392	-0.675962250142266	-0.182949601512999	0.574132879949053	-0.0425616716715242	0.229033552358762	0.369332191682123	-0.210735434883515	-0.111070681003613	-0.210204381978019	-0.0101841865811662	-0.310754014722775	-0.15778685077914	"IS01"	1.67378967425804
"OLR1"	"OLR1"	1.46657204629799	-0.0508161831918405	-0.00567842240386249	0.190127436368779	-0.0117330358803935	0.491087653058196	0.340954842361143	-0.479494412018533	-0.264361809710678	0.0526070919117723	0.359180239196739	0.101877234475881	0.211588010331872	0.0352355109601061	-0.0399322322253259	-0.18474034155225	0.398273458301323	-0.22100889097131	-0.223493455621353	"IS01"	1.46657204629799
"CD300C"	"CD300C"	1.44324449463225	-0.0808020350930207	-0.0976740230123138	0.317550480231683	-0.0282617719119514	0.379732709991879	0.306236166491203	-0.478991285105632	-0.30649804603553	0.378320532516819	0.0662599118991831	0.029559356667016	0.0849911289628067	-0.065838911847531	-0.0734202469282476	-0.143773214261866	0.157963209817081	-0.210182025589313	-0.139213638302346	"IS01"	1.44324449463225
"CLEC12A"	"CLEC12A"	1.23608402227422	-0.172119248850736	0.0730290268923375	0.671891513822587	0.0455809173485528	0.429489029047997	0.849075374042857	-0.779279468218349	-0.237607693581274	0.297096118945191	-0.0271814475625913	-0.0410163518400567	0.132869243608921	0.198237013702158	-0.0833422966166154	-0.184106087527189	0.0180148152273588	-0.23697081195147	-0.0411066447983928	"IS01"	1.23608402227422
"CD33"	"CD33"	1.22826655369818	-0.200136950953268	-0.244651340003463	0.675659797459967	-0.0957900080110651	0.400129492885616	0.468615591837187	-0.567557137616495	-0.309747164094427	0.416181434593971	-0.170865942571112	-0.0119722518316455	0.384683762521639	-0.31723812513737	-0.0763415003700081	-0.198567092958436	0.217708789054735	-0.294744322348367	-0.0714110669901369	"IS01"	1.22826655369818
"ADGRE3"	"ADGRE3"	1.2130809377465	-0.0874676303508016	0.0768804074211032	0.580505559528418	0.196858699506579	0.457260330613027	-0.0675506590643542	-0.76486532653995	-0.176848389690903	0.562682170677346	0.467712775617593	0.0368117809560453	0.554480816747669	-0.345074388795779	-0.174248881903906	-0.17891030758996	0.0981012739623277	-0.262580145707122	-0.186295072733711	"IS01"	1.2130809377465
"DPEP2"	"DPEP2"	1.20023926605715	-0.320205232011234	-0.078826001998837	0.955421732641169	0.0566244697775111	0.4598728602918	0.138432036251508	-0.620461118226563	-0.196892468283436	0.596634536122888	-0.278085127300962	0.0578302047441515	-0.0482515783563467	-0.19627987405122	-0.116291900119421	-0.245062150282603	-0.0390522523918661	-0.42166697627799	0.149367503203977	"IS01"	1.20023926605715
