"ID"	"State"	"InitialState"
"780"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"S01"	"IS04"
"781"	"TCGA.FD.A5BR.01A.11R.A26T.07"	"S01"	"IS04"
"782"	"TCGA.FD.A5BS.01A.21R.A26T.07"	"S01"	"IS04"
"783"	"TCGA.FD.A43S.01A.21R.A23W.07"	"S01"	"IS04"
"784"	"TCGA.FD.A43P.01A.31R.A23W.07"	"S01"	"IS04"
"785"	"TCGA.K4.A3WU.01B.11R.A23N.07"	"S01"	"IS04"
"786"	"TCGA.GV.A3QG.01A.11R.A220.07"	"S01"	"IS04"
"787"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"S01"	"IS04"
"788"	"TCGA.FD.A3B8.01A.31R.A20F.07"	"S01"	"IS04"
"789"	"TCGA.FD.A3B7.01A.31R.A20F.07"	"S01"	"IS04"
"790"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"S01"	"IS04"
"791"	"TCGA.DK.A3IV.01A.22R.A21D.07"	"S01"	"IS04"
"792"	"TCGA.BT.A20O.01A.21R.A14Y.07"	"S01"	"IS04"
"793"	"TCGA.BT.A20W.01A.21R.A14Y.07"	"S01"	"IS04"
"794"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"S01"	"IS04"
"795"	"TCGA.LC.A66R.01A.41R.A30C.07"	"S01"	"IS04"
"796"	"TCGA.FD.A62N.01A.11R.A30C.07"	"S01"	"IS04"
"797"	"TCGA.DK.A6B2.01A.11R.A30C.07"	"S01"	"IS04"
"798"	"TCGA.UY.A78K.01A.11R.A33J.07"	"S01"	"IS04"
"799"	"TCGA.FD.A6TA.01A.12R.A33J.07"	"S01"	"IS04"
"800"	"TCGA.FD.A6TB.01A.12R.A33J.07"	"S01"	"IS04"
"801"	"TCGA.K4.A83P.01A.11R.A352.07"	"S01"	"IS04"
"802"	"TCGA.ZF.A9R7.01A.11R.A38B.07"	"S01"	"IS04"
"803"	"TCGA.XF.A9SL.01A.11R.A39I.07"	"S01"	"IS04"
"804"	"TCGA.DK.AA6T.01A.11R.A39I.07"	"S01"	"IS04"
"805"	"TCGA.4Z.AA7N.01A.11R.A39I.07"	"S01"	"IS04"
"806"	"TCGA.XF.AAME.01A.12R.A42T.07"	"S01"	"IS04"
"807"	"TCGA.XF.A9SI.01A.11R.A39I.07"	"S01"	"IS04"
"808"	"TCGA.A7.A4SA.01A.11R.A266.07"	"S01"	"IS04"
"809"	"TCGA.EW.A3U0.01A.11R.A22K.07"	"S01"	"IS04"
"810"	"TCGA.EW.A3E8.01B.11R.A24H.07"	"S01"	"IS04"
"811"	"TCGA.A2.A0CR.01A.11R.A22K.07"	"S01"	"IS04"
"812"	"TCGA.LL.A441.01A.11R.A24H.07"	"S01"	"IS04"
"813"	"TCGA.B6.A3ZX.01A.11R.A239.07"	"S01"	"IS04"
"814"	"TCGA.BH.A0B6.01A.11R.A19W.07"	"S01"	"IS04"
"815"	"TCGA.A2.A0CO.01A.13R.A22K.07"	"S01"	"IS04"
"816"	"TCGA.A2.A0EP.01A.52R.A22U.07"	"S01"	"IS04"
"817"	"TCGA.E2.A1B6.01A.31R.A12P.07"	"S01"	"IS04"
"818"	"TCGA.GM.A2DO.01A.11R.A18M.07"	"S01"	"IS04"
"819"	"TCGA.OL.A5RU.01A.11R.A28M.07"	"S01"	"IS04"
"820"	"TCGA.PE.A5DE.01A.11R.A27Q.07"	"S01"	"IS04"
"821"	"TCGA.E9.A5FK.01A.11R.A27Q.07"	"S01"	"IS04"
"822"	"TCGA.LL.A5YN.01A.11R.A28M.07"	"S01"	"IS04"
"823"	"TCGA.OK.A5Q2.01A.11R.A27Q.07"	"S01"	"IS04"
"824"	"TCGA.OL.A5RY.01A.21R.A28M.07"	"S01"	"IS04"
"825"	"TCGA.LL.A5YO.01A.21R.A28M.07"	"S01"	"IS04"
"826"	"TCGA.E2.A3DX.01A.21R.A213.07"	"S01"	"IS04"
