"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"APOE__pos"	0.0146918290698221	37.7261995376705	95.2094113772714	18.612020573958	4.60208301450986	11.9994994134067
"THBS1__pos"	15.4619969517807	88.2292775655305	23.2881574644512	3.57043590739977	9.02363535689647	0.37621344243804
"TNNC1__pos"	11.6237654262265	4.60840388652851	46.2507100951214	18.2131623291489	11.2149297512183	84.6431330878229
"MB__pos"	2.22044604925031e-16	17.3341956758006	7.79001688225643	19.9659126452809	11.1644324943883	80.890039100234
"TMED4__pos"	2.22044604925031e-16	35.2845267629497	1.15891212195899	14.0942015161187	60.6690024688958	5.31217032008609
"ZG16B__pos"	2.22044604925031e-16	15.1489891564769	29.8974452445314	34.5185867717417	7.79164837231647	11.3119282452361
"AMY2B__pos"	12.4628698734368	2.22044604925031e-16	48.3989129547324	16.0851170490224	52.375242585151	2.85231300180625
"TF__pos"	30.3394581244576	2.64431477546517	35.8443595420236	19.1931232443872	23.7125093940614	46.2025637680883
"THADA__pos"	2.01775091013956	20.6182604925075	27.9268282937596	29.9107980011061	23.4479413761155	1.46980610553675
"CXCL2__pos"	28.250456580152	17.4464007763611	71.2215722753798	24.1060574627974	2.22044604925031e-16	1.8075063888175
"ANG__pos"	18.4428309037474	12.7865335255119	35.3693580055363	30.875941382988	21.3163772162099	16.6512246426526
"ENO3__pos"	0.0623012398991257	2.01872702112074	36.6991545130524	13.9087472119656	66.1441789796425	55.3627562410135
"COL9A3__pos"	2.22044604925031e-16	21.123104237908	21.3897784948746	24.0277749036443	73.9704333647751	7.58160643233053
"NFE2L2__pos"	21.4951071209722	39.0352110818676	2.28024766833067	10.3653137108109	45.0934827176728	2.22044604925031e-16
"TP53I13__pos"	0.360109178560687	14.3499008863872	32.042656488986	23.0588648203278	57.7479883848141	4.61354184324111
"PCSK1N__pos"	4.60854518761627	19.7462401132278	11.1463532661163	29.5272966046031	59.1413724847427	16.378912272886
"CD36__pos"	79.3435451742055	11.4188784130396	18.9541833351275	6.72968927862482	11.5949491566576	6.27649140013638
"FLNA__pos"	30.1901017342916	54.8509450839763	26.0529782545152	17.2970190992857	2.22044604925031e-16	2.22044604925031e-16
"AGER__pos"	1.0140686908098e-15	2.22044604925031e-16	93.6539989491138	9.05100340630356	48.4410242721058	2.41684266196873
"CRISPLD2__pos"	31.6574838803075	85.4859867971664	31.5062560179413	2.22044604925031e-16	2.22044604925031e-16	0.180028152522916
"SERPINA1__pos"	2.22044604925031e-16	31.1206457032841	58.5050825545043	23.2665329895192	2.22044604925031e-16	30.9375379150404
"MYO18A__pos"	20.0137829352806	24.9412877049689	46.4015360768875	9.86601553459878	30.3672964302386	38.4837256233448
"SAA2__pos"	17.2156139297922	17.5341079182858	71.1480220211008	30.2464336528758	2.22044604925031e-16	9.48410821962973
"PPARG__pos"	53.2687672605365	7.22015857496564	14.3927675118614	25.1846634913335	21.2764269172619	3.38395137739774
"MMD__pos"	27.948237399019	54.496422539818	4.2264830724436	6.33926356290538	37.9762419108694	2.61675000166973
"MYOZ1__pos"	30.2808560143339	10.8399001569911	27.8589356298399	7.29314900149922	25.0151481667348	73.0001709682361
"APOC3__pos"	0.0927761716435746	7.72423327416458e-07	1.98866218366012	3.35877070272343	3.74594368421862	141.950106801523
"ARHGAP36__pos"	24.4129773868441	17.2271733363865	2.22044604925031e-16	3.71821968263956	29.097969906405	11.8650443244463
"TG__pos"	2.22044604925031e-16	9.69498199780816	5.06546747746882	7.91591684152783	40.0637504543625	1.57311439611226
"TXNL1__pos"	1.02958712369764	32.3452080311033	0.170463931941731	28.0803837269259	38.1037268038492	1.98588811326701
"RETSAT__pos"	31.0587193574879	26.4894413255482	9.59074404617226	21.6345138510908	37.0508825443463	7.01579761153523
"NID2__pos"	8.05473067216173	110.796955510093	12.4541443889016	2.22044604925031e-16	5.09007660521729	1.63783729944283
"ADH1B__pos"	114.920138522835	2.22044604925031e-16	7.1435142623596	2.22044604925031e-16	2.22044604925031e-16	0.879504029984504
"LRP1__pos"	30.6275977893982	61.2213746032172	34.1206044430804	0.601843853540165	13.673743098612	3.4778185476769
"PSD__pos"	33.5099862679906	30.4830665935967	28.0900667510326	1.29102766240444	45.6257056317967	2.38648340343502
"FABP4__pos"	88.2040766388054	2.22044604925031e-16	14.6794917507543	10.7862167684079	2.22044604925031e-16	2.22044604925031e-16
"LRRK2__pos"	31.913820196154	30.2986896299132	65.3161212497216	5.43893177750688	10.3412956466689	1.6304846664859
"GATM__pos"	19.1530532174425	25.6275120087132	6.38528211201459	12.6581190486265	54.5074043133891	29.7115295982729
"KCNMA1__pos"	39.3643955198416	38.2766264806754	34.0415501365158	14.4634071032461	12.7515633580823	3.46762687275399
"FCN3__pos"	10.0969495712081	17.1977994939415	90.3725005548958	17.9386661208482	2.75030912019144	10.4210069542036
"AOX1__pos"	69.3255528874613	29.4068422875386	23.0055659198112	8.70150184405227e-14	15.1958219585423	16.9990542687092
"SCG5__pos"	7.8073617878624	51.8636656497759	4.31603578003012	13.1085201693253	35.3992762920284	19.9731126648437
"SCARB1__pos"	4.78225154798506	27.4053908583581	19.0018929573893	30.6185170168558	47.0158180044068	13.826766773618
"IL1RL1__pos"	22.3265057545256	44.0520812660631	51.0443547670465	7.5073254414616	2.22044604925031e-16	8.44477998114424
"MYBPC1__pos"	16.2265895629373	9.31197205647457	13.4708877767682	14.4237779166103	15.7161311266024	82.5042847845713
"TPO__pos"	37.9862997645206	9.1304598516274	17.3031372738168	3.87627716864983	51.0216487231467	9.12791276915266e-08
"GPR34__pos"	25.3185267312075	57.1941601257125	73.7631186120354	1.71621514034575	2.22044604925031e-16	0.612198605690699
"ADIPOQ__pos"	81.3256105584852	2.22044604925031e-16	4.03981438945712	2.22044604925031e-16	2.14220700855242	2.22044604925031e-16
"G0S2__pos"	33.3913275451084	35.8749461494291	47.7205160240374	17.1464705577048	2.22044604925031e-16	12.596277245022
"CDO1__pos"	79.3445575327494	19.227153309823	16.0938964767788	2.14772408279336	18.8737489123193	10.7495506479479
"INMT__pos"	65.595459187989	15.6328160826202	42.7111226258522	4.84448723768048	7.01421763911905	4.20301792680036
"SAA1__pos"	20.9477492028457	9.57839049739293	70.5391248720223	27.3288896968703	2.22044604925031e-16	7.20833419310492
"ACSL1__pos"	39.7382331268395	26.5910053439862	16.8093025233622	16.3076131101571	29.4247502684698	4.69591100896246
"CCL14__pos"	101.452101805541	2.22044604925031e-16	43.1371453530376	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"KRIT1__pos"	6.93037876129715	28.7676153308005	4.78682526482386e-12	2.22044604925031e-16	81.2948098213769	2.22044604925031e-16
"MUSTN1__pos"	71.1286893260041	2.22044604925031e-16	50.097748124971	3.41650475143266	2.22044604925031e-16	38.6610913236008
"AQP7__pos"	59.0868267483791	2.22044604925031e-16	17.5327345756525	2.22044604925031e-16	16.3976844012682	50.1229460183839
"CA3__pos"	52.829573200351	2.22044604925031e-16	25.3882902843841	5.84131376089645	17.2247681027808	58.1134402064725
"GYG2__pos"	31.9642117721736	21.1507431005996	0.0395395068317981	11.0981123773002	67.0906057072588	10.0094189218914
"TPM1__pos"	44.0714774112067	63.8803562204442	2.22044604925031e-16	3.14422220979414	12.8340675324564	21.6167878064266
"ABCC8__pos"	21.7101579283268	5.60088198469832e-08	23.1542741664305	11.3667841900086	72.2887992948987	20.5183091912756
