"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"APOE"	"APOE"	0.926354399317685
"THBS1"	"THBS1"	0.62642512903508
"TNNC1"	"TNNC1"	0.347987445806886
"MB"	"MB"	-0.320560280732326
"TMED4"	"TMED4"	0.753501327933231
"ZG16B"	"ZG16B"	2.30331609772156
"AMY2B"	"AMY2B"	-1.1107770721421
"TF"	"TF"	-0.652622968332761
"THADA"	"THADA"	-0.67792305216165
"CXCL2"	"CXCL2"	1.1114672832427
"ANG"	"ANG"	-0.00845397235307558
"ENO3"	"ENO3"	0.0851587037872534
"COL9A3"	"COL9A3"	0.049470170700493
"NFE2L2"	"NFE2L2"	0.859077949156358
"TP53I13"	"TP53I13"	-0.132690542279267
"PCSK1N"	"PCSK1N"	-0.677370831606863
"CD36"	"CD36"	-0.251876717894142
"FLNA"	"FLNA"	0.796997934408744
"AGER"	"AGER"	-1.74937877537448
"CRISPLD2"	"CRISPLD2"	0.698808711648712
"SERPINA1"	"SERPINA1"	-0.577611716262969
"MYO18A"	"MYO18A"	-1.11611937902958
"SAA2"	"SAA2"	-0.358551104578248
"PPARG"	"PPARG"	0.24238757920734
"MMD"	"MMD"	0.842042653602479
"MYOZ1"	"MYOZ1"	0.287630500871421
"APOC3"	"APOC3"	-0.35789245545422
"ARHGAP36"	"ARHGAP36"	-0.127532415493844
"TG"	"TG"	-0.115198054606099
"TXNL1"	"TXNL1"	0.0884190830221382
"RETSAT"	"RETSAT"	1.09792826056881
"NID2"	"NID2"	-0.223008642056682
"ADH1B"	"ADH1B"	0.21662052256217
"LRP1"	"LRP1"	0.0954039984583362
"PSD"	"PSD"	1.88032545585759
"FABP4"	"FABP4"	-0.594326039071487
"LRRK2"	"LRRK2"	0.106084482226131
"GATM"	"GATM"	1.09368463099924
"KCNMA1"	"KCNMA1"	0.475914058033603
"FCN3"	"FCN3"	-0.148357654733032
"AOX1"	"AOX1"	1.13539448206231
"SCG5"	"SCG5"	-0.593119203649613
"SCARB1"	"SCARB1"	0.900286055727261
"IL1RL1"	"IL1RL1"	-0.293621262869091
"MYBPC1"	"MYBPC1"	0.458245579939183
"TPO"	"TPO"	-0.0613026070094796
"GPR34"	"GPR34"	0.158549449915797
"ADIPOQ"	"ADIPOQ"	-0.21367300047066
"G0S2"	"G0S2"	-0.169561148295674
"CDO1"	"CDO1"	-0.161005330798008
"INMT"	"INMT"	0.610504631140097
"SAA1"	"SAA1"	-0.521391564125737
