"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"KRT16"	"KRT16"	-0.347814885832272	-0.125835029626144	-0.432335340030826	-0.363021710362673	1.6373532395454	-0.142531791810122	0.051349541493122	0.00708503722813283	"S01"	1.6373532395454	"IS05"
"DSG3"	"DSG3"	-0.323814503287392	-0.426575160058202	-0.304831416633648	-0.198758733502403	1.61971130148748	-0.152146584230492	0.050599653595869	0.00539835035807434	"S01"	1.61971130148748	"IS05"
"KRT6A"	"KRT6A"	-0.394727304264301	-0.285420016934869	-0.330683335110276	-0.309675914265708	1.55955683852752	-0.0880059253685025	0.0943678709297903	-0.0150978692259899	"S01"	1.55955683852752	"IS05"
"KRT6B"	"KRT6B"	-0.305086513666171	-0.184141914714727	-0.373592008058696	-0.229308844694647	1.43111883866709	-0.120189511937616	0.0533031756931019	-0.0292520961331172	"S01"	1.43111883866709	"IS05"
"SERPINB5"	"SERPINB5"	0.00705836654964874	-0.468043732128473	-0.364496316791428	-0.31457853526731	1.40662528281776	-0.13824758700133	0.177182603739059	-0.0602018221263417	"S01"	1.40662528281776	"IS05"
"SPRR1B"	"SPRR1B"	-0.259408131140514	-0.129400383100415	-0.30411665169488	-0.300405680923016	1.40148056365653	-0.03240562497013	-0.0505608970130304	-0.102646590533469	"S01"	1.40148056365653	"IS05"
"KRT5"	"KRT5"	-0.404852448476772	-0.323216054088787	-0.326250970705651	0.0483982782318883	1.38623024267705	-0.221834328296136	0.0723556634663645	0.0209097493472594	"S01"	1.38623024267705	"IS05"
"KRT6C"	"KRT6C"	-0.309051045323594	-0.223235310214713	-0.305471444264442	-0.213196501325696	1.37693910467045	-0.064922259378333	0.00415850388341807	-0.0477773871893301	"S01"	1.37693910467045	"IS05"
"RHCG"	"RHCG"	-0.233962663054146	-0.140379910673031	-0.247892779762223	-0.273518509358083	1.36115635986162	-0.0320662689739859	-0.170979104864389	-0.0243377551483358	"S01"	1.36115635986162	"IS05"
"PKP1"	"PKP1"	-0.393847228495676	-0.404441421056674	-0.0615265680361067	-0.171891287214198	1.3592761994612	-0.0891083569875393	-0.0235399992198605	-0.0252936217684328	"S01"	1.3592761994612	"IS05"
"TRIM29"	"TRIM29"	-0.0553668020690786	-0.288516258236798	-0.465996039738196	-0.13956939028187	1.34850247826828	-0.247681749551915	0.171946157932556	-0.0424803864769869	"S01"	1.34850247826828	"IS05"
"TGM1"	"TGM1"	-0.259809966271901	-0.207368596909662	-0.543720549815585	0.180166561451424	1.33939658640746	-0.270575387077538	0.0559627681836689	0.00916216691442296	"S01"	1.33939658640746	"IS05"
"SERPINB13"	"SERPINB13"	-0.208691735184279	-0.288671897382282	-0.20218310158579	-0.182744435297546	1.33423962167788	-0.0419105313750412	-0.136055661751499	-0.048477302964837	"S01"	1.33423962167788	"IS05"
"IVL"	"IVL"	-0.206408835988724	-0.186680178380793	-0.401760984560788	-0.291957400281981	1.33329081961026	-0.0717530823479199	0.116944203035115	-0.0792717930560162	"S01"	1.33329081961026	"IS05"
"SERPINB3"	"SERPINB3"	-0.0465573044524264	-0.227594256766981	-0.366799006356548	-0.242507295469325	1.31015151929116	-0.131129474742152	-0.0449117659988516	0.0207181524570879	"S01"	1.31015151929116	"IS05"
"DSC3"	"DSC3"	-0.329770061207047	-0.509641174064036	-0.240162617038221	-0.071816892316109	1.30923544380205	-0.181818715353407	0.227352295282115	-0.00969170987338227	"S01"	1.30923544380205	"IS05"
"LYPD3"	"LYPD3"	-0.0957599388238029	-0.253873980874145	-0.200722826066585	-0.43619528950221	1.30890218394642	-0.0790563072381131	0.0660244879688332	-0.106453989433711	"S01"	1.30890218394642	"IS05"
"SPRR1A"	"SPRR1A"	-0.124909327425037	-0.191204370536999	-0.242886591176074	-0.266644249179857	1.30670230256426	0.00488219200240513	-0.150347084263723	-0.116298183399382	"S01"	1.30670230256426	"IS05"
"PERP"	"PERP"	-0.0302663348026731	-0.577933546197847	-0.218344050100375	-0.527782285699596	1.29514882272046	-0.0647304348296645	0.328002869757649	-0.0458056806047026	"S01"	1.29514882272046	"IS05"
"GJB5"	"GJB5"	0.0527212301414095	-0.186484998539744	-0.458759656990433	-0.408506842599715	1.29243979360668	-0.187147971090199	0.148641960200936	0.0178017626643585	"S01"	1.29243979360668	"IS05"
"SPRR2A"	"SPRR2A"	-0.193731420390771	-0.130716022499033	-0.253764247162215	-0.198598416628068	1.28941353445391	-0.0085820489137489	-0.171670745881206	-0.111457411977191	"S01"	1.28941353445391	"IS05"
"LY6D"	"LY6D"	-0.22739489899831	-0.0166427185402151	-0.433474968989858	-0.300638726370452	1.28506144957367	-0.0983026353483275	0.00954303803074801	0.0235822783484389	"S01"	1.28506144957367	"IS05"
"SPRR2D"	"SPRR2D"	-0.236550312529578	-0.0980642384824178	-0.284141236617841	-0.256002203083088	1.26881094964405	-0.0348672279212284	-0.085743853210963	-0.0602124151057669	"S01"	1.26881094964405	"IS05"
"SFN"	"SFN"	-0.126759451311899	0.170071012092692	-0.596277938036061	-0.554812798969051	1.26504047066491	-0.14800192530174	0.15367042848089	0.0986206887269161	"S01"	1.26504047066491	"IS05"
"GJB3"	"GJB3"	0.0303654064328359	-0.0355859262288533	-0.679242543510044	-0.629774347760953	1.26125691573018	-0.271267078673497	0.412408040624268	0.191059441503579	"S01"	1.26125691573018	"IS05"
"A2ML1"	"A2ML1"	-0.094923124715051	-0.35715796029365	-0.153477375945969	-0.236950554607473	1.25043683221051	-0.103307667935995	-0.165166161797165	0.110086514509031	"S01"	1.25043683221051	"IS05"
"ANXA8"	"ANXA8"	-0.279335142028772	-0.219789875126139	-0.557422304179564	0.00793950300365953	1.24066945464921	-0.277447495136316	0.252521049907858	0.0927795751405683	"S01"	1.24066945464921	"IS05"
"CLCA2"	"CLCA2"	-0.186875265585421	-0.354492972858201	-0.332368518719355	-0.0998837534094079	1.24051051880536	-0.108935698113045	0.117417296885143	-0.0718007600090917	"S01"	1.24051051880536	"IS05"
"S100A2"	"S100A2"	-0.292396313619899	0.128938156944773	-0.534340165970647	-0.445580229054774	1.23881865483971	-0.130760933043856	0.229978319474366	0.0175850377949603	"S01"	1.23881865483971	"IS05"
"S100A8"	"S100A8"	-0.254229806450888	-0.0622092147642062	-0.546829038181593	-0.115742348338232	1.21305380935599	-0.173103964590358	0.00695766521046014	0.208771682477127	"S01"	1.21305380935599	"IS05"
"IL20RB"	"IL20RB"	-0.28864661710564	-0.161438114228059	-0.298644323132584	-0.357469762952045	1.21245443884062	-0.199682015383851	0.0952862056733001	0.232868364584296	"S01"	1.21245443884062	"IS05"
"FAT2"	"FAT2"	-0.287689093678714	-0.385163605547945	-0.292416670938837	0.0914356704765109	1.20880535611974	-0.340476208787981	0.206688725287641	0.0444717826283232	"S01"	1.20880535611974	"IS05"
"SERPINB4"	"SERPINB4"	-0.0706552608896956	-0.206279410287669	-0.368289179395036	-0.26856043815137	1.20656619318572	-0.141120589970796	0.020372393747602	0.0772452063530813	"S01"	1.20656619318572	"IS05"
"GPR87"	"GPR87"	-0.254376221089296	-0.145216507574882	-0.477991233118202	-0.267574917334721	1.19495625965485	-0.254423796209286	0.411669624849771	-0.00232544663219897	"S01"	1.19495625965485	"IS05"
"S100A9"	"S100A9"	-0.198501924291525	-0.0369988545420092	-0.588568249642874	-0.249457640275234	1.19419152956541	-0.188312803474736	0.0649724046204047	0.284817532432143	"S01"	1.19419152956541	"IS05"
"SERPINB2"	"SERPINB2"	-0.0894148707410078	-0.344026410476918	-0.390663728160568	-0.18985228285379	1.18768940266212	-0.131017133706549	0.19716872138698	-0.0336982435797471	"S01"	1.18768940266212	"IS05"
"TMEM40"	"TMEM40"	-0.196379717048578	0.0774135232594888	-0.39694382672912	-0.401201371406024	1.18732156560021	-0.0973585446594072	0.0226249593112824	0.0287182527278684	"S01"	1.18732156560021	"IS05"
"NCCRP1"	"NCCRP1"	-0.0439315634677719	-0.117198089774583	-0.312279055573637	-0.281469256602041	1.1757605207855	-0.241379667502165	-0.0332401411305441	0.137831579592414	"S01"	1.1757605207855	"IS05"
"ANXA8L1"	"ANXA8L1"	-0.294068363669818	-0.330505015272985	-0.537297589042235	0.204715129286009	1.17083021645302	-0.270752595723755	0.23228649933097	0.0714946286054668	"S01"	1.17083021645302	"IS05"
"KRT17"	"KRT17"	-0.286344176156524	-0.0375448561152439	-0.360379952013149	-0.164127237565592	1.16754814598164	-0.309247261668793	0.34073298797777	-0.144551139698734	"S01"	1.16754814598164	"IS05"
"SBSN"	"SBSN"	-0.330543567616009	-0.0998794698591815	-0.218573006242103	-0.248742685998764	1.16140443862165	-0.0191745206131892	-0.0244266465044464	-0.0537687719526735	"S01"	1.16140443862165	"IS05"
"GJB6"	"GJB6"	-0.336706561114725	-0.295814516175697	-0.0728523633872749	-0.296945977822668	1.15023528355283	0.0178363971458508	0.0154258205123377	-0.0549073097720959	"S01"	1.15023528355283	"IS05"
"TMPRSS11D"	"TMPRSS11D"	-0.127933108597592	-0.317304485889772	-0.156718499570755	-0.134069154612664	1.14651032970906	-0.0785941636279351	-0.103210595115188	-0.021369925574649	"S01"	1.14651032970906	"IS05"
"FGFBP1"	"FGFBP1"	-0.10305249445502	-0.206055296980404	-0.453372256580689	-0.148974348903415	1.14001790331834	-0.152470477684096	0.135440457860176	0.0158516091049147	"S01"	1.14001790331834	"IS05"
"SPRR3"	"SPRR3"	-0.0362005302858819	-0.174469234883953	-0.198709062566661	-0.189773200164133	1.13491427930538	-0.0271896532209041	-0.189076348445096	-0.104221471740474	"S01"	1.13491427930538	"IS05"
"KRT14"	"KRT14"	-0.391581692924611	-0.0804677807855064	-0.425867791918829	0.163217448724501	1.13150219153073	-0.221793673900473	0.132392303041552	-0.0928418767613239	"S01"	1.13150219153073	"IS05"
"GRHL3"	"GRHL3"	-0.0212985317826119	-0.421210468139272	-0.0922035751903161	-0.5163863456427	1.13074128694054	-0.0742698317721011	0.131448415116124	0.0268743644826737	"S01"	1.13074128694054	"IS05"
"C10orf99"	"C10orf99"	-0.134714233162545	-0.124647161530711	-0.281668892280624	-0.12458741153505	1.08902120197324	0.0780543870162308	-0.207392487041791	-0.111979271805404	"S01"	1.08902120197324	"IS05"
"LGALS7B"	"LGALS7B"	-0.268580192190136	0.162598836493655	-0.215037005116885	-0.263264969470422	1.08426375122801	-0.152805487925417	0.0051504314409063	-0.16095585343537	"S01"	1.08426375122801	"IS05"
"PVRL1"	"PVRL1"	0.00553905907296981	-0.581496377485008	-0.00660551197624088	-0.38444137438258	1.0831956908543	-0.242522443257196	0.303295852964939	-0.0110943313503771	"S01"	1.0831956908543	"IS05"
"CSTA"	"CSTA"	-0.194951477539659	-0.172577896532172	-0.408940962696305	-0.0362536106392982	1.07280209911028	-0.102208583692003	-0.158828847803474	0.2567606142152	"S01"	1.07280209911028	"IS05"
"SLC2A1"	"SLC2A1"	-0.0422905588169942	-0.616311891840054	0.0879341704163925	-0.791051264510236	1.06214192514192	-0.187831989375633	0.572986217722991	-0.00488487649717092	"S01"	1.06214192514192	"IS05"
"KRTDAP"	"KRTDAP"	-0.290782940311056	0.0147783567136247	-0.108616869118546	-0.133163225995458	1.06027479379698	-0.0823967625021154	-0.131502362384717	-0.152453939690923	"S01"	1.06027479379698	"IS05"
"LYNX1"	"LYNX1"	-0.136137639743245	0.0175975150623009	-0.465545750371546	0.307927679410789	1.05606678499079	-0.431193897531736	0.0661757806253497	-0.107978369359594	"S01"	1.05606678499079	"IS05"
"KLK10"	"KLK10"	-0.0098600446942098	-0.0471703750753679	-0.477341954429679	-0.168963008893509	1.05272070772605	-0.238230824925033	0.130003545739102	0.0128892993578542	"S01"	1.05272070772605	"IS05"
"KRT13"	"KRT13"	-0.0766850769175794	-0.0842039934485356	-0.247670205106195	-0.136613284826429	1.05211969210874	0.0107983239937628	-0.2054308071729	-0.11445347978614	"S01"	1.05211969210874	"IS05"
"GJB2"	"GJB2"	-0.146197968505102	-0.338601737395652	-0.413061306043398	-0.669645063947236	1.04425682343173	-0.189527522328523	0.741843281632842	0.0788917759782964	"S01"	1.04425682343173	"IS05"
"FAM83A"	"FAM83A"	-0.0088880073457837	-0.0315014054348406	-0.481252474229672	-0.553933617325533	1.04419182525657	-0.120997940372253	0.255464358495687	0.0957669824514459	"S01"	1.04419182525657	"IS05"
"PI3"	"PI3"	0.0514846793390304	-0.0773159558097176	-0.364309621765637	-0.317078232511378	1.04331496355238	-0.113906856286602	-0.0274346478033012	0.0411419053138347	"S01"	1.04331496355238	"IS05"
"PPL"	"PPL"	0.174993604158586	-0.669014919724935	-0.291548606028344	0.205344409543882	1.03292729706394	-0.350087377089204	0.315984851401496	-0.18750514195317	"S01"	1.03292729706394	"IS05"
"CSTB"	"CSTB"	0.0606739689593725	0.14439120646839	-0.45597298316349	-0.562729955896124	1.03105158665686	-0.119230876852935	-0.0964894005410582	0.271892933382775	"S01"	1.03105158665686	"IS05"
"S100A16"	"S100A16"	0.161465611443902	0.201733603469273	-0.776900692532793	-0.571601181621763	1.03029825031777	-0.273322553753202	0.447820884225015	0.0388519720823597	"S01"	1.03029825031777	"IS05"
"S100A7"	"S100A7"	-0.163091567412116	-0.0141424107379021	-0.366321523748976	-0.283576072994884	1.03002591122328	-0.0588134752280337	0.000834797326136323	0.049612836135356	"S01"	1.03002591122328	"IS05"
"DUOXA1"	"DUOXA1"	0.104695377367257	-0.418706328058228	-0.236492944954698	0.308464048156333	1.01443822203405	-0.267574959483254	-0.0272164848651446	-0.225291931395241	"S01"	1.01443822203405	"IS05"
"VSNL1"	"VSNL1"	-0.455533012467911	-0.408175261058417	-0.0755622568111207	-0.0398114065329129	1.00671740768492	-0.275975400178179	0.250624968553747	0.151124114159638	"S01"	1.00671740768492	"IS05"
"RHOV"	"RHOV"	0.169668157861935	0.132793010438309	-0.409945878537794	-0.55040530862308	1.00387097535394	-0.164084772442645	-0.0721886319215263	0.167478816926702	"S01"	1.00387097535394	"IS05"
"AHNAK2"	"AHNAK2"	-0.227239806372113	-0.16539952655662	-0.562253778855935	0.0164079178462804	0.999865199563272	-0.51872284282346	0.78284230918965	-0.128508528451983	"S01"	0.999865199563272	"IS05"
