"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"MGP"	"MGP"	-0.528588273481612
"VIM"	"VIM"	-0.85819682307596
"FN1"	"FN1"	-0.726067484511068
"SERPINA3"	"SERPINA3"	0.632951873885977
"RNASE1"	"RNASE1"	-0.912668033219787
"S100A4"	"S100A4"	-0.121888853056925
"GPNMB"	"GPNMB"	0.523982145864056
"IGFBP5"	"IGFBP5"	0.297878779460095
"FBLN1"	"FBLN1"	0.38273292152437
"EMP1"	"EMP1"	0.243331259918853
"CTGF"	"CTGF"	1.34740503544001
"TFF1"	"TFF1"	-0.669112970435427
"MMP7"	"MMP7"	-0.658067900535912
"HLA.DMA"	"HLA.DMA"	0.181930959400111
"SH3BGRL"	"SH3BGRL"	0.784036748068139
"CYR61"	"CYR61"	1.07820973779428
"TMEM176B"	"TMEM176B"	-0.907075818745708
"SFTPB"	"SFTPB"	-0.126602943140563
"MXRA8"	"MXRA8"	0.0760148258643283
"IGFBP6"	"IGFBP6"	-1.34507462168921
"HLA.DMB"	"HLA.DMB"	-0.912503389362884
"GPX3"	"GPX3"	-0.218348595010887
"SLC34A2"	"SLC34A2"	-0.24408665802119
"ANXA6"	"ANXA6"	0.383380389327897
"TNC"	"TNC"	-0.515262558238387
"ARHGDIB"	"ARHGDIB"	-0.0257271136658862
"AZGP1"	"AZGP1"	-0.404448941560116
"CTSB"	"CTSB"	0.260686570203786
"TUBA1A"	"TUBA1A"	0.456918739683096
"TMEM176A"	"TMEM176A"	-0.908103520077267
"CXCL14"	"CXCL14"	-0.523664507270026
"KLK2"	"KLK2"	0.0364611328040455
"RGS5"	"RGS5"	0.850190720670702
"TGFBI"	"TGFBI"	0.440616393861574
"CHI3L1"	"CHI3L1"	0.369899604417753
"MFAP2"	"MFAP2"	-0.381083723687618
"SLC39A6"	"SLC39A6"	1.25553790291999
"SDC2"	"SDC2"	-0.601864280359466
"TYMP"	"TYMP"	-0.489126118624065
"EVL"	"EVL"	-0.67507583736086
"KLK3"	"KLK3"	-0.111515256424278
"RARRES1"	"RARRES1"	1.07220217970891
"LGALS1"	"LGALS1"	-0.0795386307740347
"S100A1"	"S100A1"	-0.521413406590621
"RPS4Y1"	"RPS4Y1"	0.811465595810824
"MSN"	"MSN"	-0.381715299477724
"ICAM1"	"ICAM1"	-0.875502790756687
"IL6ST"	"IL6ST"	-0.803140757181649
"HOPX"	"HOPX"	2.91308580426297
"LCP1"	"LCP1"	-1.20284537694264
"KRT14"	"KRT14"	-0.542152766581933
"LTF"	"LTF"	-0.318173353183413
"S100A7"	"S100A7"	0.833316858816825
"KRT16"	"KRT16"	1.69993778138243
"CYBRD1"	"CYBRD1"	-0.721853571108229
"AGR3"	"AGR3"	-0.346450319460768
"SERPINE1"	"SERPINE1"	1.15154331012698
"SPRR1B"	"SPRR1B"	0.654564813419592
"RAB31"	"RAB31"	-0.575257453147206
"SPDEF"	"SPDEF"	-0.471697743693197
"SFTA2"	"SFTA2"	-0.523319542750057
"FOSB"	"FOSB"	1.4947831134707
"TNNT1"	"TNNT1"	0.365816875761591
"VAMP5"	"VAMP5"	0.430576749729561
"AC234582.1"	"AC234582.1"	1.60560434240209
"FSTL1"	"FSTL1"	-0.0446603582153036
"KRT6C"	"KRT6C"	-0.309824606781225
"CPVL"	"CPVL"	0.418663575698844
"LY6D"	"LY6D"	0.00120286149027674
"CXCR4"	"CXCR4"	0.0111841118679044
"CXCL17"	"CXCL17"	-0.428523594497558
"PPP1R1B"	"PPP1R1B"	-0.647114084492437
"GPX2"	"GPX2"	-0.175549112329522
"LSP1"	"LSP1"	-0.915698543285471
"GATA3"	"GATA3"	0.599680252279405
"CEACAM5"	"CEACAM5"	-0.291164528704542
"TSPAN8"	"TSPAN8"	-0.468470748208546
"GJB2"	"GJB2"	0.238780545704079
"PRSS23"	"PRSS23"	-0.202593516831655
"NREP"	"NREP"	0.10857117884064
"CES1"	"CES1"	0.00630458774008478
"FGFR1"	"FGFR1"	-0.271934171626933
"FMOD"	"FMOD"	-0.386108071182323
"MSLN"	"MSLN"	-0.388799170867939
"KRT5"	"KRT5"	-0.220892698360759
"GBP1"	"GBP1"	0.63326591210578
"CRYAB"	"CRYAB"	1.16904476791379
"IFI30"	"IFI30"	-0.0267762440701534
"EFHD1"	"EFHD1"	-0.539999003643149
"IFI16"	"IFI16"	-0.482521542389203
"SLC15A3"	"SLC15A3"	-0.205704742962809
"IFI6"	"IFI6"	-0.815305756903977
"S100A8"	"S100A8"	1.78126113388105
"PLA2G2A"	"PLA2G2A"	0.478395274138329
"KRT4"	"KRT4"	-0.452790035137685
"PIGR"	"PIGR"	-0.0979704386089806
"MUC1"	"MUC1"	0.857114103992764
"SPRR2E"	"SPRR2E"	-0.206826560477778
"FOXA1"	"FOXA1"	-0.0673978424353811
"CA2"	"CA2"	0.599960766567481
"KRT17"	"KRT17"	0.397844026707448
"KRTDAP"	"KRTDAP"	1.02915932358664
"BST2"	"BST2"	0.410015085835354
"PLAU"	"PLAU"	1.50825668981535
"PI3"	"PI3"	-0.426568906570115
"AKR1C2"	"AKR1C2"	-1.0924104028001
