"ID"	"State"	"InitialState"
"3111"	"TCGA.FD.A5C0.01A.11R.A28M.07"	"S01"	"IS05"
"3112"	"TCGA.K4.A5RI.01A.11R.A28M.07"	"S01"	"IS05"
"3113"	"TCGA.FD.A5BY.01A.31R.A28M.07"	"S01"	"IS05"
"3114"	"TCGA.HQ.A5NE.01A.12R.A28M.07"	"S01"	"IS05"
"3115"	"TCGA.FD.A43Y.01A.21R.A26T.07"	"S01"	"IS05"
"3116"	"TCGA.K4.A4AC.01A.21R.A26T.07"	"S01"	"IS05"
"3117"	"TCGA.HQ.A5ND.01A.11R.A26T.07"	"S01"	"IS05"
"3118"	"TCGA.FD.A5BU.01A.31R.A26T.07"	"S01"	"IS05"
"3119"	"TCGA.GU.A42Q.01A.11R.A23W.07"	"S01"	"IS05"
"3120"	"TCGA.BT.A42E.01A.11R.A23W.07"	"S01"	"IS05"
"3121"	"TCGA.GU.A42R.01A.11R.A23N.07"	"S01"	"IS05"
"3122"	"TCGA.BT.A42F.01A.11R.A23W.07"	"S01"	"IS05"
"3123"	"TCGA.GD.A3OQ.01A.32R.A220.07"	"S01"	"IS05"
"3124"	"TCGA.E7.A3X6.01A.12R.A22U.07"	"S01"	"IS05"
"3125"	"TCGA.FD.A3SO.01A.11R.A22U.07"	"S01"	"IS05"
"3126"	"TCGA.GC.A3RC.01A.11R.A22U.07"	"S01"	"IS05"
"3127"	"TCGA.FD.A3SS.01A.12R.A22U.07"	"S01"	"IS05"
"3128"	"TCGA.BT.A3PK.01A.21R.A220.07"	"S01"	"IS05"
"3129"	"TCGA.G2.A3IB.01A.11R.A20F.07"	"S01"	"IS05"
"3130"	"TCGA.FD.A3B5.01A.11R.A20F.07"	"S01"	"IS05"
"3131"	"TCGA.DK.A3IM.01A.11R.A20F.07"	"S01"	"IS05"
"3132"	"TCGA.GC.A3I6.01A.11R.A20F.07"	"S01"	"IS05"
"3133"	"TCGA.CU.A5W6.01A.11R.A28M.07"	"S01"	"IS05"
"3134"	"TCGA.FD.A3N6.01A.11R.A21D.07"	"S01"	"IS05"
"3135"	"TCGA.CU.A3KJ.01A.11R.A21D.07"	"S01"	"IS05"
"3136"	"TCGA.FD.A3N5.01A.11R.A21D.07"	"S01"	"IS05"
"3137"	"TCGA.BT.A20X.01A.11R.A16R.07"	"S01"	"IS05"
"3138"	"TCGA.DK.A2I2.01A.11R.A180.07"	"S01"	"IS05"
"3139"	"TCGA.G2.A2EJ.01A.11R.A180.07"	"S01"	"IS05"
"3140"	"TCGA.G2.A2ES.01A.11R.A180.07"	"S01"	"IS05"
"3141"	"TCGA.CF.A1HS.01A.11R.A13Y.07"	"S01"	"IS05"
"3142"	"TCGA.BT.A20T.01A.11R.A14Y.07"	"S01"	"IS05"
"3143"	"TCGA.BT.A20U.01A.11R.A14Y.07"	"S01"	"IS05"
"3144"	"TCGA.CU.A0YN.01A.21R.A10U.07"	"S01"	"IS05"
"3145"	"TCGA.FD.A3B4.01A.12R.A206.07"	"S01"	"IS05"
"3146"	"TCGA.FD.A3B3.01A.12R.A206.07"	"S01"	"IS05"
"3147"	"TCGA.BL.A13J.01A.11R.A10U.07"	"S01"	"IS05"
"3148"	"TCGA.BT.A0YX.01A.11R.A10U.07"	"S01"	"IS05"
"3149"	"TCGA.BT.A2LB.11A.11R.A18C.07"	"S01"	"IS05"
"3150"	"TCGA.BT.A20U.11A.11R.A14Y.07"	"S01"	"IS05"
"3151"	"TCGA.C4.A0F1.01A.11R.A034.07"	"S01"	"IS05"
"3152"	"TCGA.PQ.A6FN.01A.11R.A31N.07"	"S01"	"IS05"
"3153"	"TCGA.DK.A6B5.01A.11R.A31N.07"	"S01"	"IS05"
"3154"	"TCGA.E5.A4TZ.01A.11R.A31N.07"	"S01"	"IS05"
"3155"	"TCGA.K4.A6FZ.01A.11R.A31N.07"	"S01"	"IS05"
"3156"	"TCGA.PQ.A6FI.01A.11R.A31N.07"	"S01"	"IS05"
"3157"	"TCGA.FD.A62P.01A.32R.A30C.07"	"S01"	"IS05"
"3158"	"TCGA.UY.A78L.01A.12R.A33J.07"	"S01"	"IS05"
"3159"	"TCGA.CU.A72E.01A.12R.A33J.07"	"S01"	"IS05"
"3160"	"TCGA.XF.A8HE.01A.11R.A36F.07"	"S01"	"IS05"
"3161"	"TCGA.YC.A89H.01A.11R.A36F.07"	"S01"	"IS05"
"3162"	"TCGA.2F.A9KR.01A.11R.A38B.07"	"S01"	"IS05"
"3163"	"TCGA.ZF.A9RE.01A.11R.A38B.07"	"S01"	"IS05"
"3164"	"TCGA.ZF.AA4W.01A.12R.A38B.07"	"S01"	"IS05"
"3165"	"TCGA.DK.AA6L.01A.11R.A39I.07"	"S01"	"IS05"
"3166"	"TCGA.XF.A9T8.01A.11R.A39I.07"	"S01"	"IS05"
"3167"	"TCGA.ZF.AA56.01A.31R.A39I.07"	"S01"	"IS05"
"3168"	"TCGA.GU.AATQ.01A.11R.A39I.07"	"S01"	"IS05"
"3169"	"TCGA.DK.AA6Q.01A.11R.A39I.07"	"S01"	"IS05"
"3170"	"TCGA.ZF.AA53.01A.11R.A39I.07"	"S01"	"IS05"
"3171"	"TCGA.YF.AA3M.01A.11R.A42T.07"	"S01"	"IS05"
"3172"	"TCGA.ZF.A9RD.01A.11R.A42T.07"	"S01"	"IS05"
"3173"	"TCGA.DK.AA6R.01A.11R.A42T.07"	"S01"	"IS05"
"3174"	"TCGA.XF.AAN3.01A.11R.A42T.07"	"S01"	"IS05"
"3175"	"TCGA.E9.A5FL.01A.11R.A27Q.07"	"S01"	"IS05"
"3176"	"TCGA.AR.A5QQ.01A.11R.A28M.07"	"S01"	"IS05"
"3177"	"TCGA.A7.A4SD.01A.11R.A266.07"	"S01"	"IS05"
"3178"	"TCGA.A7.A4SE.01A.11R.A266.07"	"S01"	"IS05"
"3179"	"TCGA.A2.A4RX.01A.11R.A266.07"	"S01"	"IS05"
"3180"	"TCGA.A7.A5ZV.01A.11R.A28M.07"	"S01"	"IS05"
"3181"	"TCGA.JL.A3YW.01A.12R.A239.07"	"S01"	"IS05"
"3182"	"TCGA.A2.A3XW.01A.11R.A239.07"	"S01"	"IS05"
"3183"	"TCGA.A2.A3XY.01A.11R.A239.07"	"S01"	"IS05"
"3184"	"TCGA.A2.A3Y0.01A.11R.A239.07"	"S01"	"IS05"
"3185"	"TCGA.B6.A400.01A.11R.A239.07"	"S01"	"IS05"
"3186"	"TCGA.B6.A402.01A.11R.A239.07"	"S01"	"IS05"
"3187"	"TCGA.B6.A0I1.01A.11R.A21T.07"	"S01"	"IS05"
"3188"	"TCGA.GI.A2C9.01A.11R.A21T.07"	"S01"	"IS05"
"3189"	"TCGA.OL.A5RW.01A.11R.A28M.07"	"S01"	"IS05"
"3190"	"TCGA.BH.A5IZ.01A.11R.A27Q.07"	"S01"	"IS05"
"3191"	"TCGA.OL.A5RY.01A.21R.A28M.07"	"S01"	"IS05"
"3192"	"TCGA.AR.A24Q.01A.12R.A169.07"	"S01"	"IS05"
"3193"	"TCGA.A7.A26F.01A.21R.A169.07"	"S01"	"IS05"
"3194"	"TCGA.E9.A295.01A.11R.A16F.07"	"S01"	"IS05"
"3195"	"TCGA.E9.A1RH.01A.21R.A169.07"	"S01"	"IS05"
"3196"	"TCGA.D8.A27F.01A.11R.A16F.07"	"S01"	"IS05"
"3197"	"TCGA.C8.A26Y.01A.11R.A16F.07"	"S01"	"IS05"
"3198"	"TCGA.E9.A244.01A.11R.A169.07"	"S01"	"IS05"
"3199"	"TCGA.A7.A26I.01A.11R.A169.07"	"S01"	"IS05"
"3200"	"TCGA.AR.A256.01A.11R.A169.07"	"S01"	"IS05"
"3201"	"TCGA.AR.A251.01A.12R.A169.07"	"S01"	"IS05"
"3202"	"TCGA.E2.A1LG.01A.21R.A14M.07"	"S01"	"IS05"
"3203"	"TCGA.D8.A27H.01A.11R.A16F.07"	"S01"	"IS05"
"3204"	"TCGA.AN.A0XU.01A.11R.A109.07"	"S01"	"IS05"
"3205"	"TCGA.EW.A1PH.01A.11R.A14M.07"	"S01"	"IS05"
"3206"	"TCGA.B6.A1KF.01A.11R.A13Q.07"	"S01"	"IS05"
"3207"	"TCGA.EW.A1P7.01A.21R.A144.07"	"S01"	"IS05"
"3208"	"TCGA.E2.A1LK.01A.21R.A14D.07"	"S01"	"IS05"
"3209"	"TCGA.E2.A1LL.01A.11R.A144.07"	"S01"	"IS05"
"3210"	"TCGA.EW.A1P4.01A.21R.A144.07"	"S01"	"IS05"
"3211"	"TCGA.EW.A1OW.01A.21R.A144.07"	"S01"	"IS05"
"3212"	"TCGA.E9.A1ND.01A.11R.A144.07"	"S01"	"IS05"
"3213"	"TCGA.BH.A0WA.01A.11R.A109.07"	"S01"	"IS05"
"3214"	"TCGA.D8.A1JM.01A.11R.A13Q.07"	"S01"	"IS05"
"3215"	"TCGA.A2.A0YJ.01A.11R.A109.07"	"S01"	"IS05"
"3216"	"TCGA.BH.A18Q.01A.12R.A12D.07"	"S01"	"IS05"
"3217"	"TCGA.A7.A13D.01A.13R.A12P.07"	"S01"	"IS05"
