"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"ACTG2"	"ACTG2"	1.14831280320324
"MMP9"	"MMP9"	0.431587676742889
"TPSB2"	"TPSB2"	0.379056783151671
"CNN1"	"CNN1"	1.38542972410245
"FGFR2"	"FGFR2"	0.463648018324984
"CA9"	"CA9"	-1.01278923248735
"AGT"	"AGT"	-0.782598881385495
"TPSAB1"	"TPSAB1"	0.699966573074943
"AIM1"	"AIM1"	-1.31808678569392
"C7"	"C7"	-0.439088948730452
"DES"	"DES"	1.53450445849827
"APOD"	"APOD"	0.105525261935647
"SYNM"	"SYNM"	1.91746906160432
"GSTT2B"	"GSTT2B"	-0.957457634701622
"TMEM64"	"TMEM64"	0.0364758620599508
"CEL"	"CEL"	2.42843979629027
"GLYATL2"	"GLYATL2"	-0.359664977241523
"PCTP"	"PCTP"	1.10747069217904
"MS4A7"	"MS4A7"	-0.221407992186043
"NSMCE4A"	"NSMCE4A"	0.326148664427119
"SYNPO2"	"SYNPO2"	1.84455145726345
"TNNT2"	"TNNT2"	0.227948365087787
"MYLPF"	"MYLPF"	1.06843358050492
"NPY1R"	"NPY1R"	-0.377176677019589
"AKR1B15"	"AKR1B15"	-0.285826998052749
"PPP1R12B"	"PPP1R12B"	0.973100377323141
"TNS1"	"TNS1"	0.990893731841314
"CST7"	"CST7"	-0.394386695754691
"TNXB"	"TNXB"	0.633814989724823
"LMOD1"	"LMOD1"	1.59313586028066
"SRCIN1"	"SRCIN1"	-0.755374507891746
"CCDC69"	"CCDC69"	1.23866770422722
"PI16"	"PI16"	0.980662104606995
"SORBS1"	"SORBS1"	1.31687513156048
"MUCL1"	"MUCL1"	-0.23326543757509
"GP2"	"GP2"	-0.177525022348895
"GUSB"	"GUSB"	1.1973311052107
"BCHE"	"BCHE"	0.83146681872891
"PRSS1"	"PRSS1"	0.176237176011811
"ACTC1"	"ACTC1"	1.76829318651029
"FABP3"	"FABP3"	-0.685243143980866
"CLEC3A"	"CLEC3A"	-0.0644478866956914
"SGCA"	"SGCA"	1.58402689624968
