"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"
"BTLA"	"BTLA"	2.07410409440496	-0.0508266980206283	-0.100266811237992	-0.184362802664936	-0.217356733971875	-0.376522913107225	-0.201909110272375	-0.15914656227851	-0.118260938749336	-0.0597119828697848	0.0619981216052555	-0.257761072051624	"IS01"	2.07410409440496
"FAM78A"	"FAM78A"	1.96311580220929	0.353891075147161	-0.13888979054655	-0.325127502150663	-0.16621559746078	-0.508902691979154	-0.299562851278754	-0.115822995302537	0.244626238572701	-0.120514429303838	0.241886539688423	-0.542709563530875	"IS01"	1.96311580220929
"IL16"	"IL16"	1.95673189002569	0.0568169495514784	-0.0643330285737339	-0.209532000027478	-0.305462046377919	-0.638322235576019	-0.38093734303408	-0.11624634689531	0.285849117596432	-0.320547874809564	0.577024292867064	-0.527420155209235	"IS01"	1.95673189002569
"CYTH4"	"CYTH4"	1.90507438340106	0.115211565940381	-0.0677559593037745	-0.272266146274329	-0.0416573000130659	-0.616378348259474	-0.363748251769379	-0.0829751202164221	0.385336653483831	-0.32301013239332	0.299288907520006	-0.634325855986275	"IS01"	1.90507438340106
"SELPLG"	"SELPLG"	1.8759949157771	0.0815260700785021	-0.155686748838978	-0.116797677785415	-0.196266178179767	-0.605182944714804	-0.28056749461562	-0.16469745558247	0.453513364497159	-0.411866160868626	0.335066447111645	-0.589033289152319	"IS01"	1.8759949157771
"CCL5"	"CCL5"	1.8404750130125	0.048306283876931	-0.262539494962484	-0.1484368362985	0.132000231662694	-0.397962200576216	0.00327629526370528	-0.197422251543958	-0.0525367140214208	-0.305363078884288	-0.0332148256983114	-0.449733075351423	"IS01"	1.8404750130125
"CXorf21"	"CXorf21"	1.83869975388475	0.102619400947817	0.0853833882262914	-0.0718383194979441	-0.136832498167425	-0.63120525883049	-0.508251215576808	-0.247475679031354	0.402397182265349	-0.364319633180697	0.434562906806982	-0.58393309110587	"IS01"	1.83869975388475
"EVI2A"	"EVI2A"	1.8385820853027	0.0306751738942455	-0.0551385051658537	0.191926475852451	-0.254198982294579	-0.731737654544858	-0.423866371085271	-0.349781912733887	0.729136121550958	-0.458408158119933	0.366462496629172	-0.684245040675587	"IS01"	1.8385820853027
"PIK3CD"	"PIK3CD"	1.7574978808694	0.0122864019190243	-0.0534121651198206	-0.434182865096858	0.535546891553076	-0.629582971197769	-0.526177153213718	-0.0493629350341371	0.211741792281974	-0.168760523920943	0.308192008537997	-0.558513817189989	"IS01"	1.7574978808694
"DOCK10"	"DOCK10"	1.75477282691875	-0.0114459750675457	0.28518554617383	-0.180276260726145	-0.174252518055484	-0.664047479238301	-0.726590620836872	-0.0100078194641058	0.374442719824832	-0.0158466579704406	0.339214423577397	-0.360332960225627	"IS01"	1.75477282691875
"FERMT3"	"FERMT3"	1.7335861165051	0.0954792832862366	-0.323182958780674	-0.252262227741178	-0.134492435753408	-0.474077392256341	0.0451090775780741	-0.0256947529630032	0.243888979457151	-0.394553334648774	0.125564826708922	-0.533449004545725	"IS01"	1.7335861165051
"WIPF1"	"WIPF1"	1.71490416084903	0.0674694096741689	0.091509489590953	-0.266540397710987	-0.110288257204137	-0.666042897571031	-0.602240164428578	-0.307327994861856	0.72309947268397	-0.0430257267435105	0.502216908009805	-0.688484573455537	"IS01"	1.71490416084903
"FCMR"	"FCMR"	1.70156174138662	0.176526654766954	0.106910046689977	-0.0408917117163063	-0.222107423165691	-0.591847444587246	-0.41718298222774	0.100057286553492	0.104750026831126	-0.289550090340749	0.231592168883298	-0.428477275507704	"IS01"	1.70156174138662
"CST7"	"CST7"	1.6890075918382	0.137273409155808	-0.220677239119363	-0.0772555520842204	-0.107329963762104	-0.649360105815963	-0.0622039339818476	-0.212639582117651	0.381156434986414	-0.258644742735443	0.270371531426902	-0.710573420333061	"IS01"	1.6890075918382
"RNASE6"	"RNASE6"	1.64543586751076	0.0972444067902773	-0.0473092543674706	0.176345313778039	-0.228835426526237	-0.738363117662421	-0.295468443998643	-0.265994788883023	0.473423667543525	-0.393898902417651	0.4182432736225	-0.601398625158452	"IS01"	1.64543586751076
"FOXP3"	"FOXP3"	1.63834782860866	0.021700563286052	0.0231177052303547	-0.158041426388319	0.139665069844276	-0.461547163055577	-0.297181991812327	0.000972068174019587	0.606665488222448	-0.120115104242317	-0.465212160977335	-0.762286840716997	"IS01"	1.63834782860866
