"ID"	"State"	"InitialState"
"467"	"TCGA.5N.A9KI.01A.31R.A42T.07"	"S01"	"IS02"
"468"	"TCGA.A2.A0YI.01A.31R.A10J.07"	"S01"	"IS02"
"469"	"TCGA.B6.A0RM.01A.11R.A084.07"	"S01"	"IS02"
"470"	"TCGA.AO.A0JM.01A.21R.A056.07"	"S01"	"IS02"
"471"	"TCGA.GI.A2C8.11A.22R.A16F.07"	"S01"	"IS02"
"472"	"TCGA.D8.A27G.01A.11R.A16F.07"	"S01"	"IS02"
"473"	"TCGA.AC.A8OS.01A.12R.A41B.07"	"S01"	"IS02"
"474"	"TCGA.UC.A7PF.01A.11R.A352.07"	"S01"	"IS02"
"475"	"TCGA.VS.A8QC.01A.11R.A37O.07"	"S01"	"IS02"
"476"	"TCGA.VS.A9V5.01A.11R.A42T.07"	"S01"	"IS02"
"477"	"TCGA.F4.6854.01A.11R.1928.07"	"S01"	"IS02"
"478"	"TCGA.NH.A8F7.01A.11R.A41B.07"	"S01"	"IS02"
"479"	"TCGA.L5.A4OQ.01A.11R.A260.31"	"S01"	"IS02"
"480"	"TCGA.L5.A4OM.11A.11R.A260.31"	"S01"	"IS02"
"481"	"TCGA.CQ.6229.01A.11R.1915.07"	"S01"	"IS02"
"482"	"TCGA.CV.6940.01A.11R.1915.07"	"S01"	"IS02"
"483"	"TCGA.CV.6951.01A.11R.1915.07"	"S01"	"IS02"
"484"	"TCGA.CV.6939.11A.01R.1915.07"	"S01"	"IS02"
"485"	"TCGA.CV.6959.11A.01R.1915.07"	"S01"	"IS02"
"486"	"TCGA.CV.7104.01A.11R.2016.07"	"S01"	"IS02"
"487"	"TCGA.CV.7440.11A.01R.2187.07"	"S01"	"IS02"
"488"	"TCGA.CR.7383.01A.11R.2132.07"	"S01"	"IS02"
"489"	"TCGA.CV.7406.01A.11R.2081.07"	"S01"	"IS02"
"490"	"TCGA.CV.7438.01A.21R.2132.07"	"S01"	"IS02"
"491"	"TCGA.CV.7406.11A.01R.2081.07"	"S01"	"IS02"
"492"	"TCGA.CR.6488.01A.12R.2081.07"	"S01"	"IS02"
"493"	"TCGA.CN.6016.01A.11R.1686.07"	"S01"	"IS02"
"494"	"TCGA.CQ.5330.01A.01R.1686.07"	"S01"	"IS02"
"495"	"TCGA.CN.6017.01A.11R.1686.07"	"S01"	"IS02"
"496"	"TCGA.CV.7097.01A.11R.2016.07"	"S01"	"IS02"
"497"	"TCGA.CQ.6224.01A.11R.1915.07"	"S01"	"IS02"
"498"	"TCGA.CV.7263.01A.11R.2016.07"	"S01"	"IS02"
"499"	"TCGA.CQ.5325.01A.01R.1686.07"	"S01"	"IS02"
"500"	"TCGA.CV.7247.01A.11R.2016.07"	"S01"	"IS02"
"501"	"TCGA.CV.5440.01A.01R.1514.07"	"S01"	"IS02"
"502"	"TCGA.CQ.6222.01A.11R.1915.07"	"S01"	"IS02"
"503"	"TCGA.CN.4737.01A.01R.1436.07"	"S01"	"IS02"
"504"	"TCGA.CN.4736.01A.01R.1436.07"	"S01"	"IS02"
"505"	"TCGA.CV.7250.11A.01R.2016.07"	"S01"	"IS02"
