"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"LMOD1"	"LMOD1"	-0.662676926302378	-0.0666689972787748	-0.223820807126641	2.24094773879942	0.102399105330968	0.296476975346942	-0.10244843695772	-0.209697032832918	"S01"	2.24094773879942	"IS04"
"CHRDL1"	"CHRDL1"	-0.645178159204947	0.148544422460015	-0.183382952954554	2.01958890660473	-0.0680898993193535	0.353307771133352	-0.0187959792051192	-0.198486908846582	"S01"	2.01958890660473	"IS04"
"PGM5"	"PGM5"	-0.885073657357177	0.257496078820006	-0.0648908624477887	2.00099904960194	0.172531314833945	0.497423100615759	-0.115821288244847	-0.0446764284216868	"S01"	2.00099904960194	"IS04"
"SDPR"	"SDPR"	-0.770175355561501	0.137621707713323	-0.084717868767903	1.98821618913451	-0.0295512497621731	0.533254892004454	0.017305604382651	-0.0621533954888694	"S01"	1.98821618913451	"IS04"
"SYNM"	"SYNM"	-0.491396562099951	-0.0844913429668167	-0.145570715427173	1.94891116418385	-0.13951619920737	0.0991660738842904	-0.124060496247357	-0.0838606827780171	"S01"	1.94891116418385	"IS04"
"PPP1R12B"	"PPP1R12B"	-0.680182208184272	0.0685893029059716	-0.142858990821242	1.91874899958625	0.0737920060728039	0.0938431868794846	-0.0206691615658066	-0.0486798486262383	"S01"	1.91874899958625	"IS04"
"FXYD1"	"FXYD1"	-0.503376840015849	0.0688522742391392	-0.101787374718664	1.90511917894007	-0.155262359809962	0.554690143280194	-0.14826687641289	-0.282905476474041	"S01"	1.90511917894007	"IS04"
"MYLK"	"MYLK"	-0.584203951940145	-0.0501005159364371	-0.0971462004845941	1.84031168851571	0.249173802313746	-0.0246625190857141	-0.0833992506764517	-0.175624629344438	"S01"	1.84031168851571	"IS04"
"SYNPO2"	"SYNPO2"	-0.611320283631567	0.0673723704310993	-0.177176278661143	1.83655208867159	0.111549458460257	0.0737218648484864	-0.106731109579432	-0.100553357408617	"S01"	1.83655208867159	"IS04"
"MSRB3"	"MSRB3"	-0.730717660024575	-0.101590153643787	-0.224627908750113	1.83392714505185	0.542998581441366	0.105040881163656	0.0714035707640423	-0.169982876744351	"S01"	1.83392714505185	"IS04"
