"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CCL4"	"CCL4"	-0.86488081563522
"SCGB1A1"	"SCGB1A1"	-0.329479056792032
"PNLIPRP1"	"PNLIPRP1"	-1.60001793507781
"HLA.DRB5"	"HLA.DRB5"	-0.364343655982966
"NAPSA"	"NAPSA"	-0.219870437467261
"C4BPA"	"C4BPA"	-0.27291714996561
"PRSS1"	"PRSS1"	-0.0628795756441037
"CDHR5"	"CDHR5"	-0.270514012382107
"SFTPD"	"SFTPD"	-0.275471075539124
"LDB2"	"LDB2"	1.8160699653647
"MS4A15"	"MS4A15"	2.84778312301893
"CYP51A1"	"CYP51A1"	-0.829738602617554
"SLC46A2"	"SLC46A2"	1.57059027711762
"SDPR"	"SDPR"	0.737604525674518
"CFD"	"CFD"	-0.034064157739338
"ABCA8"	"ABCA8"	-0.230930115305313
"CELA2A"	"CELA2A"	1.14357532069985
"CCL4L2"	"CCL4L2"	-0.719030852559844
"GRPR"	"GRPR"	-0.0884323818132795
"REG1B"	"REG1B"	-0.0889676447900282
"AGTR2"	"AGTR2"	-0.186123306664684
"RTKN2"	"RTKN2"	-0.140761474181243
"TPH1"	"TPH1"	-0.735831495304471
"ALPI"	"ALPI"	-0.0966295116597994
"PRSS2"	"PRSS2"	-0.0587718594163833
"PGM5"	"PGM5"	1.61308559982573
"GGTLC1"	"GGTLC1"	-0.137961749817066
"C11orf86"	"C11orf86"	-0.417231186263907
"C5orf38"	"C5orf38"	-0.433320874750103
"CCDC141"	"CCDC141"	-0.173398768932402
"CLDN18"	"CLDN18"	-0.208929427515317
"CCDC136"	"CCDC136"	-0.556970397332135
"AGER"	"AGER"	-0.73419257582494
"CCL3L3"	"CCL3L3"	0.0037085784620827
"SLC6A4"	"SLC6A4"	-0.48979359361036
"CPA3"	"CPA3"	0.996932358371706
"ADGRE3"	"ADGRE3"	0.475890302830029
"CSF3"	"CSF3"	0.802103813169086
"TPSD1"	"TPSD1"	0.821844405928916
"ZMYND10"	"ZMYND10"	2.18475612741224
"MS4A8"	"MS4A8"	-0.227723650998417
