"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"
"CDK4__pos"	37.7644549628356	2.22044604925031e-16	6.34936564235287	105.452017018996	9.64330530175278	2.22044604925031e-16	9.44519976795734	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	5.16376182453521
"CUL4A__pos"	21.4530712414887	3.12164340061868	9.44707507731314	116.312132163341	2.22044604925031e-16	1.00143297785082	2.22044604925031e-16	0.264195182980244	21.0069277045854	0.599309138225815	3.01126816890966	2.22044604925031e-16	2.22044604925031e-16
"IKBKB__pos"	2.22044604925031e-16	18.5024578992385	7.45275294982247	51.7309684184077	0.0760891662669995	0.583392801187315	3.47703509512229	1.11358283196417	84.445696070062	2.0566396486708	5.72066171396095	2.22044604925031e-16	16.5253848237437
"MMP12__pos"	48.856553423652	2.22044604925031e-16	2.1374279246936	10.6599318546687	39.0085621813211	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	79.7779804088298	2.22044604925031e-16	12.2292843358523
"CHIT1__pos"	2.22044604925031e-16	7.92304065961899	2.22044604925031e-16	9.81466816825914e-12	41.8404286536668	2.93646090054467e-06	2.62441458619299	87.1006849702387	9.74534753489034	2.22044604925031e-16	20.7532762000309	2.3302729700031e-16	4.33599653899627
"CXCL9__pos"	5.25944542684854	20.8570509950228	2.22044604925031e-16	4.75680514416204	156.007525111064	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.516822477224541
"A2M__pos"	9.73820048633892	20.2603451555227	16.20434043547	2.22044604925031e-16	0.612687027662184	124.053627854261	16.0225403932723	19.7443196375859	2.22044604925031e-16	2.22044604925031e-16	2.03157311333703e-07	2.22044604925031e-16	2.22044604925031e-16
"NDNF__pos"	2.22044604925031e-16	2.75365154986418	45.7747288973465	24.5267120515914	2.22044604925031e-16	77.5935213248116	2.22044604925031e-16	11.3930241784853	28.9560248322837	2.22044604925031e-16	2.22044604925031e-16	18.3946766417591	2.22044604925031e-16
"MARCH9__pos"	2.22044604925031e-16	5.69384760805265	5.61837818625287	50.6957863969315	0.688255290102858	2.22044604925031e-16	42.2571360906598	4.0145837607692	76.6188382735093	0.130705901542448	2.22044604925031e-16	2.22044604925031e-16	3.08306978769341
"SLC12A8__pos"	30.7447104149897	2.87715979607673	56.7514875398834	73.5093950909026	8.13147755691306	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	5.00573456349083	2.22044604925031e-16	14.3156628760843	2.22044604925031e-16	12.4913565965844
"AQP1__pos"	6.41222065103059	8.07263740654313	11.0670323248454	2.29079473374085	2.22044604925031e-16	137.779518827959	9.42217214633392	14.0804785322846	6.16438649259073	3.33530439005439e-06	2.22044604925031e-16	9.95004336198618	2.22044604925031e-16
"OLFML3__pos"	2.22044604925031e-16	3.78468333888677	121.804790476537	2.22044604925031e-16	8.24194567263154e-14	36.870729956765	3.87530557103603	5.19666577232102	6.81917954436693	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"ALOX5AP__pos"	2.22044604925031e-16	34.3702003755859	8.53227845672128	2.22044604925031e-16	14.948107833165	2.22044604925031e-16	0.214567066770638	60.0695690496517	2.22044604925031e-16	2.22044604925031e-16	80.1069545407189	2.22044604925031e-16	2.22044604925031e-16
"VSIG4__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	32.9654821592518	25.1141205962509	2.22044604925031e-16	44.307423218891	2.22044604925031e-16	2.22044604925031e-16	87.8858784771273	2.22044604925031e-16	2.22044604925031e-16
"RGS1__pos"	2.22044604925031e-16	67.4287587341586	21.2952849930765	2.22044604925031e-16	34.5005331916773	2.22044604925031e-16	1.58358180963047	2.22044604925031e-16	7.78946378292877	2.22044604925031e-16	49.547157856854	4.78972937884568	0.118062175309072
"HLA.DQA1__pos"	2.22044604925031e-16	54.4971647154963	2.44199651190493	2.22044604925031e-16	95.7005028674936	2.22044604925031e-16	2.22044604925031e-16	28.1341249587821	2.22044604925031e-16	2.22044604925031e-16	13.8783374739799	2.22044604925031e-16	2.22044604925031e-16
"CCL18__pos"	19.3313603346146	1.76560661561898	2.22044604925031e-16	2.22044604925031e-16	50.076355805968	4.105440343972	5.63985004438717	34.4111874494484	2.22044604925031e-16	2.22044604925031e-16	72.3517599843918	2.22044604925031e-16	2.22044604925031e-16
"CAV1__pos"	36.275613000455	2.22044604925031e-16	26.0286901660778	2.22044604925031e-16	1.98503781505432	119.56330770405	2.22044604925031e-16	2.09600719906468	2.22044604925031e-16	1.32084034319854e-13	7.01990859733085e-12	7.39281327888999	2.85505740503059
"FGG__pos"	104.238655199984	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.603685226006526	0.690939674534299	27.7804207748351	2.22044604925031e-16	6.79510854997643	2.22044604925031e-16	2.08073452030243	2.22044604925031e-16
"SRPX__pos"	13.9854814615598	6.42103109323027	62.5341722793048	10.0974560134942	0.770312202102906	94.4744501852814	9.00902250263851	1.43532736061801	2.22044604925031e-16	1.57731833807085	2.81208459234805	11.1362330808769	2.22044604925031e-16
