"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CDK4"	"CDK4"	1.25887243193155
"CUL4A"	"CUL4A"	0.724390787168448
"IKBKB"	"IKBKB"	-2.4039417122139
"MMP12"	"MMP12"	-0.433711431592683
"CHIT1"	"CHIT1"	1.22759248948086
"CXCL9"	"CXCL9"	-0.699268699273155
"A2M"	"A2M"	0.277341741635189
"NDNF"	"NDNF"	-0.00101945973971247
"MARCH9"	"MARCH9"	-0.194314558672012
"SLC12A8"	"SLC12A8"	-0.557620945244789
"AQP1"	"AQP1"	0.231412225876039
"OLFML3"	"OLFML3"	-0.176003227029867
"ALOX5AP"	"ALOX5AP"	-0.157636110651767
"VSIG4"	"VSIG4"	0.110784185290344
"RGS1"	"RGS1"	-0.0454453515168222
"HLA.DQA1"	"HLA.DQA1"	-0.57558737171197
"CCL18"	"CCL18"	-0.405849757201381
"CAV1"	"CAV1"	-0.374188883138859
"FGG"	"FGG"	-0.260723873314561
"SRPX"	"SRPX"	0.848540286001937
"BYSL"	"BYSL"	0.512342530760262
"VMO1"	"VMO1"	0.345385478104544
"LHFP"	"LHFP"	0.0268765684423335
"SLC11A1"	"SLC11A1"	-0.0461540774957478
"UTP18"	"UTP18"	-0.427706928440931
"HLA.DPA1"	"HLA.DPA1"	-0.0437456678183751
"URI1"	"URI1"	0.803773907463243
"SPN"	"SPN"	-0.466743009674492
"IL13RA2"	"IL13RA2"	-0.0314576374907051
"RETN"	"RETN"	0.179084614563485
"CYBB"	"CYBB"	-0.150132843173005
"LAMP3"	"LAMP3"	0.355572624064406
"CX3CR1"	"CX3CR1"	-0.497391883353885
"C5AR1"	"C5AR1"	0.262600943815998
"CD53"	"CD53"	0.496448733029651
"NCF2"	"NCF2"	-0.525561323140373
"LAMP1"	"LAMP1"	-0.18101698618575
"MS4A7"	"MS4A7"	-0.269097367569356
"SLC9B2"	"SLC9B2"	-0.112349923339323
"SERPIND1"	"SERPIND1"	-0.325044942756821
"TOMM6"	"TOMM6"	0.292300598279548
"FOLR2"	"FOLR2"	-0.263390946766759
"ITGAX"	"ITGAX"	0.0435069867943642
"AQP4"	"AQP4"	-0.252637032103357
"FCN1"	"FCN1"	0.621713222670645
"HLA.DRB1"	"HLA.DRB1"	-0.0438654153980337
"MYCT1"	"MYCT1"	-0.265849407342343
"SUSD2"	"SUSD2"	-0.612546643152735
"HLA.DQA2"	"HLA.DQA2"	-0.212652251977277
