"ID"	"State"	"InitialState"
"262"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"S01"	"IS02"
"263"	"TCGA.FD.A5BR.01A.11R.A26T.07"	"S01"	"IS02"
"264"	"TCGA.FD.A43S.01A.21R.A23W.07"	"S01"	"IS02"
"265"	"TCGA.K4.A3WU.01B.11R.A23N.07"	"S01"	"IS02"
"266"	"TCGA.GV.A3QG.01A.11R.A220.07"	"S01"	"IS02"
"267"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"S01"	"IS02"
"268"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"S01"	"IS02"
"269"	"TCGA.DK.A3IV.01A.22R.A21D.07"	"S01"	"IS02"
"270"	"TCGA.GD.A2C5.11A.11R.A180.07"	"S01"	"IS02"
"271"	"TCGA.FD.A3B4.01A.12R.A206.07"	"S01"	"IS02"
"272"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"S01"	"IS02"
"273"	"TCGA.R3.A69X.01A.22R.A30C.07"	"S01"	"IS02"
"274"	"TCGA.UY.A78K.01A.11R.A33J.07"	"S01"	"IS02"
"275"	"TCGA.FD.A6TB.01A.12R.A33J.07"	"S01"	"IS02"
"276"	"TCGA.K4.A83P.01A.11R.A352.07"	"S01"	"IS02"
"277"	"TCGA.E7.A6MD.01A.41R.A352.07"	"S01"	"IS02"
"278"	"TCGA.XF.A9SL.01A.11R.A39I.07"	"S01"	"IS02"
"279"	"TCGA.DK.AA6T.01A.11R.A39I.07"	"S01"	"IS02"
"280"	"TCGA.4Z.AA7N.01A.11R.A39I.07"	"S01"	"IS02"
"281"	"TCGA.DK.AA6X.01A.12R.A42T.07"	"S01"	"IS02"
"282"	"TCGA.XF.AAME.01A.12R.A42T.07"	"S01"	"IS02"
"283"	"TCGA.XF.A9SI.01A.11R.A39I.07"	"S01"	"IS02"
"284"	"TCGA.A7.A4SA.01A.11R.A266.07"	"S01"	"IS02"
"285"	"TCGA.EW.A3U0.01A.11R.A22K.07"	"S01"	"IS02"
"286"	"TCGA.EW.A3E8.01B.11R.A24H.07"	"S01"	"IS02"
"287"	"TCGA.LL.A441.01A.11R.A24H.07"	"S01"	"IS02"
"288"	"TCGA.B6.A3ZX.01A.11R.A239.07"	"S01"	"IS02"
"289"	"TCGA.AC.A2FE.01A.11R.A19W.07"	"S01"	"IS02"
"290"	"TCGA.AC.A3BB.01A.21R.A19W.07"	"S01"	"IS02"
"291"	"TCGA.A2.A3XZ.01A.42R.A239.07"	"S01"	"IS02"
"292"	"TCGA.A2.A0EP.01A.52R.A22U.07"	"S01"	"IS02"
"293"	"TCGA.E2.A1B6.01A.31R.A12P.07"	"S01"	"IS02"
"294"	"TCGA.AC.A3OD.01A.11R.A21T.07"	"S01"	"IS02"
"295"	"TCGA.GM.A2DO.01A.11R.A18M.07"	"S01"	"IS02"
"296"	"TCGA.OL.A5RU.01A.11R.A28M.07"	"S01"	"IS02"
"297"	"TCGA.PE.A5DE.01A.11R.A27Q.07"	"S01"	"IS02"
"298"	"TCGA.OK.A5Q2.01A.11R.A27Q.07"	"S01"	"IS02"
"299"	"TCGA.OL.A5RY.01A.21R.A28M.07"	"S01"	"IS02"
"300"	"TCGA.E2.A3DX.01A.21R.A213.07"	"S01"	"IS02"
"301"	"TCGA.A7.A3J1.01A.11R.A213.07"	"S01"	"IS02"
"302"	"TCGA.AR.A2LO.01A.31R.A18M.07"	"S01"	"IS02"
"303"	"TCGA.A2.A25F.01A.11R.A169.07"	"S01"	"IS02"
"304"	"TCGA.GM.A2DN.01A.11R.A180.07"	"S01"	"IS02"
"305"	"TCGA.E9.A2JT.01A.22R.A18M.07"	"S01"	"IS02"
"306"	"TCGA.GM.A2DI.01A.31R.A18M.07"	"S01"	"IS02"
"307"	"TCGA.AR.A2LH.01A.31R.A18M.07"	"S01"	"IS02"
"308"	"TCGA.BH.A1FB.01A.11R.A13Q.07"	"S01"	"IS02"
"309"	"TCGA.D8.A1Y0.01A.11R.A14M.07"	"S01"	"IS02"
"310"	"TCGA.E9.A1QZ.01A.21R.A169.07"	"S01"	"IS02"
"311"	"TCGA.GM.A2DH.01A.11R.A180.07"	"S01"	"IS02"
"312"	"TCGA.E9.A1NE.01A.21R.A14M.07"	"S01"	"IS02"
"313"	"TCGA.AC.A2FB.01A.11R.A17B.07"	"S01"	"IS02"
"314"	"TCGA.D8.A27K.01A.11R.A16F.07"	"S01"	"IS02"
"315"	"TCGA.A2.A0YK.01A.22R.A109.07"	"S01"	"IS02"
"316"	"TCGA.AC.A2FO.01A.11R.A180.07"	"S01"	"IS02"
"317"	"TCGA.D8.A1JB.01A.11R.A13Q.07"	"S01"	"IS02"
"318"	"TCGA.EW.A1P7.01A.21R.A144.07"	"S01"	"IS02"
"319"	"TCGA.EW.A1OV.01A.11R.A144.07"	"S01"	"IS02"
"320"	"TCGA.BH.A1FE.01A.11R.A13Q.07"	"S01"	"IS02"
"321"	"TCGA.BH.A0W5.01A.11R.A109.07"	"S01"	"IS02"
"322"	"TCGA.E2.A15M.01A.11R.A12D.07"	"S01"	"IS02"
"323"	"TCGA.A2.A1G0.01A.11R.A13Q.07"	"S01"	"IS02"
"324"	"TCGA.E2.A1B5.01A.21R.A12P.07"	"S01"	"IS02"
"325"	"TCGA.E2.A1IH.01A.11R.A13Q.07"	"S01"	"IS02"
"326"	"TCGA.EW.A1J5.01A.11R.A13Q.07"	"S01"	"IS02"
"327"	"TCGA.AR.A1AW.01A.21R.A12P.07"	"S01"	"IS02"
"328"	"TCGA.BH.A18H.01A.11R.A12D.07"	"S01"	"IS02"
"329"	"TCGA.AR.A1AX.01A.11R.A12P.07"	"S01"	"IS02"
"330"	"TCGA.AR.A1AK.01A.21R.A12P.07"	"S01"	"IS02"
"331"	"TCGA.E2.A15K.01A.11R.A12P.07"	"S01"	"IS02"
"332"	"TCGA.E2.A15A.06A.11R.A12D.07"	"S01"	"IS02"
