"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"
"NNMT__pos"	28.3988892944982	18.9135887400142	4.64880291473192	26.335869980013	2.22044604925031e-16	84.7186645615299	10.9186530615614	2.22044604925031e-16	56.623786363151	2.22044604925031e-16
"PLG__pos"	2.22044604925031e-16	39.0723759749191	22.5566402718638	7.23713122897778	10.8766315921505	39.3547978284862	8.47486953703835	8.07585955401098	15.3659849229501	101.824869563961
"CFP__pos"	39.5990241993194	65.5274752664484	3.06111734466621	55.449479361913	2.22044604925031e-16	44.0928838405867	4.59391182786815	2.22044604925031e-16	2.22044604925031e-16	14.7392928018423
"ITLN1__pos"	2.22044604925031e-16	156.126633878229	5.00788288775701	3.12386081146064	25.5527578517303	2.22044604925031e-16	4.16801526809097	2.74374783851375	2.22044604925031e-16	6.96871250447847e-05
"HPD__pos"	10.1479329004545	26.6131394363907	55.9436089592032	8.9803771801879	51.5791241556426	48.4967098630129	1.78312307005967	20.8535511170291	2.0119588764371e-07	33.999020067038
"C1S__pos"	2.22044604925031e-16	3.10208230564843	6.36261949502573	46.7508156372622	2.22044604925031e-16	96.490157547482	0.00102300636578118	4.04599973376141	27.1179432063062	11.0097293886343
"SERPING1__pos"	3.83647667409448	32.9160166244239	2.57042812044253	55.369262981906	2.22044604925031e-16	105.876906205595	2.22044604925031e-16	2.22044604925031e-16	24.1076077121708	2.22044604925031e-16
"FCER1G__pos"	12.1379618714544	39.3864888116319	3.13582338762731	71.9777801842176	2.32110538578834e-08	19.6034973333628	31.4256611889531	1.5955134315397	25.4863812180883	2.22044604925031e-16
"C1R__pos"	2.22044604925031e-16	1.53959772053277	2.06539796410917	52.9755360879733	2.22044604925031e-16	128.546856469532	2.22044604925031e-16	2.22044604925031e-16	34.4727564692433	2.22044604925031e-16
"UPK3B__pos"	28.6079659770618	68.5491976366076	0.402052916902718	2.22044604925031e-16	10.2561045542403	2.22044604925031e-16	3.28746980199021	3.04380596545298	53.4878940722143	31.8071793166304
"CCDC80__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	10.7175615148047	2.22044604925031e-16	202.190118487402	2.22044604925031e-16	2.22044604925031e-16	8.45308414686568	2.22044604925031e-16
"AQP1__pos"	5.91949293886931	88.7044350736716	2.22044604925031e-16	9.87254500183051	0.090972542153849	108.484026030462	11.7791962408641	2.22044604925031e-16	2.22044604925031e-16	12.630562808855
"ITLN2__pos"	2.22044604925031e-16	136.046209826238	1.64829805756448	2.22044604925031e-16	40.8225874985997	2.22044604925031e-16	2.22044604925031e-16	8.3668264937324	2.22044604925031e-16	0.0059789708943553
"GC__pos"	2.22044604925031e-16	2.22044604925031e-16	112.710143471018	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"DOCK11__pos"	9.64469114964998	56.1395454501206	0.604498354389826	34.4760479902544	17.4664987385843	68.5027191545455	10.316074055523	10.6230519872518	5.99931235998039	2.22044604925031e-16
"CCL7__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	56.75086550661	2.22044604925031e-16	19.400326714853	1.90518308981251	2.22044604925031e-16	161.51275277635	2.22044604925031e-16
"GALNT9__pos"	20.7777823188593	2.22044604925031e-16	5.27205453117225e-07	4.57023333450126	150.808125680143	5.35508515403712	2.22044604925031e-16	2.64137386937303	2.22044604925031e-16	0.000203941978945673
"METTL25__pos"	26.5579301170073	16.5738344491182	3.90763690817395	20.9838997697109	13.5160689825594	18.8748074447256	27.4483487487169	10.0179079637966	2.22044604925031e-16	88.4000759034489
"CLDN5__pos"	47.5225772274658	89.4996690385846	0.530898163422482	0.10547969350977	2.22044604925031e-16	99.6626609169419	0.38394833698837	3.89797339096818	2.22044604925031e-16	0.00771167907319909
"SLC7A4__pos"	2.22044604925031e-16	4.23523417515519	2.22044604925031e-16	2.22044604925031e-16	145.124340961561	2.071105068302	42.6769535267072	2.22044604925031e-16	0.329208217770037	9.02674259426069
"G6PC__pos"	0.506378491428598	1.64379080085602	100.793181797925	2.22044604925031e-16	2.22044604925031e-16	5.49054752019016e-06	2.22044604925031e-16	14.5496598198891	2.22044604925031e-16	47.2571379659418
"APOC3__pos"	2.22044604925031e-16	2.22044604925031e-16	88.7009123147206	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PDIA2__pos"	176.432192360994	2.22044604925031e-16	1.10967855590083	2.22044604925031e-16	6.75503833508585	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CD7__pos"	16.7827655342887	2.22044604925031e-16	3.09347816785767	179.437054028189	1.08910420799291	8.85473120010387	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"GFPT2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.1253376403804	2.22044604925031e-16	143.834591371704	2.22044604925031e-16	2.22044604925031e-16	60.8345709320477	2.22044604925031e-16
"CCL3L3__pos"	44.5981364203788	20.3316700916715	0.53567441651882	71.2317796487757	2.22044604925031e-16	23.7829556202301	4.54337618341028	2.22044604925031e-16	52.6300240454489	2.22044604925031e-16
"IGFBP1__pos"	2.22044604925031e-16	2.22044604925031e-16	73.6131257753914	2.22044604925031e-16	7.35490694175089	3.01702133013716	2.22044604925031e-16	2.22044604925031e-16	57.7451268280353	0.0462543433677281
"CD244__pos"	2.22044604925031e-16	49.6107997443223	2.22044604925031e-16	152.016246344921	2.22044604925031e-16	8.21792075082531	2.22044604925031e-16	1.7066352929654	2.22044604925031e-16	2.22044604925031e-16
"SLC22A1__pos"	102.520391869321	1.64208300956263	18.5968810917303	2.22044604925031e-16	1.20484928929517e-10	2.38598921491031	1.3667424202535	7.83204335171496	58.853109617417	63.7668402989644
"RARRES2__pos"	38.2328826696001	24.2751193595221	1.30238235482046	3.66443050814482	2.22044604925031e-16	143.192440362933	2.22044604925031e-16	2.22044604925031e-16	3.49327145042929e-11	2.22044604925031e-16
"PRG4__pos"	2.22044604925031e-16	11.2038286020261	6.39764842793296	2.22044604925031e-16	2.22044604925031e-16	76.5885679588267	2.22044604925031e-16	0.603159849781371	2.22044604925031e-16	2.22044604925031e-16
"OTUD1__pos"	2.22044604925031e-16	79.9348517059316	2.22044604925031e-16	0.211121663511789	10.8327059442022	36.6232993117626	3.70472389250341e-06	2.22044604925031e-16	65.0221893570575	54.0923489727066
"HBG2__pos"	31.1608447434532	135.866407791176	5.43014325064341	2.22044604925031e-16	2.10411117961686e-07	17.3735714677747	7.40399318242259	26.2222458162617	14.1932142011992	44.8693975869604
"PRX__pos"	3.80531403811547	92.7789539166331	2.22044604925031e-16	2.22044604925031e-16	58.1733268752976	56.0650841266298	2.22044604925031e-16	2.56244898148572	2.22044604925031e-16	25.5285811171767
"GYPC__pos"	13.9544983383875	60.4119227554455	2.22044604925031e-16	29.9534806109567	2.22044604925031e-16	99.5883017901335	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"XDH__pos"	2.22044604925031e-16	1.98865481234957e-12	0.952568748260751	17.2986572538133	2.22044604925031e-16	9.98173058357181	24.0498136165	2.22044604925031e-16	110.281035385364	74.582654300412
"CPB2__pos"	2.22044604925031e-16	70.8502079780403	107.502681988303	2.22044604925031e-16	40.7024985142885	2.22044604925031e-16	3.09287822615548	10.5519385481836	4.78997926561651e-10	8.02935882198189
"RTKN2__pos"	2.22044604925031e-16	59.1232170766977	2.22044604925031e-16	21.9065550729107	22.6576344919958	2.22044604925031e-16	30.3933324515238	9.36004152588564	40.0850620124111	52.0999598411996
"MBL2__pos"	2.22044604925031e-16	2.22044604925031e-16	97.2533470519564	20.6664812589708	2.22044604925031e-16	32.7334561706721	3.91646626065953	21.3351955590002	9.89502305529233	2.62741744592863e-07
"RXFP1__pos"	2.22044604925031e-16	67.7802655674748	3.43202906231689	5.72152426296455	13.8003557286225	19.6185884852444	2.22044604925031e-16	25.0725971791373	58.2605898401214	56.8899070129574
"PGM1__pos"	2.22044604925031e-16	59.0496249308495	2.67311477797878	9.511436246714	32.5332618855104	26.5376972443107	19.6326425663349	2.22044604925031e-16	75.2064115203295	13.7057723609983
"BDKRB1__pos"	3.26779891215812	2.22044604925031e-16	2.98262173717023	3.52788874028638	2.22044604925031e-16	65.9346194142986	23.9385945096642	2.02274029780186	61.4548128105436	56.2274710884239
"NPFF__pos"	251.142994890773	7.34073295258053	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CARNS1__pos"	0.525586787875121	4.05289952504195	2.22044604925031e-16	2.22044604925031e-16	128.78233290353	6.63334802985329	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	50.9309235670057
"ADGRG3__pos"	4.3270620306112	29.9630673262564	0.946674565937987	36.9738501818055	2.22044604925031e-16	52.2920222325094	2.22044604925031e-16	2.22044604925031e-16	83.8684500865967	27.696166498634
"KRT9__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	5.11719948914444	2.22044604925031e-16	2.22044604925031e-16	8.98650079724988	155.711231397367	11.1626839804847
"HAO1__pos"	2.22044604925031e-16	2.22044604925031e-16	139.904771563837	1.33814255540992	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	6.6171331279428	45.0736578612174	2.22044604925031e-16
"C3__pos"	63.8651025627045	24.0879567445561	10.2354504765909	48.5764479855485	2.22044604925031e-16	64.9968124200307	2.22044604925031e-16	2.22044604925031e-16	0.720517462460795	2.22044604925031e-16
"UTF1__pos"	119.814035505579	17.3955828493068	2.22044604925031e-16	29.2581380505279	2.22044604925031e-16	37.9567650194602	2.22044604925031e-16	3.9004433286504	2.22044604925031e-16	2.22044604925031e-16
