"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"NNMT"	"NNMT"	0.647321149527509
"PLG"	"PLG"	0.873540790344019
"CFP"	"CFP"	0.712183544745744
"ITLN1"	"ITLN1"	-0.251483000810253
"HPD"	"HPD"	0.533538155965244
"C1S"	"C1S"	0.357115949762009
"SERPING1"	"SERPING1"	-0.343376014446164
"FCER1G"	"FCER1G"	-0.327458770124232
"C1R"	"C1R"	-0.238176745646771
"UPK3B"	"UPK3B"	-0.0237795633048488
"CCDC80"	"CCDC80"	-0.531736951929758
"AQP1"	"AQP1"	-0.493685374581605
"ITLN2"	"ITLN2"	-0.273397704681361
"GC"	"GC"	-0.088133195751776
"DOCK11"	"DOCK11"	-0.0668140009777109
"CCL7"	"CCL7"	-0.668318145543476
"GALNT9"	"GALNT9"	-0.094507666519983
"METTL25"	"METTL25"	-0.941638263492834
"CLDN5"	"CLDN5"	0.563114676604678
"SLC7A4"	"SLC7A4"	-0.661562165589863
"G6PC"	"G6PC"	-0.376525820454916
"APOC3"	"APOC3"	-0.0593915708269317
"PDIA2"	"PDIA2"	-0.348630913081582
"CD7"	"CD7"	-0.472066354725473
"GFPT2"	"GFPT2"	-0.103303191766095
"CCL3L3"	"CCL3L3"	0.0566675056277615
"IGFBP1"	"IGFBP1"	-0.262749192124715
"CD244"	"CD244"	0.673088037106694
"SLC22A1"	"SLC22A1"	-0.986237325002923
"RARRES2"	"RARRES2"	0.336278303776304
"PRG4"	"PRG4"	-0.316926643037158
"OTUD1"	"OTUD1"	0.262671650236969
"HBG2"	"HBG2"	-0.590563321498404
"PRX"	"PRX"	0.22994075847837
"GYPC"	"GYPC"	0.329675914055704
"XDH"	"XDH"	-0.816488133631411
"CPB2"	"CPB2"	-0.59797688071587
"RTKN2"	"RTKN2"	0.309180978441951
"MBL2"	"MBL2"	-0.274056099397366
"RXFP1"	"RXFP1"	-0.935656639501528
"PGM1"	"PGM1"	-0.53000372590427
"BDKRB1"	"BDKRB1"	0.849985151241563
"NPFF"	"NPFF"	-0.575258871244372
"CARNS1"	"CARNS1"	-0.36715690940199
"ADGRG3"	"ADGRG3"	0.171553499872452
"KRT9"	"KRT9"	-0.737165746769758
