"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"
"RP13.512J5.1"	"RP13.512J5.1"	1.43052532529479	-0.165975567329039	0.0746369235755746	-0.125849532753055	-0.0931150773723704	-0.147235650892124	-0.0919337735931991	0.114013887480413	-0.0973878500069458	-0.119384161753227	"IS01"	1.43052532529479
"NPFF"	"NPFF"	1.31114122059264	0.0216810585812656	0.0121095291149527	-0.10500118485442	-0.103581939790637	-0.200948512924283	-0.0731992323630144	0.0471696121161121	-0.0333722011763978	-0.177440755118274	"IS01"	1.31114122059264
"DNAAF1"	"DNAAF1"	1.30486193900273	0.368401260995381	-0.00101499843779194	-0.0585392917849175	-0.00982916895529972	-0.15616823198267	-0.290660343651203	0.356642402341501	-0.238862196495178	0.114061476664982	"IS01"	1.30486193900273
"SPHAR"	"SPHAR"	1.15443579958495	0.0187032305511473	-0.0656882779310234	-0.105601148944702	-0.0818206999951612	-0.0550582550012192	-0.107529380704681	-0.0100379698773363	-0.0593602276230537	-0.117058796422251	"IS01"	1.15443579958495
"H2AFB3"	"H2AFB3"	1.02832634558025	-0.0543602273363066	-0.0257337006041592	-0.0418572435974311	0.173099117066473	-0.104424544364587	-0.214509192601806	0.140389682622252	0.00558051954867728	0.0462861562596531	"IS01"	1.02832634558025
"PDIA2"	"PDIA2"	1.01495876145566	-0.185143529689367	0.115261330507532	-0.097876454785767	0.239859246905458	-0.136435143685207	-0.105442443027265	0.100445769203328	-0.0822722510593325	-0.0323557583939423	"IS01"	1.01495876145566
"RNASEK.C17orf49"	"RNASEK.C17orf49"	0.982584148971792	-0.0263697391733994	-0.00931186118698766	-0.00526140264109017	0.0442862221125596	0.0930287423057014	-0.240157789671224	-0.0442418533874536	-0.0717657758797355	-0.0135197949884483	"IS01"	0.982584148971792
"C7orf61"	"C7orf61"	0.804122822949984	-0.237479960149272	-0.0854004260444709	0.019084682614091	0.329715286143319	-0.0843933966671419	-0.299204179045225	0.171447957538179	0.129699527606873	0.262472222148005	"IS01"	0.804122822949984
"FTCD"	"FTCD"	0.793536288238446	-0.196769867064767	0.515010175182296	-0.122473754994204	0.532352540030937	-0.107736767397616	-0.248136171358499	0.504850780596587	-0.0882256277479744	0.0739327112409609	"IS01"	0.793536288238446
"LCAT"	"LCAT"	0.772284843032026	0.138339344987834	0.0976496043538519	-0.149473982480178	0.317491678144315	0.426975495828751	-0.700663730803364	0.185392642809744	0.16674811732861	0.536007652792882	"IS01"	0.772284843032026
"TEX40"	"TEX40"	0.710117598471889	-0.209262015673178	-0.0631007963126535	-0.0679300429984168	0.136754044691756	-0.127250564269668	-0.159655102608931	0.470928464943392	-0.053653471182529	0.247258905061142	"IS01"	0.710117598471889
"SLC22A1"	"SLC22A1"	0.626652376342282	-0.159890425013043	0.315063794288822	-0.0263084512310409	0.0590698207060327	-0.0690111055108848	-0.383305697303841	0.155194688942433	0.372603350413408	0.326383106143575	"IS01"	0.626652376342282
"UTF1"	"UTF1"	0.562084467257429	0.12562957616395	-0.0979440050607225	0.204720896273931	0.0967731380941279	0.314505045316932	-0.330862852757644	0.0954211683791342	-0.145212297436484	-0.146531762016695	"IS01"	0.562084467257429
"UROC1"	"UROC1"	0.55779773131867	-0.0342637549725376	0.416526773546768	-0.0727902301132532	0.147427759948155	-0.0941091260372156	-0.240181385586939	0.44571968692576	-0.0386362875841699	0.195165185449534	"IS01"	0.55779773131867
"VAC14"	"VAC14"	0.258489080247305	-0.0826919655649461	-0.0168254394925267	0.0936060036749085	0.0565921178776943	-0.124955618970562	-0.0614946713699431	-0.0579671854125653	0.200241263892501	-0.0775751584727833	"IS01"	0.258489080247305
"TMEM100"	"TMEM100"	-0.210157040679775	1.60423293350073	-0.13656332628201	-0.181837377840714	0.150594145930515	0.543853644127203	-0.395371197651218	0.021289446235627	-0.223096811004302	-0.165953428684656	"IS02"	1.60423293350073
"ADH1A"	"ADH1A"	-0.220546713513345	1.20098705472834	0.614337038879468	-0.204357001017178	-0.225890569656757	0.533902751742582	-0.443751284843513	-0.0461687371164031	-0.524726794836763	0.420538967500994	"IS02"	1.20098705472834
"ITLN1"	"ITLN1"	-0.102451056210554	1.18818133478758	0.0953459265456183	-0.0524447757106374	0.304714847999494	0.0220315392786805	-0.220995335329701	-0.0506155250099847	-0.215762836366499	-0.0421574705740044	"IS02"	1.18818133478758
"ITLN2"	"ITLN2"	-0.00688508809445444	1.1681282967197	0.139138192624723	-0.166738977297385	0.305658336936614	-0.141282011705696	-0.175395048135647	0.2296475385384	-0.103402881696803	-0.0470140800003572	"IS02"	1.1681282967197
"STX11"	"STX11"	-0.50910566324171	1.09669244031028	-0.228542709662325	0.566130301201961	-0.271871801171294	0.389691025223699	-0.544963978139309	-0.0961761122282845	0.154985413035715	-0.103396817673757	"IS02"	1.09669244031028
"PRX"	"PRX"	-0.0898652599099404	1.07535538025193	-0.120449616322618	-0.253170461794058	0.538428981682539	0.663143632678892	-0.540263721005524	0.018092589267033	-0.196583459643918	0.22660410605304	"IS02"	1.07535538025193
"CLDN5"	"CLDN5"	0.349535063094122	1.06536671195114	-0.110045065043849	-0.175358378159837	-0.123769026062733	0.986085160942223	-0.588446117366798	-0.0210997325217679	-0.345220191865395	-0.0244389995869097	"IS02"	1.06536671195114
"HBG2"	"HBG2"	0.0532760142279826	1.03178680264204	0.0478928883842378	-0.131993148585643	0.13749075149374	0.216531560088247	-0.374928837303426	0.342227620687607	-0.153971397191996	0.130865247602297	"IS02"	1.03178680264204
"RXFP2"	"RXFP2"	-0.0458105889275293	0.960300334200234	-0.0272435502699813	-0.11368465107818	-0.101621585600862	0.105068560909019	-0.189990967988732	0.699548951768638	-0.0882350506484664	-0.165664867584338	"IS02"	0.960300334200234
"RSPO1"	"RSPO1"	-0.200068126979091	0.940767346242704	-0.206807150838289	-0.0325833461049128	0.150830500832778	0.780388193857233	-0.451970164863474	-0.108020524662417	-0.275232179563282	0.0119024304140127	"IS02"	0.940767346242704
