"ID"	"State"	"InitialState"
"983"	"TCGA.FD.A5BS.01A.21R.A26T.07"	"S01"	"IS04"
"984"	"TCGA.FD.A5BT.01A.11R.A26T.07"	"S01"	"IS04"
"985"	"TCGA.E7.A4IJ.01A.31R.A26T.07"	"S01"	"IS04"
"986"	"TCGA.E7.A541.01A.11R.A26T.07"	"S01"	"IS04"
"987"	"TCGA.K4.A54R.01A.11R.A26T.07"	"S01"	"IS04"
"988"	"TCGA.FD.A5BX.01A.11R.A26T.07"	"S01"	"IS04"
"989"	"TCGA.FD.A43U.01A.11R.A23W.07"	"S01"	"IS04"
"990"	"TCGA.FD.A43P.01A.31R.A23W.07"	"S01"	"IS04"
"991"	"TCGA.DK.A3WW.01A.22R.A23N.07"	"S01"	"IS04"
"992"	"TCGA.BT.A42F.01A.11R.A23W.07"	"S01"	"IS04"
"993"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"S01"	"IS04"
"994"	"TCGA.DK.A3WX.01A.22R.A22U.07"	"S01"	"IS04"
"995"	"TCGA.GC.A3WC.01A.31R.A22U.07"	"S01"	"IS04"
"996"	"TCGA.FD.A3B6.01A.21R.A20F.07"	"S01"	"IS04"
"997"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"S01"	"IS04"
"998"	"TCGA.K4.A5RJ.01A.11R.A28M.07"	"S01"	"IS04"
"999"	"TCGA.DK.A2I4.01A.11R.A21D.07"	"S01"	"IS04"
"1000"	"TCGA.G2.A2EO.01A.11R.A180.07"	"S01"	"IS04"
"1001"	"TCGA.BT.A20O.01A.21R.A14Y.07"	"S01"	"IS04"
"1002"	"TCGA.FD.A3B3.01A.12R.A206.07"	"S01"	"IS04"
"1003"	"TCGA.DK.A1AC.01A.11R.A13Y.07"	"S01"	"IS04"
"1004"	"TCGA.DK.A1A6.01A.11R.A13Y.07"	"S01"	"IS04"
"1005"	"TCGA.FD.A62N.01A.11R.A30C.07"	"S01"	"IS04"
"1006"	"TCGA.DK.A6B6.01A.11R.A30C.07"	"S01"	"IS04"
"1007"	"TCGA.GU.A766.01A.11R.A32O.07"	"S01"	"IS04"
"1008"	"TCGA.UY.A78K.01A.11R.A33J.07"	"S01"	"IS04"
"1009"	"TCGA.GU.A762.01A.11R.A33J.07"	"S01"	"IS04"
"1010"	"TCGA.E7.A7XN.01A.11R.A352.07"	"S01"	"IS04"
"1011"	"TCGA.UY.A78P.01A.12R.A36F.07"	"S01"	"IS04"
"1012"	"TCGA.UY.A9PH.01A.11R.A38B.07"	"S01"	"IS04"
"1013"	"TCGA.ZF.A9R7.01A.11R.A38B.07"	"S01"	"IS04"
"1014"	"TCGA.SY.A9G5.01A.11R.A38B.07"	"S01"	"IS04"
"1015"	"TCGA.E7.A97P.01A.11R.A38B.07"	"S01"	"IS04"
"1016"	"TCGA.4Z.AA81.01A.11R.A39I.07"	"S01"	"IS04"
"1017"	"TCGA.4Z.AA7W.01A.11R.A39I.07"	"S01"	"IS04"
"1018"	"TCGA.XF.A9T8.01A.11R.A39I.07"	"S01"	"IS04"
"1019"	"TCGA.DK.AA6Q.01A.11R.A39I.07"	"S01"	"IS04"
"1020"	"TCGA.ZF.A9RD.01A.11R.A42T.07"	"S01"	"IS04"
