"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"CD79A"	"CD79A"	0.0874264992649099	-0.169833062235819	-0.160709214088686	-0.162513252633558	-0.132080295442613	0.15600104258658	2.32754373120446	-0.246242484137232	0.245960519832759	-0.195880672634369	-0.927661497619304	0.00116472979574802	-0.303015544553345	-0.111166219444362	"S01"	2.32754373120446	"IS07"
"FCRL5"	"FCRL5"	0.0778980747796261	0.151250818916102	-0.196561128550498	-0.0933216950535207	-0.079791919770557	0.116595518810728	2.1929898952606	-0.172270584857056	0.325923547134131	-0.310120453309958	-0.942866460525157	-0.0208895788975385	-0.150767025665529	0.0419117914631003	"S01"	2.1929898952606	"IS07"
"POU2AF1"	"POU2AF1"	0.00290804140043944	-0.041303318788183	-0.0284087899587688	-0.104514288250196	-0.0340788194726249	0.338018723356001	2.07117492917228	-0.0738611205426111	0.195434320092052	-0.326873295583617	-0.8113388242813	-0.0563198878319152	-0.228440289413003	-0.0444039349420841	"S01"	2.07117492917228	"IS07"
"TNFRSF13B"	"TNFRSF13B"	0.150892858212787	-0.118071659249363	-0.215681246282975	-0.235924823182313	-0.21125557759516	0.205470420683571	2.02203114391764	-0.0490779086468489	0.305301777109788	-0.245245275020836	-0.854582810318185	0.0296514762668822	-0.300858403057608	0.0390021956724125	"S01"	2.02203114391764	"IS07"
"TNFRSF17"	"TNFRSF17"	0.278729301785453	-0.0802661007216244	-0.195371711344345	-0.168064672706923	-0.162955719201123	0.237366241033817	1.99783033160563	0.0518728620583245	0.325583462064449	-0.0918948968363162	-1.04325650889395	-0.0392096387244064	-0.248054096190199	-0.102781749762139	"S01"	1.99783033160563	"IS07"
"CD79B"	"CD79B"	-0.07147653410723	-0.109273295965767	-0.200131338958448	-0.187405995686016	-0.14017832878271	0.00617522909355885	1.99315616916077	-0.0441616314150462	0.280819505155697	-0.224358315179331	-0.738961799024355	0.0867324690479946	-0.339189013787765	-0.163346282489423	"S01"	1.99315616916077	"IS07"
"CD27"	"CD27"	0.0396755352637516	-0.119151115012599	-0.255677108229824	-0.216155852699658	-0.139007492527239	0.143860849047228	1.98915185922871	-0.209557195354015	0.736343063482521	-0.166336926078275	-1.02296160643891	0.0361435523798994	-0.230062479995933	-0.0552080598013779	"S01"	1.98915185922871	"IS07"
"IRF4"	"IRF4"	0.174829883001441	-0.163597782673297	-0.15808348796715	-0.203388915390311	-0.128597704697905	0.14082861903694	1.95770177927672	0.0787675838940445	0.7114734050211	-0.335180173786422	-1.03022091692529	0.102908624498358	-0.187614124386972	-0.0567373637967644	"S01"	1.95770177927672	"IS07"
"FCRL2"	"FCRL2"	-0.045563072817439	0.22256283208116	-0.208079824809704	-0.0982449538383919	0.0196460609386665	-0.00716182911729798	1.95760131553713	-0.148978418291435	0.151986972398266	-0.398695186883783	-0.663872983947016	-0.102954181328906	-0.141786550645121	0.288239245280393	"S01"	1.95760131553713	"IS07"
"IGLL5"	"IGLL5"	0.131427650466883	-0.158518617563361	-0.152004599461948	-0.138003866796021	-0.0711750687113268	0.175712516820619	1.95549825462756	-0.121006242436169	0.265587438725952	-0.0906820751061432	-0.947583750816887	0.0245533583648612	-0.198274670037963	-0.149724147775341	"S01"	1.95549825462756	"IS07"
