"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CPM"	"CPM"	-1.01845055483818
"TFF2"	"TFF2"	-0.519997174481942
"RAB3IP"	"RAB3IP"	0.562362730882144
"PGC"	"PGC"	-0.134559703090277
"CEACAM21"	"CEACAM21"	0.116702347631354
"ADPRHL1"	"ADPRHL1"	-0.563373124804519
"CIDEB"	"CIDEB"	-1.06606874687217
"HCK"	"HCK"	0.596142250993141
"PSAPL1"	"PSAPL1"	-0.482710038753805
"SLC26A3"	"SLC26A3"	-0.196162367990255
"GKN2"	"GKN2"	-0.297242580302941
"FEV"	"FEV"	-0.23884047297854
"SRGN"	"SRGN"	-0.353314071167755
"GHRL"	"GHRL"	-0.77650389980266
"UGT2B17"	"UGT2B17"	0.261288294585362
"KIF19"	"KIF19"	-0.224018893328132
"CLC"	"CLC"	-0.118203416160175
"RP11.812E19.9"	"RP11.812E19.9"	-0.456232674181908
"PIK3CG"	"PIK3CG"	-0.721752013632818
"TMCO3"	"TMCO3"	0.833256539059188
"POU2AF1"	"POU2AF1"	0.248519310495851
"NSMCE4A"	"NSMCE4A"	0.0242554868475344
"MZB1"	"MZB1"	-0.183131787129417
"TNFRSF17"	"TNFRSF17"	-0.552092913229469
"C11orf86"	"C11orf86"	-0.268983698135625
"JCHAIN"	"JCHAIN"	-0.312558319775755
"TM6SF2"	"TM6SF2"	-0.604902859771072
"HLA.DQB1"	"HLA.DQB1"	-0.108747234891293
"TAC4"	"TAC4"	-0.454233815256976
"LAX1"	"LAX1"	0.31523570460668
"P2RY10"	"P2RY10"	-0.371314311344106
"LRRC19"	"LRRC19"	-0.0859990605075271
"WISP1"	"WISP1"	-0.0685323811149273
"TMIGD1"	"TMIGD1"	-0.285634769836859
"SCGB2B2"	"SCGB2B2"	-0.448028537785221
"IGLL5"	"IGLL5"	-0.628179476125066
"VNN2"	"VNN2"	-0.0104432369552831
"EMILIN1"	"EMILIN1"	0.447419828052608
"PGA3"	"PGA3"	-0.185376083388149
"KCNA3"	"KCNA3"	1.11725919799039
"IRF4"	"IRF4"	0.0213476418114794
"CD79A"	"CD79A"	-0.302642180271371
"FGD2"	"FGD2"	-1.05691650076623
"SLAMF7"	"SLAMF7"	-0.691915543339492
"DERL3"	"DERL3"	0.0332372192130708
"DHRS9"	"DHRS9"	-0.380182523558605
"LMX1A"	"LMX1A"	-0.185764035866048
"HLA.DPA1"	"HLA.DPA1"	-0.525118446316005
"SLC18A1"	"SLC18A1"	-0.476380120620103
"TNFRSF13B"	"TNFRSF13B"	0.261702920283032
"BFSP2"	"BFSP2"	0.114463788702112
"RGS1"	"RGS1"	0.0133975891642776
"DOK3"	"DOK3"	0.198047667858016
"FABP2"	"FABP2"	-0.086582337566841
"FCRL5"	"FCRL5"	-0.384275396708473
"WNT5B"	"WNT5B"	-0.471039575722532
"SOSTDC1"	"SOSTDC1"	-0.12348979629586
"ATP4A"	"ATP4A"	-0.232369264908642
"HDAC9"	"HDAC9"	-0.42786238679113
"ERICH4"	"ERICH4"	-0.128065329499557
"KATNBL1"	"KATNBL1"	0.275994565641162
"ALOX15B"	"ALOX15B"	-0.306561996724029
"NFE2L2"	"NFE2L2"	1.5941944097455
"FABP7"	"FABP7"	-0.306371008483131
"RBP2"	"RBP2"	-0.21175376796216
