"ID"	"State"	"InitialState"
"1299"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"S01"	"IS07"
"1300"	"TCGA.FD.A5BR.01A.11R.A26T.07"	"S01"	"IS07"
"1301"	"TCGA.FD.A5BS.01A.21R.A26T.07"	"S01"	"IS07"
"1302"	"TCGA.FD.A43U.01A.11R.A23W.07"	"S01"	"IS07"
"1303"	"TCGA.FD.A43S.01A.21R.A23W.07"	"S01"	"IS07"
"1304"	"TCGA.FD.A43P.01A.31R.A23W.07"	"S01"	"IS07"
"1305"	"TCGA.K4.A3WU.01B.11R.A23N.07"	"S01"	"IS07"
"1306"	"TCGA.BT.A42F.01A.11R.A23W.07"	"S01"	"IS07"
"1307"	"TCGA.GV.A3QG.01A.11R.A220.07"	"S01"	"IS07"
"1308"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"S01"	"IS07"
"1309"	"TCGA.GC.A3WC.01A.31R.A22U.07"	"S01"	"IS07"
"1310"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"S01"	"IS07"
"1311"	"TCGA.GD.A2C5.11A.11R.A180.07"	"S01"	"IS07"
"1312"	"TCGA.BT.A20Q.01A.11R.A14Y.07"	"S01"	"IS07"
"1313"	"TCGA.FD.A3B4.01A.12R.A206.07"	"S01"	"IS07"
"1314"	"TCGA.FD.A3B3.01A.12R.A206.07"	"S01"	"IS07"
"1315"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"S01"	"IS07"
"1316"	"TCGA.GC.A6I1.01A.12R.A31N.07"	"S01"	"IS07"
"1317"	"TCGA.LC.A66R.01A.41R.A30C.07"	"S01"	"IS07"
"1318"	"TCGA.GD.A76B.01A.11R.A32O.07"	"S01"	"IS07"
"1319"	"TCGA.UY.A78K.01A.11R.A33J.07"	"S01"	"IS07"
"1320"	"TCGA.FD.A6TA.01A.12R.A33J.07"	"S01"	"IS07"
"1321"	"TCGA.FD.A6TD.01A.51R.A33J.07"	"S01"	"IS07"
"1322"	"TCGA.FD.A6TB.01A.12R.A33J.07"	"S01"	"IS07"
"1323"	"TCGA.GU.A764.01A.11R.A352.07"	"S01"	"IS07"
"1324"	"TCGA.K4.A83P.01A.11R.A352.07"	"S01"	"IS07"
"1325"	"TCGA.UY.A9PB.01A.11R.A38B.07"	"S01"	"IS07"
"1326"	"TCGA.XF.A9SL.01A.11R.A39I.07"	"S01"	"IS07"
"1327"	"TCGA.DK.AA6T.01A.11R.A39I.07"	"S01"	"IS07"
