"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"MEDAG__pos"	1.27442422732714	6.46249009419599	46.2893549426196	2.22044604925031e-16	41.1787346311427
"QRSL1__pos"	9.80351588641462	32.2447765373066	44.6787843907208	17.0520674787101	12.3061634985095
"RNASE3__pos"	7.59406399801724	20.7245242494725	56.09020816655	9.46371127552478	23.4761746847352
"AKR1C4__pos"	9.57147305857862	21.5268994692905	1.42177828520334	88.1218741555198	9.10236334204764
"CCL24__pos"	2.22044604925031e-16	2.22044604925031e-16	33.491399345757	41.8711231106946	14.8648304767861
"MMP8__pos"	2.69794612785872	2.46560428792617	79.7822287956334	14.0651756606603	3.51670549895401
"ELANE__pos"	24.9827912439768	7.50043482221736	20.869191655545	2.16999256504117	76.4087987683586
"MPO__pos"	19.0686136988919	11.5716715352998	45.676027328877	14.3846147105812	39.2687230573282
"CH507.396I9.6__pos"	80.5071444152042	0.0128364739853681	12.2245966275137	2.22044604925031e-16	40.640736929752
"CXCL5__pos"	2.22044604925031e-16	2.22044604925031e-16	51.6974397232741	56.6768638907007	5.47137890693233
"GIMAP5__pos"	1.36122564535657	2.45895306958596	49.5697001611625	2.22044604925031e-16	44.9906273494289
"DEFA1B__pos"	5.5062229511137	2.22044604925031e-16	16.2073931825822	30.1148690483003	55.4827281424966
"DRC7__pos"	156.195404430157	2.22044604925031e-16	2.22044604925031e-16	10.8310529243493	2.22044604925031e-16
"MS4A3__pos"	15.3896174905662	21.3592728874979	49.7885712629506	10.5891620488457	30.131041273634
"VWA3B__pos"	100.061491615565	8.3410747932474	12.7446057945102	28.6294186654276	2.13592428853765
"AGER__pos"	43.897093830677	16.135696182244	1.39369247649515	14.556795828158	49.1568954768315
"C8B__pos"	8.14314181424623	2.22044604925031e-16	2.22044604925031e-16	101.796034528294	10.6612774220303
"F11__pos"	29.1984670459762	3.02871827144866	2.22044604925031e-16	66.0727563111771	30.7357377529863
"DEFA1__pos"	12.5177422982641	4.32959391381503	15.3341614845171	26.089552415105	53.3559017727293
"ATP10A__pos"	1.86169799599109	0.947709203185009	54.0367701913489	2.22044604925031e-16	10.9988108470813
"REG3A__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	93.5970952728519	2.22044604925031e-16
"ANKRD1__pos"	10.9648612772255	2.22044604925031e-16	35.9004266361526	1.32861432118159	31.967728942857
"IL6__pos"	2.22044604925031e-16	2.22044604925031e-16	39.6450022500571	4.10796648337653e-11	55.7608334949622
"FAM216B__pos"	115.443067508578	2.22044604925031e-16	1.79857158652801	2.22044604925031e-16	9.05751968519821
"PTX3__pos"	2.22044604925031e-16	2.22044604925031e-16	29.2463978501385	1.33494148684054e-07	53.8665246434515
