"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"C20orf85"	"C20orf85"	1.74806048756932	-0.266276818176596	-0.193569653795527	-0.086757961817013	-0.0878835373619961	"S01"	1.74806048756932	"IS01"
"DRC7"	"DRC7"	1.7456565822473	-0.370757726393648	-0.13178611129045	0.105704488661729	-0.0485635976524579	"S01"	1.7456565822473	"IS01"
"DNAI2"	"DNAI2"	1.68699167990752	-0.346891126585877	-0.136447335594065	-0.112157547685944	0.0126681108419044	"S01"	1.68699167990752	"IS01"
"TMEM190"	"TMEM190"	1.59704040259284	-0.248375999817433	-0.150997396638758	-0.0586011019113529	-0.111098400055714	"S01"	1.59704040259284	"IS01"
"FAM216B"	"FAM216B"	1.43061080400719	-0.414621859658699	-0.0717887279180263	-0.106545963471035	0.162981314438169	"S01"	1.43061080400719	"IS01"
"VWA3B"	"VWA3B"	1.3499840763215	-0.34995651645877	-0.0296511976420548	0.195805128515167	-0.0581693741930653	"S01"	1.3499840763215	"IS01"
"DTHD1"	"DTHD1"	1.09981542187259	-0.570028433161977	0.354332575246779	-0.137010996447075	0.047083305567468	"S01"	1.09981542187259	"IS01"
"CH507.396I9.6"	"CH507.396I9.6"	1.04424127010051	-0.492699650375985	-0.0366869938104392	-0.184865958153987	0.455562683002998	"S01"	1.04424127010051	"IS01"
"GRIN3B"	"GRIN3B"	1.00764191724283	-0.248752963266113	0.0797937694375173	-0.0384033378846537	-0.136617744251069	"S01"	1.00764191724283	"IS01"
"TEX26"	"TEX26"	0.922141767035421	-0.406509226352766	-0.0403722740001777	-0.100846701880267	0.344280734204123	"S01"	0.922141767035421	"IS01"
"KIR3DX1"	"KIR3DX1"	0.643009348986497	-0.288444964847953	0.0973592084238751	0.0206117920921838	0.0597961325003173	"S01"	0.643009348986497	"IS01"
"SCGB1A1"	"SCGB1A1"	0.628365549929163	-0.153368911074236	-0.0965799419897745	-0.0900493686365106	0.119339164587798	"S01"	0.628365549929163	"IS01"
"PCSK5"	"PCSK5"	0.601025778852492	-0.252074107217047	0.0207997808303187	0.0338252211201173	0.111090085524711	"S01"	0.601025778852492	"IS01"
"PRTN3"	"PRTN3"	0.582870483442581	-0.0917179882952296	-0.0778510252941687	-0.0604248190858485	0.0025609864513402	"S01"	0.582870483442581	"IS01"
"CNTN5"	"CNTN5"	0.547739393524419	-0.098729042176413	-0.0397403922236072	-0.0716955398244092	-0.0142377833431569	"S01"	0.547739393524419	"IS01"
"TNR"	"TNR"	0.47612354323695	-0.397686261278243	0.074918192151517	0.0795056264466489	0.333329088388059	"S01"	0.47612354323695	"IS01"
"CCDC173"	"CCDC173"	0.456930229915832	-0.222885346729356	-0.0822883508914761	0.0607522098783545	0.25171582066529	"S01"	0.456930229915832	"IS01"
"CTD.3088G3.8"	"CTD.3088G3.8"	0.412967173033801	-0.258228658029155	0.065224205000586	0.162823968353149	0.111944489786316	"S01"	0.412967173033801	"IS01"
"ATG5"	"ATG5"	0.132748703888046	-0.0350996373284608	0.0800832793483746	-0.041491671077802	-0.0913590824806357	"S01"	0.132748703888046	"IS01"
"HCCS"	"HCCS"	0.113552673339965	-0.0230800585849156	-0.0102407244980723	-0.0215565980849521	0.0061469902059592	"S01"	0.113552673339965	"IS01"
"RREB1"	"RREB1"	0.109555564224517	-0.101531817592479	0.0534913709169768	0.0401578009064125	0.0406009134540454	"S01"	0.109555564224517	"IS01"
"PGAM4"	"PGAM4"	0.109194920140108	0.0524401232605701	-0.173615572185639	0.00380403133229928	0.0803342990117395	"S01"	0.109194920140108	"IS01"
"ARPC2"	"ARPC2"	0.0506598401610332	-0.0579796767198715	0.031269348711549	0.0327422619182395	0.0247244710325971	"S01"	0.0506598401610332	"IS01"
"SDPR"	"SDPR"	0.0596050744385951	-0.514073281321818	-0.236097472870433	-0.285449466001721	1.23683615019168	"S02"	1.23683615019168	"IS05"
"HBB"	"HBB"	0.0773029864226315	-0.556446745779405	-0.215304022014342	-0.0483541845132329	1.19951424920677	"S02"	1.19951424920677	"IS05"
"HBA2"	"HBA2"	0.0938829071980757	-0.517727409805272	-0.247305616455098	-0.0434170249579196	1.1652708214145	"S02"	1.1652708214145	"IS05"
"FIGF"	"FIGF"	0.107526116980937	-0.486754182306561	-0.272142539479122	-0.0956965327312928	1.15440790051184	"S02"	1.15440790051184	"IS05"
"GPIHBP1"	"GPIHBP1"	0.0747710027546242	-0.518491451247055	-0.166633315720116	-0.24429198373861	1.13569867784297	"S02"	1.13569867784297	"IS05"
"HBA1"	"HBA1"	0.0740121155776491	-0.494998539150335	-0.239919842691564	-0.0245768654436879	1.12055847450413	"S02"	1.12055847450413	"IS05"
"ELANE"	"ELANE"	0.235900414239239	-0.620819912872575	-0.00236942271201549	-0.143855938357002	0.993318599824534	"S02"	0.993318599824534	"IS05"
"TMEM100"	"TMEM100"	-0.0664207052274302	-0.428539809244671	-0.0885044468728886	-0.115327252169711	0.908395324135419	"S02"	0.908395324135419	"IS05"
"ADAMTS8"	"ADAMTS8"	0.199625844549861	-0.473615244983086	-0.114551085309886	-0.113733652516775	0.893742104312756	"S02"	0.893742104312756	"IS05"
"EDNRB"	"EDNRB"	0.102194012867473	-0.525020596005193	-0.0212827131800804	0.071150716840159	0.849361670593699	"S02"	0.849361670593699	"IS05"
"SCN7A"	"SCN7A"	0.114472358709349	-0.494489253418747	-0.00486806165777216	-0.171155981715405	0.846998550753028	"S02"	0.846998550753028	"IS05"
