"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"MEDAG"	"MEDAG"	0.620881567589581
"QRSL1"	"QRSL1"	0.111097799721119
"RNASE3"	"RNASE3"	-1.34592110559713
"AKR1C4"	"AKR1C4"	-0.59377422796752
"CCL24"	"CCL24"	-0.198027675054972
"MMP8"	"MMP8"	0.222953640119257
"ELANE"	"ELANE"	-0.710319247089136
"MPO"	"MPO"	0.117991687917162
"CH507.396I9.6"	"CH507.396I9.6"	-0.669395965560366
"CXCL5"	"CXCL5"	-0.509469223820471
"GIMAP5"	"GIMAP5"	-0.755826650461056
"DEFA1B"	"DEFA1B"	-0.484678721468474
"DRC7"	"DRC7"	-0.498294976506013
"MS4A3"	"MS4A3"	0.726436205467519
"VWA3B"	"VWA3B"	-0.468325603497957
"AGER"	"AGER"	-0.552685171229149
"C8B"	"C8B"	-0.275279068140591
"F11"	"F11"	-0.358684366576843
"DEFA1"	"DEFA1"	-0.522299669251119
"ATP10A"	"ATP10A"	-0.224706673988516
"REG3A"	"REG3A"	-0.0740493259299864
"ANKRD1"	"ANKRD1"	-0.558510116277077
"IL6"	"IL6"	0.338348626014145
"FAM216B"	"FAM216B"	0.468642513051765
"PTX3"	"PTX3"	-0.102568750909787
"C5AR1"	"C5AR1"	-0.725279237820122
"RP11.96O20.4"	"RP11.96O20.4"	-0.209158411065749
"KATNBL1"	"KATNBL1"	-0.393396910238898
"KLRC4"	"KLRC4"	0.0299841140141094
"GRAMD1B"	"GRAMD1B"	0.0549566939931617
"REG1B"	"REG1B"	-0.0643009759762915
"GRIN3B"	"GRIN3B"	-0.0632243254117894
"ALAS2"	"ALAS2"	1.01399491241601
"RAB5C"	"RAB5C"	-0.498339104989395
"NCR1"	"NCR1"	-0.290582961653457
"GSX1"	"GSX1"	-0.0904485301204841
"DTHD1"	"DTHD1"	-0.502321659729177
"AC011513.3"	"AC011513.3"	-0.139064288628682
"TMIGD3"	"TMIGD3"	0.118720964148824
"HBB"	"HBB"	-0.328934886379396
"CD69"	"CD69"	-0.518221774768414
"AZU1"	"AZU1"	-0.200657637576866
"DAZL"	"DAZL"	-0.243538947540202
"ADH4"	"ADH4"	-0.133636888508379
"STXBP1"	"STXBP1"	-0.290797084454189
"C8A"	"C8A"	-0.249484126400649
"TGIF2LY"	"TGIF2LY"	-0.193602083334776
"COL15A1"	"COL15A1"	-0.228729903108472
"HBA2"	"HBA2"	-0.00222403372781366
"PGLYRP1"	"PGLYRP1"	-0.696162087567044
"TMEM190"	"TMEM190"	0.113443397883789
"AADACL4"	"AADACL4"	-0.405309152074889
"HBA1"	"HBA1"	-0.512295208632391
"RGS18"	"RGS18"	1.20325923682824
"OPN3"	"OPN3"	0.0177487838858398
"CYP2C9"	"CYP2C9"	-0.188627925054447
"AKAP4"	"AKAP4"	-0.0736489775679535
"TMX2.CTNND1"	"TMX2.CTNND1"	-0.397111264327784
"AKAP12"	"AKAP12"	-0.331440383116713
"RNASE6"	"RNASE6"	1.96548499751187
"FPR2"	"FPR2"	-0.156175069219238
"LRRC28"	"LRRC28"	-0.733542877407447
"OR10K2"	"OR10K2"	-0.0975730404529012
"CPB2"	"CPB2"	-0.521832666272176
"CYP3A7"	"CYP3A7"	1.17154266124772
"KIR3DX1"	"KIR3DX1"	-1.28106823851945
"SCGB1A1"	"SCGB1A1"	-0.178751856650234
"LRRC32"	"LRRC32"	-0.379027262554663
"WISP1"	"WISP1"	3.69393281639267
"CAPZA2"	"CAPZA2"	0.830938537868442
"SPINK4"	"SPINK4"	-0.184649526453221
"SIRPB1"	"SIRPB1"	-0.104013022258609
"TPM3"	"TPM3"	-0.6783303729901
"MMP12"	"MMP12"	-0.44359120623913
"PRF1"	"PRF1"	-0.803714559514574
"DKK2"	"DKK2"	-0.173564941084389
"CYBB"	"CYBB"	0.192856155174859
"OR5F1"	"OR5F1"	-0.0968540650801237
"OR8H2"	"OR8H2"	-0.0836658980638656
"SCN7A"	"SCN7A"	-0.24075220001523
"NRGN"	"NRGN"	-0.747475711875943
"STX11"	"STX11"	0.973161744081915
