"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"C20orf85"	"C20orf85"	1.74806048756932	-0.266276818176596	-0.193569653795527	-0.086757961817013	-0.0878835373619961	"IS01"	1.74806048756932
"DRC7"	"DRC7"	1.7456565822473	-0.370757726393648	-0.13178611129045	0.105704488661729	-0.0485635976524579	"IS01"	1.7456565822473
"DNAI2"	"DNAI2"	1.68699167990752	-0.346891126585877	-0.136447335594065	-0.112157547685944	0.0126681108419044	"IS01"	1.68699167990752
"TMEM190"	"TMEM190"	1.59704040259284	-0.248375999817433	-0.150997396638758	-0.0586011019113529	-0.111098400055714	"IS01"	1.59704040259284
"FAM216B"	"FAM216B"	1.43061080400719	-0.414621859658699	-0.0717887279180263	-0.106545963471035	0.162981314438169	"IS01"	1.43061080400719
"VWA3B"	"VWA3B"	1.3499840763215	-0.34995651645877	-0.0296511976420548	0.195805128515167	-0.0581693741930653	"IS01"	1.3499840763215
"BMP15"	"BMP15"	1.17918461203422	-0.291239658389575	-0.0705182342879304	-0.0151347570373587	0.040120048655204	"IS01"	1.17918461203422
"DTHD1"	"DTHD1"	1.09981542187259	-0.570028433161977	0.354332575246779	-0.137010996447075	0.047083305567468	"IS01"	1.09981542187259
"CH507.396I9.6"	"CH507.396I9.6"	1.04424127010051	-0.492699650375985	-0.0366869938104392	-0.184865958153987	0.455562683002998	"IS01"	1.04424127010051
"GRIN3B"	"GRIN3B"	1.00764191724283	-0.248752963266113	0.0797937694375173	-0.0384033378846537	-0.136617744251069	"IS01"	1.00764191724283
"TEX26"	"TEX26"	0.922141767035421	-0.406509226352766	-0.0403722740001777	-0.100846701880267	0.344280734204123	"IS01"	0.922141767035421
"AZU1"	"AZU1"	0.829057737106692	-0.143829641835237	-0.0952862768756507	-0.119375034034585	0.0171685919853759	"IS01"	0.829057737106692
"GLT6D1"	"GLT6D1"	0.778751810607823	-0.13404803637216	-0.0747988200975102	-0.0531625163874543	-0.0229707387618814	"IS01"	0.778751810607823
"OR2AP1"	"OR2AP1"	0.760854771621305	-0.0833799283630373	-0.0925559646948847	-0.0271478183270924	-0.0862553525345118	"IS01"	0.760854771621305
"PRG3"	"PRG3"	0.752032455638616	-0.134959894825116	-0.0647351276819161	-0.0063687941908629	-0.0365235596991234	"IS01"	0.752032455638616
"OR5F1"	"OR5F1"	0.715690305501124	-0.113788269287001	-0.0571117528198983	0.0152573467344129	-0.07209248746152	"IS01"	0.715690305501124
"OR10K2"	"OR10K2"	0.694736496929484	-0.110737731953287	-0.0259808523850054	-0.0699418544188876	-0.0804453247485075	"IS01"	0.694736496929484
"OR8H2"	"OR8H2"	0.674369972038442	-0.121769211142136	-0.042993804513858	-0.00575788570265616	-0.0506799131708811	"IS01"	0.674369972038442
"KIR3DX1"	"KIR3DX1"	0.643009348986497	-0.288444964847953	0.0973592084238751	0.0206117920921838	0.0597961325003173	"IS01"	0.643009348986497
"SCGB1A1"	"SCGB1A1"	0.628365549929163	-0.153368911074236	-0.0965799419897745	-0.0900493686365106	0.119339164587798	"IS01"	0.628365549929163
"GSX1"	"GSX1"	0.607213349116993	-0.0652909184416462	-0.0648280777264653	-0.0172195486069339	-0.0838953039753426	"IS01"	0.607213349116993
"PCSK5"	"PCSK5"	0.601025778852492	-0.252074107217047	0.0207997808303187	0.0338252211201173	0.111090085524711	"IS01"	0.601025778852492
"GYPB"	"GYPB"	0.58313945168064	-0.332300574404192	-0.0341807698570332	-0.0789880521974189	0.361387179851419	"IS01"	0.58313945168064
"PRTN3"	"PRTN3"	0.582870483442581	-0.0917179882952296	-0.0778510252941687	-0.0604248190858485	0.0025609864513402	"IS01"	0.582870483442581
"CNTN5"	"CNTN5"	0.547739393524419	-0.098729042176413	-0.0397403922236072	-0.0716955398244092	-0.0142377833431569	"IS01"	0.547739393524419
"TNR"	"TNR"	0.47612354323695	-0.397686261278243	0.074918192151517	0.0795056264466489	0.333329088388059	"IS01"	0.47612354323695
"CCDC173"	"CCDC173"	0.456930229915832	-0.222885346729356	-0.0822883508914761	0.0607522098783545	0.25171582066529	"IS01"	0.456930229915832
"CTD.3088G3.8"	"CTD.3088G3.8"	0.412967173033801	-0.258228658029155	0.065224205000586	0.162823968353149	0.111944489786316	"IS01"	0.412967173033801
"OR4D11"	"OR4D11"	0.348096325416697	-0.0689518993250949	-0.0220487472038495	0.07114228904988	-0.0392859906110299	"IS01"	0.348096325416697
"BHLHA9"	"BHLHA9"	0.24499082289818	0.00669777644979967	-0.134541227671144	-0.0573147114359529	0.0641398899330532	"IS01"	0.24499082289818
