"ID"	"State"	"InitialState"
"1"	"TCGA.C4.A0EZ.01A.21R.A24X.07"	"S01"	"IS01"
"2"	"TCGA.CU.A3YL.01A.11R.A22U.07"	"S01"	"IS01"
"3"	"TCGA.GC.A3WC.01A.31R.A22U.07"	"S01"	"IS01"
"4"	"TCGA.GD.A3OS.01A.12R.A220.07"	"S01"	"IS01"
"5"	"TCGA.DK.A3IV.01A.22R.A21D.07"	"S01"	"IS01"
"6"	"TCGA.BL.A3JM.01A.12R.A21D.07"	"S01"	"IS01"
"7"	"TCGA.BT.A2LA.01A.11R.A18C.07"	"S01"	"IS01"
"8"	"TCGA.BL.A13J.01A.11R.A10U.07"	"S01"	"IS01"
"9"	"TCGA.GC.A6I3.01A.11R.A31N.07"	"S01"	"IS01"
"10"	"TCGA.S5.A6DX.01A.11R.A31N.07"	"S01"	"IS01"
"11"	"TCGA.GC.A6I3.11A.11R.A31N.07"	"S01"	"IS01"
"12"	"TCGA.E5.A4U1.01A.11R.A31N.07"	"S01"	"IS01"
"13"	"TCGA.E7.A677.01A.11R.A30C.07"	"S01"	"IS01"
"14"	"TCGA.E7.A6ME.01A.22R.A32O.07"	"S01"	"IS01"
"15"	"TCGA.FD.A6TE.01A.12R.A33J.07"	"S01"	"IS01"
"16"	"TCGA.UY.A78N.01A.12R.A33J.07"	"S01"	"IS01"
"17"	"TCGA.E7.A7PW.01A.11R.A352.07"	"S01"	"IS01"
"18"	"TCGA.UY.A8OD.01A.11R.A36F.07"	"S01"	"IS01"
"19"	"TCGA.ZF.A9R7.01A.11R.A38B.07"	"S01"	"IS01"
"20"	"TCGA.E7.A97Q.01A.11R.A38B.07"	"S01"	"IS01"
"21"	"TCGA.ZF.A9R1.01A.11R.A39I.07"	"S01"	"IS01"
"22"	"TCGA.DK.AA6W.01A.12R.A39I.07"	"S01"	"IS01"
"23"	"TCGA.XF.AAMG.01A.11R.A42T.07"	"S01"	"IS01"
"24"	"TCGA.DK.AA6X.01A.12R.A42T.07"	"S01"	"IS01"
"25"	"TCGA.XF.A9T2.01A.11R.A42T.07"	"S01"	"IS01"
"26"	"TCGA.XF.A9T0.01A.11R.A39I.07"	"S01"	"IS01"
"27"	"TCGA.A7.A4SA.01A.11R.A266.07"	"S01"	"IS01"
"28"	"TCGA.B6.A3ZX.01A.11R.A239.07"	"S01"	"IS01"
"29"	"TCGA.B6.A408.01A.12R.A24H.07"	"S01"	"IS01"
"30"	"TCGA.B6.A40B.01A.11R.A239.07"	"S01"	"IS01"
"31"	"TCGA.B6.A401.01A.11R.A239.07"	"S01"	"IS01"
"32"	"TCGA.A8.A083.01A.21R.A00Z.07"	"S01"	"IS01"
"33"	"TCGA.A8.A08Z.01A.21R.A00Z.07"	"S01"	"IS01"
"34"	"TCGA.GM.A2DO.01A.11R.A18M.07"	"S01"	"IS01"
"35"	"TCGA.A8.A08G.01A.11R.A00Z.07"	"S01"	"IS01"
"36"	"TCGA.OL.A5D8.01A.11R.A27Q.07"	"S01"	"IS01"
"37"	"TCGA.E2.A570.01A.11R.A29R.07"	"S01"	"IS01"
"38"	"TCGA.LL.A5YO.01A.21R.A28M.07"	"S01"	"IS01"
"39"	"TCGA.AR.A2LR.01A.12R.A18M.07"	"S01"	"IS01"
