"NK.cells_S03"	"Monocytes.and.Macrophages_S06"	"Dendritic.cells_S08"	"Mast.cells_S05"	"PMNs_S03"	"Fibroblasts_S03"	"Endothelial.cells_S02"	"Epithelial.cells_S03"	"Monocytes.and.Macrophages_S07"	"Dendritic.cells_S07"	"Fibroblasts_S08"	"Epithelial.cells_S01"	"CD8.T.cells_S02"	"Monocytes.and.Macrophages_S04"	"Dendritic.cells_S02"	"Mast.cells_S06"	"Dendritic.cells_S04"	"Fibroblasts_S01"	"Endothelial.cells_S05"	"B.cells_S02"	"PCs_S03"	"NK.cells_S05"	"Fibroblasts_S06"	"B.cells_S03"	"CD4.T.cells_S04"	"Monocytes.and.Macrophages_S05"	"Dendritic.cells_S05"	"Mast.cells_S01"	"PMNs_S02"	"Fibroblasts_S02"	"Endothelial.cells_S01"	"Epithelial.cells_S02"	"PCs_S06"	"CD4.T.cells_S06"	"Monocytes.and.Macrophages_S08"	"Fibroblasts_S04"	"B.cells_S04"	"CD4.T.cells_S07"	"Monocytes.and.Macrophages_S09"	"Mast.cells_S03"	"Fibroblasts_S05"	"Endothelial.cells_S04"	"Epithelial.cells_S06"	"B.cells_S05"	"PCs_S02"	"CD8.T.cells_S03"	"CD4.T.cells_S01"	"NK.cells_S01"	"Monocytes.and.Macrophages_S03"	"Dendritic.cells_S03"	"Epithelial.cells_S04"	"B.cells_S01"	"PCs_S01"	"CD8.T.cells_S01"	"CD4.T.cells_S02"	"Monocytes.and.Macrophages_S01"	"Dendritic.cells_S01"	"Mast.cells_S04"
"NK.cells_S03"	1	0.227477477477477	0.171893147502904	0.249568221070812	0.179328165374677	0.302180685358255	0.213075060532688	0.28876582278481	0	0	0	0	0.0901442307692308	0.114	0.0567200986436498	0.0628683693516699	0.0261437908496732	0.0322164948453608	0	0	0	0	0	0.177722152690864	0.12962962962963	0.158441558441558	0.183098591549296	0.180072028811525	0.211920529801325	0.227544910179641	0.219570405727924	0.191973969631236	0	0	0	0	0	0	0	0	0	0	0	0.114571092831962	0	0	0	0	0	0	0	0.120258272800646	0.0811965811965812	0.109443954104148	0.128031037827352	0.086734693877551	0.0795454545454545	0.0924764890282132
"Monocytes.and.Macrophages_S06"	0.227477477477477	1	0.326415094339623	0.317551963048499	0.147502903600465	0.404444444444444	0.235807860262009	0.280735721200387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0530679933665008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728253540121376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendritic.cells_S08"	0.171893147502904	0.326415094339623	1	0.254437869822485	0.123962040332147	0.331797235023041	0.197777777777778	0.221238938053097	0	0	0	0	0.0699588477366255	0.0613138686131387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0709219858156028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mast.cells_S05"	0.249568221070812	0.317551963048499	0.254437869822485	1	0.246260683760684	0.379492600422833	0.429068150208623	0.342925659472422	0	0	0	0	0.0691964285714286	0.0807050092764379	0.0389016018306636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05759682224429	0.0802292263610315	0.0819112627986348	0.0863422291993721	0	0	0	0	0	0	0	0.163679808841099	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PMNs_S03"	0.179328165374677	0.147502903600465	0.123962040332147	0.246260683760684	1	0.213840045377198	0.392771084337349	0.287762416794675	0.0609896432681243	0.0748379493223335	0.135278514588859	0	0.0755848830233953	0.160766105629716	0.0608642726719416	0.1415313225058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667390124796527	0	0.099603567888999	0	0	0	0	0	0	0	0.277191372189078	0.189866045428072	0.164145658263305	0.20035046728972	0.258693361433087	0.212002243409983	0.115248226950355	0.245661605206074	0.178849144634526	0.16648590021692	0.158378378378378	0.133923630326508	0.106636415201361	0.147875354107649	0.209549071618037
"Fibroblasts_S03"	0.302180685358255	0.404444444444444	0.331797235023041	0.379492600422833	0.213840045377198	1	0.323383084577114	0.367985280588776	0	0	0	0	0.0975609756097561	0.117241379310345	0.0655737704918033	0.0718358038768529	0	0	0	0	0	0	0	0.0513157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128617363344051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Endothelial.cells_S02"	0.213075060532688	0.235807860262009	0.197777777777778	0.429068150208623	0.392771084337349	0.323383084577114	1	0.41046658259773	0	0.0758524704244955	0.131227217496962	0	0.0767590618336887	0.150300601202405	0.0539568345323741	0.122177954847278	0	0	0	0	0	0	0	0.0466216216216216	0	0	0	0	0	0	0	0	0.0615183246073298	0.103989535644212	0.109422492401216	0.156045265038714	0	0	0	0	0	0	0	0.22314453125	0.106583072100313	0.0810810810810811	0.076969696969697	0	0.0922273781902552	0	0	0	0	0	0	0	0	0
"Epithelial.cells_S03"	0.28876582278481	0.280735721200387	0.221238938053097	0.342925659472422	0.287762416794675	0.367985280588776	0.41046658259773	1	0	0.102636534839925	0.104754829123328	0	0.0754716981132075	0.16220880069025	0.0551790900290416	0.108768971332209	0	0.0278330019880716	0	0	0	0	0	0.0770642201834862	0	0.0484622553588071	0.0527752502274795	0	0	0.0642978003384095	0.0590717299578059	0	0	0.0709624796084829	0	0	0	0	0	0	0	0	0	0.150107991360691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monocytes.and.Macrophages_S07"	0	0	0	0	0.0609896432681243	0	0	0	1	0.11358574610245	0.236363636363636	0.108585858585859	0	0	0	0.0505709624796085	0.0327380952380952	0	0.054176072234763	0.068421052631579	0.0424528301886792	0	0.0533333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0679886685552408	0	0	0	0.0464684014869888	0.0599128540305011	0	0	0	0	0	0	0
"Dendritic.cells_S07"	0	0	0	0	0.0748379493223335	0	0.0758524704244955	0.102636534839925	0.11358574610245	1	0.18452380952381	0.0658385093167702	0	0.084297520661157	0	0.134545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0470756062767475	0	0	0	0	0	0	0	0	0	0	0	0
