"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"HLA.DPB1__pos"	4.53854585930747	2.22044604925031e-16	3.49372798604736	1.7466319441024	6.34341990131975e-08	1.85161713714736
"HLA.DQA1__pos"	4.65077317575027	2.22044604925031e-16	3.25531201451013	1.62944698357832	0.250898760008211	1.97645682419957
"CCND2__pos"	3.8134272945412	1.14381539757274	3.9372017308057	2.22044604925031e-16	5.79760746742053	2.22044604925031e-16
"AHNAK__pos"	5.85834551341625	3.10737354270034	3.48236896562943	2.22044604925031e-16	1.32160200273753	2.22044604925031e-16
"HLA.DQA2__pos"	4.68561382714679	0.415824290596122	4.35308322319768	2.07811168795625	0.830011640556802	1.94959501079906
"APOD__pos"	4.49500247876241	2.22044604925031e-16	2.61992043179415	0.16096047359568	5.53074696986189	2.4071114885153
"MX1__pos"	4.73320021541695	2.22044604925031e-16	4.2419654361822	2.22044604925031e-16	2.21724210501331	2.61655577163743
"ITM2C__pos"	5.96547670187331	0.893384648132314	2.97908861541943	0.843903810447571	2.54641910909885	0.461749316452789
"SERPINB1__pos"	6.42867514231023	0.585025080048329	1.03854101540269	4.8327364054932	2.22044604925031e-16	0.380169806934004
"RGS1__pos"	4.5399253470624	3.71204262043391	1.67519722456859	3.11057539219427	2.22044604925031e-16	0.674137211730372
"HLA.DRB6__pos"	4.73928942234646	2.22044604925031e-16	4.38343483730534	2.63133831472999	0.385502993549892	1.82717403949395
"SULF2__pos"	5.43724729147539	0.59282023753799	0.426540671181156	2.22044604925031e-16	6.17004691097643	1.14940155807723
"HCK__pos"	3.71672942701029	6.67389012712881	2.22044604925031e-16	0.285012852948721	3.10998803335028	2.22044604925031e-16
"MYO7A__pos"	1.61706566815476	3.33405000793456	2.56595398268779	2.22044604925031e-16	6.1285996094583	0.639806472704528
"STAG3__pos"	0.67277145964953	0.0842288863323061	2.04702058961115	1.46829592711537	2.22044604925031e-16	10.3031236879675
"LCK__pos"	4.62213985754127	2.22044604925031e-16	4.03244584968251	1.04087434745407	2.22044604925031e-16	4.86933523056981
"NOTCH2__pos"	8.87082949227407	1.85414958766834	2.25360068565959	2.22044604925031e-16	1.50097619900134	2.22044604925031e-16
"FAM38A__pos"	4.71965549020512	2.0481002762798	6.27821569327334	2.22044604925031e-16	2.22044604925031e-16	0.857682580586281
"GLRX__pos"	3.57238722173962	5.44974364949703	0.0334609745078206	4.32677003377811	2.22044604925031e-16	1.60786346161775e-12
"CUGBP2__pos"	6.94405083018166	2.22044604925031e-16	4.55313512715387	2.22044604925031e-16	2.47365005004376	2.22044604925031e-16
"RRBP1__pos"	6.20232362122688	1.48186148459865	3.45859825779537	2.22044604925031e-16	1.21155609169681	1.65901257353537
"CSDA__pos"	4.47961965431435	0.638408022922522	1.90211244966735	0.446855162050396	4.53103959031681	0.494158223730272
"KLRK1__pos"	4.86977422906021	2.22044604925031e-16	4.67348039480554	1.59851899839314	0.911356006825674	2.88602035951746
"SQRDL__pos"	7.40910694191541	2.69235246759883	1.36614260568649	3.51364778219794	1.24747857850095	2.22044604925031e-16
"PAG1__pos"	7.37902724892258	1.04722526614996	0.975227068093775	0.132520605902929	2.22044604925031e-16	5.55059146460667
"PLBD1__pos"	4.55617691727706	0.659421073193152	0.0306889874573245	1.47164530336129	8.04551009934957	2.22044604925031e-16
"ID2__pos"	7.10223365314488	3.96393129216826	0.772283619876725	2.49691118545025	0.993243169136267	2.22044604925031e-16
"FCER2__pos"	2.27205858343674	1.28929290650255	6.78921588647246	1.12538929787855	0.374109263851786	2.96849281198802
"APOBEC3G__pos"	5.67438948714247	2.22044604925031e-16	3.42397306774082	3.40753624645067	3.87137291541604e-15	2.22044604925031e-16
"RASGRP1__pos"	5.70272420915974	6.10352804686011	1.46259234191289	0.385681233639121	2.22044604925031e-16	0.455604859005294
"PTPRJ__pos"	4.67605699242637	0.306857654556484	3.10679285646407	2.22044604925031e-16	4.07250028463974	0.228204067581395
"ABCG1__pos"	7.72935512493265	2.22044604925031e-16	2.75477187480005	0.784653525291957	2.31012937552446	0.959745434445272
"MYO1E__pos"	3.22331507986683	2.22044604925031e-16	0.425356630527047	2.22044604925031e-16	4.46827900895269	5.95184329430165
"PTPRE__pos"	5.42607247904774	2.22044604925031e-16	2.27243567899634	2.22044604925031e-16	6.74083433382607	2.22044604925031e-16
"BHLHE41__pos"	5.79649280856234	6.57129327382558	2.72664702530995	0.0330617534940238	2.22044604925031e-16	0.19398345315056
