"V1"	"CTSP.ACY5"
"HLA.DPB1"	"HLA.DPB1"	-0.0226683719667153
"HLA.DQA1"	"HLA.DQA1"	0.228373898505638
"CCND2"	"CCND2"	-0.578358286689668
"AHNAK"	"AHNAK"	0.549786213936801
"HLA.DQA2"	"HLA.DQA2"	-1.53746968111966
"APOD"	"APOD"	-0.0179790226213805
"MX1"	"MX1"	-0.406569485302881
"ITM2C"	"ITM2C"	0.439255293768417
"SERPINB1"	"SERPINB1"	0.927221146046959
"RGS1"	"RGS1"	1.10737560069018
"HLA.DRB6"	"HLA.DRB6"	-0.779790059737108
"SULF2"	"SULF2"	0.592334750668541
"HCK"	"HCK"	0.677100673779429
"MYO7A"	"MYO7A"	-0.273903137264348
"STAG3"	"STAG3"	-0.544835689242405
"LCK"	"LCK"	-0.415349445260195
"NOTCH2"	"NOTCH2"	0.489282486143469
"FAM38A"	"FAM38A"	0.40708574285637
"GLRX"	"GLRX"	1.14730510467509
"CUGBP2"	"CUGBP2"	0.42089594570813
"RRBP1"	"RRBP1"	0.452754906379956
"CSDA"	"CSDA"	0.394465913099861
"KLRK1"	"KLRK1"	0.555748566507107
"SQRDL"	"SQRDL"	1.0825403731641
"PAG1"	"PAG1"	0.276278394837894
"PLBD1"	"PLBD1"	0.552002609989771
"ID2"	"ID2"	0.87133378938546
"FCER2"	"FCER2"	-0.109651240585581
"APOBEC3G"	"APOBEC3G"	0.44106452901988
"RASGRP1"	"RASGRP1"	0.446744922201571
"PTPRJ"	"PTPRJ"	0.0664841455748845
"ABCG1"	"ABCG1"	0.687828866983124
"MYO1E"	"MYO1E"	-0.104883662631782
"PTPRE"	"PTPRE"	0.345999526797611
"BHLHE41"	"BHLHE41"	1.00288840694511
"LILRA4"	"LILRA4"	-0.564115898112166
"PLCB2"	"PLCB2"	0.37637593150215
"TRPM4"	"TRPM4"	0.275576037628849
"MACROD2"	"MACROD2"	-0.793762580132533
"PLAC8"	"PLAC8"	0.594308409986596
"RPL18AP3"	"RPL18AP3"	-1.13300680127604
"CD99"	"CD99"	1.62186773371146
"CD86"	"CD86"	0.136746358614959
"EIF1AY"	"EIF1AY"	-1.06977088360232
"HLA.DQB2"	"HLA.DQB2"	-1.48740875609763
"IL2RA"	"IL2RA"	0.0205662619061158
"XIST"	"XIST"	1.89833090761539
"PARP9"	"PARP9"	0.536945659187047
"UCHL1"	"UCHL1"	0.646454989662768
"MME"	"MME"	0.767958249881999
"TRPM2"	"TRPM2"	0.774407339622711
"FAS"	"FAS"	0.958380262073958
"EBI3"	"EBI3"	1.29278291506044
"PARP14"	"PARP14"	0.138766228467906
"PRKAR2B"	"PRKAR2B"	0.748827008798986
"SH3BP2"	"SH3BP2"	0.332288200388058
"S1PR2"	"S1PR2"	0.249015516636296
"HVCN1"	"HVCN1"	-0.261090456202155
"IFITM2"	"IFITM2"	0.663177585740044
"SNX9"	"SNX9"	0.633086326155517
"C13orf15"	"C13orf15"	0.671998543350511
"KIAA0125"	"KIAA0125"	-0.625598603729814
"TBC1D9"	"TBC1D9"	1.41158158882418
"ACTG2"	"ACTG2"	1.97776822749405
"KDM5D"	"KDM5D"	-1.07312001063249
"RASL11A"	"RASL11A"	0.871011079221651
"PRAME"	"PRAME"	-1.09019722756926
"C6orf105"	"C6orf105"	0.263149830642862
"SNX18"	"SNX18"	0.580534212007648
"RPS4Y1"	"RPS4Y1"	-1.07527688835405
"TAS1R3"	"TAS1R3"	-0.226498216683905
"PAK1"	"PAK1"	0.148901823563323
"DDX3Y"	"DDX3Y"	-1.13185504045376
"CDGAP"	"CDGAP"	0.670117003441553
"LILRB1"	"LILRB1"	0.253796530104805
"EPB41L2"	"EPB41L2"	0.324627315122393
"ASB13"	"ASB13"	0.126654603333971
"TFRC"	"TFRC"	1.70562824811698
"HLA.DRB1"	"HLA.DRB1"	0.10689398033534
"LOC96610"	"LOC96610"	2.37303347172822
"GLIPR1"	"GLIPR1"	0.741898613641239
"PLXNA1"	"PLXNA1"	0.312546500792473
"GALNAC4S.6ST"	"GALNAC4S.6ST"	0.235173172809599
"HK2"	"HK2"	0.416495546758195
"USP9Y"	"USP9Y"	-1.1183005766164
"ZBED1"	"ZBED1"	0.600638883741359
"ASMT"	"ASMT"	-0.208017011873972
"CPXM1"	"CPXM1"	0.908456895458551
"EML6"	"EML6"	-0.70087507754512
"CD70"	"CD70"	1.12045501362822
"GAB2"	"GAB2"	0.532572355655637
"C16orf5"	"C16orf5"	-0.412636782525091
"GADD45B"	"GADD45B"	0.607730392961268
"ZBTB32"	"ZBTB32"	0.597601836100436
"FLNB"	"FLNB"	-0.173679068407466
"NLRP7"	"NLRP7"	1.58432948596295
"TOX2"	"TOX2"	0.377771504559347
"RHPN1"	"RHPN1"	0.491126315027387
"LRRC32"	"LRRC32"	-0.0327897322877452
"TCL1B"	"TCL1B"	-0.599039278711773
"IL17RB"	"IL17RB"	0.603042261659953
"TRAF1"	"TRAF1"	-1.34605236767333
"RPL13AP5"	"RPL13AP5"	-0.930562132083914
"BTNL9"	"BTNL9"	-0.368126615178849
"CCR7"	"CCR7"	0.315865084614055
"DENND3"	"DENND3"	-0.0724324358454923
"FARP1"	"FARP1"	0.0942186970191391
"HOMER3"	"HOMER3"	1.22259271849057
"LMO2"	"LMO2"	0.322844275890881
"MGST3"	"MGST3"	1.1563190585261
"WDR66"	"WDR66"	1.01728982955792
"SLC1A1"	"SLC1A1"	0.223440793291538
"UTY"	"UTY"	-1.12051869693356
"DGKG"	"DGKG"	0.232418105636265
"CKB"	"CKB"	1.35638814667881
"P2RY14"	"P2RY14"	-1.03935533886974
"SLC12A6"	"SLC12A6"	0.310731628517521
"PLD4"	"PLD4"	0.678406669394927
"EEPD1"	"EEPD1"	1.1295857084445
"RYR1"	"RYR1"	-0.339271286201174
"LEF1"	"LEF1"	-0.710575518191721
"BZRAP1"	"BZRAP1"	0.20105249869025
"CR1"	"CR1"	0.389147950041877
"LRRK2"	"LRRK2"	-0.199512705438078
"HTR3A"	"HTR3A"	1.04967939794513
"BTN2A2"	"BTN2A2"	-0.265100564822727
"FADS2"	"FADS2"	-0.521361156989752
"C17orf87"	"C17orf87"	-0.471882123616747
"AP1S2"	"AP1S2"	1.21850873365414
"TMSL3"	"TMSL3"	0.90470008098565
"CNR1"	"CNR1"	0.185258901298804
"MYO6"	"MYO6"	-0.181226405271034
"FAM49A"	"FAM49A"	0.862777708193536
"ADARB1"	"ADARB1"	0.222656080177277
"OAT"	"OAT"	1.25761667444988
"C1orf186"	"C1orf186"	-0.459614090856855
"CTBS"	"CTBS"	0.767619417587203
"FLJ23834"	"FLJ23834"	-0.770421037584522
"PDLIM5"	"PDLIM5"	0.969604218925618
"CRYM"	"CRYM"	-0.737528907411028
"LOC541471"	"LOC541471"	0.926871338758584
"IL27RA"	"IL27RA"	0.409260990621401
"FCRLB"	"FCRLB"	-0.809484269999357
"HIST1H1C"	"HIST1H1C"	0.93163530918299
"AFF1"	"AFF1"	0.136597993721541
"EPHB1"	"EPHB1"	-0.371831762885325
"IGSF3"	"IGSF3"	-0.352916462290167
"FCGR2B"	"FCGR2B"	0.819401547568263
"C9orf46"	"C9orf46"	1.08177903200768
"LOC100131754"	"LOC100131754"	0.467671672926281
"DNAJC5B"	"DNAJC5B"	0.892199254993815
"NLRP4"	"NLRP4"	-0.646931176480333
"FXYD6"	"FXYD6"	-0.132431233728924
"UBA7"	"UBA7"	-0.51232086267516
"COL9A2"	"COL9A2"	-0.547220674249397
"MAGEB2"	"MAGEB2"	-0.320265211779113
"C5AR1"	"C5AR1"	1.3839579641025
"EPS8"	"EPS8"	0.915557613908836
"MOV10"	"MOV10"	0.264138324523928
"TP63"	"TP63"	0.358859153009848
"RNF11"	"RNF11"	1.54998257181255
"AICDA"	"AICDA"	-0.32868141357279
"DUSP10"	"DUSP10"	0.886194707729116
"GPM6A"	"GPM6A"	-0.882156441757251
"IRF7"	"IRF7"	0.0441882609594307
"CCR4"	"CCR4"	0.586588440373567
"KIF13B"	"KIF13B"	-0.148606426614411
"LAMA5"	"LAMA5"	0.0922289593296788
"MAPK10"	"MAPK10"	0.442378229635298
"JAK2"	"JAK2"	0.02104524264328
"ITGAX"	"ITGAX"	-0.0658620044666216
