"ID"	"State"	"InitialState"
"447"	"CTSP.B02F"	"S01"	"IS06"
"448"	"DLBCL10456"	"S01"	"IS06"
"449"	"DLBCL10459"	"S01"	"IS06"
"450"	"DLBCL10460"	"S01"	"IS06"
"451"	"DLBCL10462"	"S01"	"IS06"
"452"	"DLBCL10464"	"S01"	"IS06"
"453"	"DLBCL10465"	"S01"	"IS06"
"454"	"DLBCL10473"	"S01"	"IS06"
"455"	"DLBCL10475"	"S01"	"IS06"
"456"	"DLBCL10476"	"S01"	"IS06"
"457"	"DLBCL10478"	"S01"	"IS06"
"458"	"DLBCL10481"	"S01"	"IS06"
"459"	"DLBCL10484"	"S01"	"IS06"
"460"	"DLBCL10489"	"S01"	"IS06"
"461"	"DLBCL10493"	"S01"	"IS06"
"462"	"DLBCL10498"	"S01"	"IS06"
"463"	"DLBCL10501"	"S01"	"IS06"
"464"	"DLBCL10502"	"S01"	"IS06"
"465"	"DLBCL10510"	"S01"	"IS06"
"466"	"DLBCL10512"	"S01"	"IS06"
"467"	"DLBCL10514"	"S01"	"IS06"
"468"	"DLBCL10518"	"S01"	"IS06"
"469"	"DLBCL10519"	"S01"	"IS06"
"470"	"DLBCL10523"	"S01"	"IS06"
"471"	"DLBCL10524"	"S01"	"IS06"
"472"	"DLBCL10528"	"S01"	"IS06"
"473"	"DLBCL10536"	"S01"	"IS06"
"474"	"DLBCL10537"	"S01"	"IS06"
"475"	"DLBCL10539"	"S01"	"IS06"
"476"	"DLBCL10541"	"S01"	"IS06"
"477"	"DLBCL10544"	"S01"	"IS06"
"478"	"DLBCL10545"	"S01"	"IS06"
"479"	"DLBCL10547"	"S01"	"IS06"
"480"	"DLBCL10549"	"S01"	"IS06"
"481"	"DLBCL10553"	"S01"	"IS06"
"482"	"DLBCL10554"	"S01"	"IS06"
"483"	"DLBCL10555"	"S01"	"IS06"
"484"	"DLBCL10564"	"S01"	"IS06"
"485"	"DLBCL10565"	"S01"	"IS06"
"486"	"DLBCL10780"	"S01"	"IS06"
"487"	"DLBCL10782"	"S01"	"IS06"
"488"	"DLBCL10981"	"S01"	"IS06"
"489"	"DLBCL10986"	"S01"	"IS06"
"490"	"DLBCL10994"	"S01"	"IS06"
"491"	"DLBCL11428"	"S01"	"IS06"
"492"	"DLBCL11436"	"S01"	"IS06"
"493"	"DLBCL11441"	"S01"	"IS06"
"494"	"DLBCL11470"	"S01"	"IS06"
"495"	"DLBCL11528"	"S01"	"IS06"
"496"	"DLBCL11530"	"S01"	"IS06"
"497"	"DLBCL11531"	"S01"	"IS06"
"498"	"DLBCL11532"	"S01"	"IS06"
"499"	"DLBCL11533"	"S01"	"IS06"
"500"	"DLBCL11540"	"S01"	"IS06"
"501"	"DLBCL11558"	"S01"	"IS06"
"502"	"DLBCL11562"	"S01"	"IS06"
"503"	"DLBCL11566"	"S01"	"IS06"
"504"	"DLBCL11569"	"S01"	"IS06"
"505"	"DLBCL11576"	"S01"	"IS06"
"506"	"DLBCL11577"	"S01"	"IS06"
"507"	"DLBCL11578"	"S01"	"IS06"
"508"	"DLBCL11584"	"S01"	"IS06"
"509"	"DLBCL11585"	"S01"	"IS06"
"510"	"DLBCL11586"	"S01"	"IS06"
"511"	"DLBCL11589"	"S01"	"IS06"
"512"	"DLBCL11656"	"S01"	"IS06"
"513"	"DLBCL11660"	"S01"	"IS06"
"514"	"DLBCL11665"	"S01"	"IS06"
"515"	"DLBCL11667"	"S01"	"IS06"
"516"	"DLBCL11670"	"S01"	"IS06"
"517"	"DLBCL11672"	"S01"	"IS06"
"518"	"DLBCL11673"	"S01"	"IS06"
"519"	"DLBCL11675"	"S01"	"IS06"
"520"	"DLBCL11678"	"S01"	"IS06"
"521"	"DLBCL11683"	"S01"	"IS06"
"522"	"DLBCL11684"	"S01"	"IS06"
"1"	"CTSP.ACY5"	"S02"	"IS01"
"2"	"CTSP.ACZE"	"S02"	"IS01"
"3"	"CTSP.ACZK"	"S02"	"IS01"
"4"	"CTSP.AD0Z"	"S02"	"IS01"
"5"	"CTSP.AD14"	"S02"	"IS01"
"6"	"CTSP.B02E"	"S02"	"IS01"
"7"	"DLBCL10455"	"S02"	"IS01"
"8"	"DLBCL10466"	"S02"	"IS01"
"9"	"DLBCL10467"	"S02"	"IS01"
"10"	"DLBCL10474"	"S02"	"IS01"
"11"	"DLBCL10479"	"S02"	"IS01"
"12"	"DLBCL10486"	"S02"	"IS01"
"13"	"DLBCL10487"	"S02"	"IS01"
"14"	"DLBCL10488"	"S02"	"IS01"
"15"	"DLBCL10500"	"S02"	"IS01"
"16"	"DLBCL10504"	"S02"	"IS01"
"17"	"DLBCL10505"	"S02"	"IS01"
"18"	"DLBCL10508"	"S02"	"IS01"
"19"	"DLBCL10513"	"S02"	"IS01"
"20"	"DLBCL10525"	"S02"	"IS01"
"21"	"DLBCL10527"	"S02"	"IS01"
"22"	"DLBCL10534"	"S02"	"IS01"
"23"	"DLBCL10535"	"S02"	"IS01"
"24"	"DLBCL10538"	"S02"	"IS01"
"25"	"DLBCL10543"	"S02"	"IS01"
"26"	"DLBCL10548"	"S02"	"IS01"
"27"	"DLBCL10552"	"S02"	"IS01"
"28"	"DLBCL10844"	"S02"	"IS01"
"29"	"DLBCL10855"	"S02"	"IS01"
"30"	"DLBCL10892"	"S02"	"IS01"
"31"	"DLBCL10927"	"S02"	"IS01"
"32"	"DLBCL10932"	"S02"	"IS01"
"33"	"DLBCL10942"	"S02"	"IS01"
"34"	"DLBCL10946"	"S02"	"IS01"
"35"	"DLBCL10947"	"S02"	"IS01"
"36"	"DLBCL10952"	"S02"	"IS01"
"37"	"DLBCL10955"	"S02"	"IS01"
"38"	"DLBCL10957"	"S02"	"IS01"
"39"	"DLBCL10960"	"S02"	"IS01"
"40"	"DLBCL10965"	"S02"	"IS01"
"41"	"DLBCL10971"	"S02"	"IS01"
"42"	"DLBCL10973"	"S02"	"IS01"
"43"	"DLBCL10974"	"S02"	"IS01"
"44"	"DLBCL10979"	"S02"	"IS01"
"45"	"DLBCL10982"	"S02"	"IS01"
"46"	"DLBCL10984"	"S02"	"IS01"
"47"	"DLBCL10991"	"S02"	"IS01"
"48"	"DLBCL11196"	"S02"	"IS01"
"49"	"DLBCL11202"	"S02"	"IS01"
"50"	"DLBCL11208"	"S02"	"IS01"
"51"	"DLBCL11211"	"S02"	"IS01"
"52"	"DLBCL11256"	"S02"	"IS01"
"53"	"DLBCL11257"	"S02"	"IS01"
"54"	"DLBCL11271"	"S02"	"IS01"
"55"	"DLBCL11439"	"S02"	"IS01"
"56"	"DLBCL11444"	"S02"	"IS01"
"57"	"DLBCL11445"	"S02"	"IS01"
"58"	"DLBCL11448"	"S02"	"IS01"
"59"	"DLBCL11452"	"S02"	"IS01"
"60"	"DLBCL11453"	"S02"	"IS01"
"61"	"DLBCL11456"	"S02"	"IS01"
"62"	"DLBCL11463"	"S02"	"IS01"
"63"	"DLBCL11466"	"S02"	"IS01"
"64"	"DLBCL11480"	"S02"	"IS01"
"65"	"DLBCL11485"	"S02"	"IS01"
"66"	"DLBCL11489"	"S02"	"IS01"
"67"	"DLBCL11491"	"S02"	"IS01"
"68"	"DLBCL11492"	"S02"	"IS01"
"69"	"DLBCL11494"	"S02"	"IS01"
"70"	"DLBCL11496"	"S02"	"IS01"
"71"	"DLBCL11503"	"S02"	"IS01"
"72"	"DLBCL11504"	"S02"	"IS01"
"73"	"DLBCL11506"	"S02"	"IS01"
"74"	"DLBCL11507"	"S02"	"IS01"
"75"	"DLBCL11508"	"S02"	"IS01"
"76"	"DLBCL11511"	"S02"	"IS01"
"77"	"DLBCL11517"	"S02"	"IS01"
"78"	"DLBCL11534"	"S02"	"IS01"
"79"	"DLBCL11535"	"S02"	"IS01"
"80"	"DLBCL11536"	"S02"	"IS01"
"81"	"DLBCL11537"	"S02"	"IS01"
"82"	"DLBCL11538"	"S02"	"IS01"
"83"	"DLBCL11539"	"S02"	"IS01"
"84"	"DLBCL11559"	"S02"	"IS01"
"85"	"DLBCL11560"	"S02"	"IS01"
"86"	"DLBCL11561"	"S02"	"IS01"
"87"	"DLBCL11568"	"S02"	"IS01"
"88"	"DLBCL11571"	"S02"	"IS01"
"89"	"DLBCL11573"	"S02"	"IS01"
"90"	"DLBCL11574"	"S02"	"IS01"
"91"	"DLBCL11581"	"S02"	"IS01"
"92"	"DLBCL11587"	"S02"	"IS01"
"93"	"DLBCL11590"	"S02"	"IS01"
"94"	"DLBCL11591"	"S02"	"IS01"
"95"	"DLBCL11648"	"S02"	"IS01"
"96"	"DLBCL11655"	"S02"	"IS01"
"97"	"DLBCL11657"	"S02"	"IS01"
"98"	"DLBCL11663"	"S02"	"IS01"
"99"	"DLBCL11668"	"S02"	"IS01"
"100"	"DLBCL11669"	"S02"	"IS01"
"101"	"DLBCL11674"	"S02"	"IS01"
"102"	"DLBCL11676"	"S02"	"IS01"
"103"	"DLBCL11677"	"S02"	"IS01"
"104"	"DLBCL11679"	"S02"	"IS01"
"105"	"DLBCL11681"	"S02"	"IS01"
"106"	"DLBCL11682"	"S02"	"IS01"
"186"	"CTSP.ACZU"	"S03"	"IS03"
