"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"COMMD8"	"COMMD8"	-0.51714764719018	-0.610652448695846	-0.241749390679407	1.99315478789447	-0.292000492815584	"S01"	1.99315478789447	"IS04"
"CGRRF1"	"CGRRF1"	-0.408723202070385	-0.491101844566688	-0.20106272729959	1.9051162037848	-0.520221005632214	"S01"	1.9051162037848	"IS04"
"FAM96A"	"FAM96A"	-0.292986439102122	-0.530213774587795	-0.429910213925248	1.90229293019989	-0.462936834521802	"S01"	1.90229293019989	"IS04"
"SELK"	"SELK"	-0.392855089013722	-0.495963605554526	-0.28002776137918	1.88142506127955	-0.460531488087759	"S01"	1.88142506127955	"IS04"
"C1D"	"C1D"	-0.445731096278119	-0.579932239345217	-0.325358793750436	1.87788913398779	-0.257313819198597	"S01"	1.87788913398779	"IS04"
"PDCD10"	"PDCD10"	-0.474778002008443	-0.521808468652687	-0.425705217429735	1.87010096768195	-0.222320103736007	"S01"	1.87010096768195	"IS04"
"PXMP3"	"PXMP3"	-0.546580178392628	-0.49484844181526	-0.316214200080791	1.82213514213712	-0.194007910959465	"S01"	1.82213514213712	"IS04"
"CAPZA2"	"CAPZA2"	-0.358189726663294	-0.484463992611094	-0.313427354698156	1.81379510259623	-0.433204893495549	"S01"	1.81379510259623	"IS04"
"HSBP1"	"HSBP1"	-0.545432894040242	-0.501020750963033	-0.0516063183758792	1.78761590968915	-0.326874766181778	"S01"	1.78761590968915	"IS04"
"POLB"	"POLB"	-0.492185458020659	-0.466495461692972	-0.342294011360453	1.75795338348608	-0.220095030946203	"S01"	1.75795338348608	"IS04"
"SELT"	"SELT"	-0.493314545772104	-0.453999264332915	-0.330958663815138	1.70469170238918	-0.192231672053429	"S01"	1.70469170238918	"IS04"
"MAPKSP1"	"MAPKSP1"	-0.563315433540968	-0.329485988962787	-0.157948970525696	1.68561322797781	-0.356604901395479	"S01"	1.68561322797781	"IS04"
"ALG5"	"ALG5"	-0.394444522011403	-0.438420848773595	-0.136052960860622	1.67979063502727	-0.43662920753431	"S01"	1.67979063502727	"IS04"
"ALG13"	"ALG13"	-0.422848553930625	-0.609516945271237	-0.242150191980184	1.64796617816135	-0.0885260829281829	"S01"	1.64796617816135	"IS04"
"C17orf42"	"C17orf42"	-0.543752523727434	-0.334657948013959	-0.191056226856018	1.5671979329608	-0.242725402484299	"S01"	1.5671979329608	"IS04"
"ARL1"	"ARL1"	-0.462943760295826	-0.455155515503995	-0.108644988038619	1.52652740527632	-0.206519032256006	"S01"	1.52652740527632	"IS04"
"COMMD2"	"COMMD2"	-0.52653245761528	-0.414634766586266	-0.327988290379745	1.48300300045304	0.00337906480587036	"S01"	1.48300300045304	"IS04"
