"V1"	"CTSP.ACY5"
"CXCL13"	"CXCL13"	1.28151033946238
"TNFAIP3"	"TNFAIP3"	0.672774381042769
"ENC1"	"ENC1"	0.0440624940834871
"HERC5"	"HERC5"	0.754418196112629
"CCL17"	"CCL17"	1.15249025288928
"BCAS1"	"BCAS1"	1.83788819767226
"MIIP"	"MIIP"	0.819686985782784
"FCRL4"	"FCRL4"	2.47965587489678
"CCL22"	"CCL22"	1.38023711192124
"TNFAIP6"	"TNFAIP6"	1.82811864432692
"UST"	"UST"	0.619238177508209
"SCN3A"	"SCN3A"	-0.0152077004954892
"C15orf24"	"C15orf24"	2.10145024318774
"AVIL"	"AVIL"	0.124266336263557
"CD86"	"CD86"	-1.11562300218555
"C13orf27"	"C13orf27"	0.606852197452382
"EPB41L4B"	"EPB41L4B"	-0.782146204441338
"ELOVL7"	"ELOVL7"	1.56746264220816
"IL1A"	"IL1A"	2.14232826006894
"EIF5AL1"	"EIF5AL1"	1.0975410255744
"CACNA2D4"	"CACNA2D4"	-0.00212875647821821
"TMPRSS6"	"TMPRSS6"	-0.81368583918751
"IL10RB"	"IL10RB"	1.41095409112479
"ESCO2"	"ESCO2"	0.678657701176647
"NFKBIA"	"NFKBIA"	-0.323820838770711
"CALHM3"	"CALHM3"	1.28284844967769
"CCR2"	"CCR2"	0.701481074409189
"TMEM169"	"TMEM169"	0.920693028811784
"IPCEF1"	"IPCEF1"	-0.897587624309373
"POU2F3"	"POU2F3"	1.07380107856803
"TRAF1"	"TRAF1"	-1.31675207099272
"DNAH14"	"DNAH14"	-0.189866295157655
"ENPP6"	"ENPP6"	-1.21496308214987
"HPX"	"HPX"	0.0862783254186431
"DGKI"	"DGKI"	0.556651971246967
"GHITM"	"GHITM"	-0.207556452072933
"AKIRIN1"	"AKIRIN1"	-0.623418517930612
"GGH"	"GGH"	1.10038372218913
"CCR7"	"CCR7"	0.214886860263437
"PECR"	"PECR"	1.59059836610482
"RSPH1"	"RSPH1"	-0.338330946250251
"INHBA"	"INHBA"	1.84079152452565
"ECE2"	"ECE2"	-1.22074072702078
"C17orf42"	"C17orf42"	-0.381081924841994
"RGS1"	"RGS1"	1.93553802286019
"NCF2"	"NCF2"	1.30978434926978
"BCL2L10"	"BCL2L10"	-0.150452994137126
"FOXA3"	"FOXA3"	-0.668249231176669
"SELT"	"SELT"	-0.0150727629373139
"SERPINB4"	"SERPINB4"	-0.3604308319376
"TMCC3"	"TMCC3"	0.526679468531387
"ZNF702P"	"ZNF702P"	0.931863730146684
"MCF2"	"MCF2"	0.00802726935808815
"NLRP3"	"NLRP3"	1.80091625506559
"SNAI1"	"SNAI1"	2.46593633850538
"RND1"	"RND1"	1.4735733988637
"RGS2"	"RGS2"	-1.7114087399889
