"ID"	"State"	"InitialState"
"332"	"CTSP.ACY5"	"S01"	"IS04"
"333"	"CTSP.ACY6"	"S01"	"IS04"
"334"	"CTSP.ACYJ"	"S01"	"IS04"
"335"	"CTSP.ACYP"	"S01"	"IS04"
"336"	"CTSP.ACYS"	"S01"	"IS04"
"337"	"CTSP.AD05"	"S01"	"IS04"
"338"	"CTSP.AD0Z"	"S01"	"IS04"
"339"	"CTSP.AD13"	"S01"	"IS04"
"340"	"CTSP.AD1R"	"S01"	"IS04"
"341"	"CTSP.AD4C"	"S01"	"IS04"
"342"	"CTSP.AD4F"	"S01"	"IS04"
"343"	"CTSP.AD4K"	"S01"	"IS04"
"344"	"CTSP.AD4Q"	"S01"	"IS04"
"345"	"DLBCL10450"	"S01"	"IS04"
"346"	"DLBCL10452"	"S01"	"IS04"
"347"	"DLBCL10461"	"S01"	"IS04"
"348"	"DLBCL10469"	"S01"	"IS04"
"349"	"DLBCL10470"	"S01"	"IS04"
"350"	"DLBCL10475"	"S01"	"IS04"
"351"	"DLBCL10479"	"S01"	"IS04"
"352"	"DLBCL10491"	"S01"	"IS04"
"353"	"DLBCL10492"	"S01"	"IS04"
"354"	"DLBCL10494"	"S01"	"IS04"
"355"	"DLBCL10496"	"S01"	"IS04"
"356"	"DLBCL10506"	"S01"	"IS04"
"357"	"DLBCL10515"	"S01"	"IS04"
"358"	"DLBCL10516"	"S01"	"IS04"
"359"	"DLBCL10517"	"S01"	"IS04"
"360"	"DLBCL10520"	"S01"	"IS04"
"361"	"DLBCL10566"	"S01"	"IS04"
"362"	"DLBCL10925"	"S01"	"IS04"
"363"	"DLBCL10926"	"S01"	"IS04"
"364"	"DLBCL10928"	"S01"	"IS04"
"365"	"DLBCL10930"	"S01"	"IS04"
"366"	"DLBCL10931"	"S01"	"IS04"
"367"	"DLBCL10935"	"S01"	"IS04"
"368"	"DLBCL10936"	"S01"	"IS04"
"369"	"DLBCL10938"	"S01"	"IS04"
