"V1"	"CTSP.ACY5"
"S100A9"	"S100A9"	1.34953515540264
"S100A8"	"S100A8"	1.59166715161425
"CSTA"	"CSTA"	1.05392519439116
"PIGR"	"PIGR"	-0.0130747638485804
"HSPB1"	"HSPB1"	0.655924494982427
"PERP"	"PERP"	0.296535409550054
"FOS"	"FOS"	1.30568708518389
"DSC2"	"DSC2"	1.32869695348022
"ZG16B"	"ZG16B"	-0.221638087470486
"CDH1"	"CDH1"	-1.80780718977104
"HTN3"	"HTN3"	-0.328611113649455
"COMMD9"	"COMMD9"	1.30710390517959
"KRT8"	"KRT8"	0.758503963348017
"LTF"	"LTF"	0.375546140026072
"DES"	"DES"	0.88992017780171
"KRT13"	"KRT13"	-0.350992357640459
"MAL"	"MAL"	0.00561577383504012
"PRH2"	"PRH2"	-0.171790702291772
"STATH"	"STATH"	-0.333712025968122
"IL1RN"	"IL1RN"	1.41134671165643
"AQP3"	"AQP3"	0.447719093684365
"KRT6A"	"KRT6A"	-0.376596162903952
"GIPC1"	"GIPC1"	0.328096322219304
"CRYAB"	"CRYAB"	1.74544624966532
"DSP"	"DSP"	0.776498294231501
"KLF5"	"KLF5"	-0.832388666057363
"SPINT1"	"SPINT1"	0.332047640298246
"KRT4"	"KRT4"	-0.339571565858636
"CEACAM1"	"CEACAM1"	-0.131699590458691
"CD5L"	"CD5L"	0.224525642221208
"PVRL1"	"PVRL1"	-0.641167601101856
"ADH1B"	"ADH1B"	2.11266215541218
"KRT18"	"KRT18"	-0.231680431619696
"LAD1"	"LAD1"	1.0287112018987
"ACTA1"	"ACTA1"	-0.463586328580168
"PRR4"	"PRR4"	0.0673350500932951
"EPCAM"	"EPCAM"	-0.503590389027005
"LAMB3"	"LAMB3"	1.39296856492508
"KRT14"	"KRT14"	-0.402750823171522
"CEACAM5"	"CEACAM5"	-0.356674007644951
"TARS"	"TARS"	0.460405129872519
"ECM1"	"ECM1"	1.06321528729373
"KIAA1522"	"KIAA1522"	0.533957672429399
"C7"	"C7"	0.207137622444712
"HPGD"	"HPGD"	-0.000469536251150497
"EPS8L2"	"EPS8L2"	-1.05189650963821
"PTPRF"	"PTPRF"	0.472656570046609
"SPINT2"	"SPINT2"	-0.0243956304792156
"LOC100287891"	"LOC100287891"	1.56943580445316
"SELENBP1"	"SELENBP1"	1.09477998570618
"SMR3B"	"SMR3B"	-0.320583101508914
"CR1"	"CR1"	0.764868441640861
"SFRP1"	"SFRP1"	0.87005184827486
"KLF4"	"KLF4"	0.841147030675707
"NDRG2"	"NDRG2"	-0.264269902709461
"CLIC5"	"CLIC5"	0.359145016143594
"HTN1"	"HTN1"	-0.317299087846432
"MPZL2"	"MPZL2"	2.07502740829065
"ANK3"	"ANK3"	-0.052861548889219
"EVPL"	"EVPL"	-0.265397314830476
"GGTA1"	"GGTA1"	1.26455104231376
"GALNT3"	"GALNT3"	-0.79178199708726
"TNRC6C"	"TNRC6C"	-0.364723671303009
"HSPB6"	"HSPB6"	1.36107180588975
"DSG3"	"DSG3"	-0.359289953058522
"S100A16"	"S100A16"	0.65910228666923
"PRH1"	"PRH1"	-0.582091515571076
"SPRR2D"	"SPRR2D"	-0.350457350082737
"DDR1"	"DDR1"	-0.0177299696818645
"CDH3"	"CDH3"	-0.824900545422202
"GLTP"	"GLTP"	0.669109258604115
"FHL1"	"FHL1"	0.70455857021008
"AHCYL2"	"AHCYL2"	-0.646428514354228
"ARSD"	"ARSD"	1.07517823434869
"GJB2"	"GJB2"	1.21114844818329
"PDK4"	"PDK4"	2.03034565529531
"SEMA4B"	"SEMA4B"	0.709507231111102
"C4B"	"C4B"	0.651210404471648
"LPL"	"LPL"	2.14427000414219
"EMP2"	"EMP2"	0.912206574384855
"CA2"	"CA2"	0.817736758154019
"RBM47"	"RBM47"	1.20753462242854
"RRAD"	"RRAD"	1.69273361717235
"MAOA"	"MAOA"	2.21355382464202
"HSPB8"	"HSPB8"	0.685799646634836
"ALDH3A2"	"ALDH3A2"	0.10740232679882
"CAT"	"CAT"	0.386129647047864
"RRBP1"	"RRBP1"	0.80805711528099
"F11R"	"F11R"	0.466045707147658
"STAP2"	"STAP2"	0.415379614122243
"CDKN2B"	"CDKN2B"	0.40672069077226
"PRUNE2"	"PRUNE2"	0.691989068663106
"CYB561"	"CYB561"	1.05802792519156
"MAP3K3"	"MAP3K3"	-0.356862653053226
"ACSS2"	"ACSS2"	0.9157013491339
"PIP"	"PIP"	-0.331446199788126
"CDC42EP4"	"CDC42EP4"	1.39417306255337
"RAPGEFL1"	"RAPGEFL1"	-0.246787578690352
"EPHA1"	"EPHA1"	0.901739194564238
"SYNM"	"SYNM"	0.0681923731310285
"KREMEN1"	"KREMEN1"	0.595752379232013
"MYO15B"	"MYO15B"	0.561879032798724
"SLC6A8"	"SLC6A8"	1.00868919255532
"CETP"	"CETP"	-0.63787636565449
"CX3CR1"	"CX3CR1"	-0.0336115006941448
"RHOU"	"RHOU"	0.495708968314749
"PAX9"	"PAX9"	0.00854125677370183
"PRR5"	"PRR5"	0.47238726952153
"TRIM16"	"TRIM16"	-0.072795297196837
"TGFA"	"TGFA"	-1.10388728183841
"RICS"	"RICS"	0.626432184274308
"SYNPO2"	"SYNPO2"	0.960878593281874
"SLPI"	"SLPI"	2.46512029232899
"S100A1"	"S100A1"	0.591383307335837
"ATP1B1"	"ATP1B1"	0.0583356701894764
"LLGL2"	"LLGL2"	-0.131419822854285
"CLDN7"	"CLDN7"	0.987891423895046
"AOX1"	"AOX1"	0.72450574681949
"UTRN"	"UTRN"	-0.703248929484621
"WFDC2"	"WFDC2"	1.99730290875532
"FCGBP"	"FCGBP"	0.942719030511849
"NEBL"	"NEBL"	0.291326270097714
"SAA1"	"SAA1"	1.94633140458448
"CXCL14"	"CXCL14"	0.482809335366656
"LYPD3"	"LYPD3"	-0.0578712691372559
"PBXIP1"	"PBXIP1"	-0.155243194490925
"SH3BGRL2"	"SH3BGRL2"	0.441021686042935
"SRPX"	"SRPX"	1.53541067269001
"TNXB"	"TNXB"	0.218111560323545
"KLK1"	"KLK1"	0.90095441884232
"TFCP2L1"	"TFCP2L1"	-0.205277143422885
"C10orf116"	"C10orf116"	1.86642203377347
"A2ML1"	"A2ML1"	-0.36916025809495
"NTRK2"	"NTRK2"	0.507619045769929
"ERBB2"	"ERBB2"	0.54469844376865
"TOM1L2"	"TOM1L2"	-0.191249397834874
